model,seed,company,mse_path,mse_1h,mse_6h,mse_24h,oob
SR,5101,2,0.00046646529746705294,0.00013895215977619555,0.00027699976292573257,0.0008640822379094499,0.0
SR,5101,3,4.441672742678091e-05,3.7014520415044624e-05,4.3873228880306274e-05,4.5819975442792053e-05,0.0
SR,5101,4,1.2273244964617776e-05,9.367573483922878e-06,1.1302605166227412e-05,1.37817744985515e-05,0.0
SR,5101,7,0.0013546250210142215,0.000862065318139874,0.0013380228773179825,0.0015727824484657025,0.0
SR,5101,22,4.325019755672898e-05,3.5617491200179416e-05,4.406475195036157e-05,4.1351905784382196e-05,0.0
SR,5101,23,2.2472999604767284e-05,1.0253239538845917e-05,1.8435979928581593e-05,3.205129325997702e-05,0.0
SR,5101,25,0.0004942941258437372,0.0003564789703281611,0.0004879234640339183,0.00051431097919576,0.0
SR,5101,26,5.327198509138273e-05,2.8172990400329816e-05,5.140608281542239e-05,5.807982879764248e-05,0.0
SR,5101,27,0.00015137063513440905,4.8638016745316204e-05,0.00010798348581098664,0.00024204204120708038,0.0
SR,5101,28,2.8756602396522252e-05,1.55681087622931e-05,2.589381877892503e-05,3.321638028713129e-05,0.0
SR,5101,36,0.00014309428969966836,6.522507439979973e-05,0.0001341798514459554,0.00016648912770419837,0.0
SR,5101,37,6.451492014389401e-05,7.506485250993616e-05,6.447228780339197e-05,6.236981481982964e-05,0.0
SR,5101,38,0.00016361619584846025,0.0001531818456380532,0.00015993100349624833,0.00016862365775131822,0.0
SR,5101,41,5.395432436105105e-05,3.193557345768204e-05,5.278841478505939e-05,5.8328722183569254e-05,0.0
SR,5101,42,0.00012072284008532703,8.261730216447118e-05,0.0001232932349657399,0.00011937202609985566,0.0
SR,5101,43,4.850326239588818e-05,3.745515938678385e-05,4.9420272436517584e-05,4.8298833803736285e-05,0.0
SR,5102,2,0.00023859838308664804,0.00013628850720593646,0.0002274636914442854,0.0002688087950049189,0.0
SR,5102,3,4.423147524267441e-05,3.6099156838784616e-05,4.3786883426386044e-05,4.582852928388427e-05,0.0
