model,seed,mse_path,mse_1h,mse_6h,mse_24h,signed_init_selected,matched_config,note
ASYM_STEP_ONLY,5101,0.00016916007540152147,0.00011018334094044691,0.00017108965064685633,0.00017573203031169264,-0.05,p8192_lr0.0003,conditional structural ablation at matched ASYM hyperparameters; not an independently tuned forecaster
ASYM_STEP_ONLY,5102,0.00016875376218509228,0.0001099654449813913,0.00017075815433238205,0.00017509288554889827,-0.05,p8192_lr0.0003,conditional structural ablation at matched ASYM hyperparameters; not an independently tuned forecaster
ASYM_STEP_ONLY,5103,0.00016892347810779787,0.00010989401132982544,0.0001706210406470475,0.00017530100500893516,-0.05,p8192_lr0.0003,conditional structural ablation at matched ASYM hyperparameters; not an independently tuned forecaster
ASYM_STEP_ONLY,5104,0.00016913103458833466,0.00011050923861486534,0.0001709625772824933,0.00017548671593848223,-0.05,p8192_lr0.0003,conditional structural ablation at matched ASYM hyperparameters; not an independently tuned forecaster
ASYM_STEP_ONLY,5105,0.00016914874806830732,0.00010892987535629486,0.00017094619032523466,0.00017547227614479003,-0.05,p8192_lr0.0003,conditional structural ablation at matched ASYM hyperparameters; not an independently tuned forecaster
SR,5101,0.00020410016681465684,0.00012422551227168056,0.0001868744451588348,0.00025256256545068607,-0.05,p8192_lr0.0003,conditional structural ablation at matched ASYM hyperparameters; not an independently tuned forecaster
SR,5102,0.00017707779100556605,0.000124032013620275,0.0001787428538652316,0.00018348543328953893,-0.05,p8192_lr0.0003,conditional structural ablation at matched ASYM hyperparameters; not an independently tuned forecaster
SR,5103,0.00017749478687572966,0.00012028865643820643,0.00017965816205714523,0.0001839962483174684,-0.05,p8192_lr0.0003,conditional structural ablation at matched ASYM hyperparameters; not an independently tuned forecaster
SR,5104,0.00017871326904013722,0.00011770776110995085,0.0001803422474448014,0.0001880189077269604,-0.05,p8192_lr0.0003,conditional structural ablation at matched ASYM hyperparameters; not an independently tuned forecaster
SR,5105,0.00017687750125266514,0.00011924924901188461,0.00017992871421470492,0.00018344868710366746,-0.05,p8192_lr0.0003,conditional structural ablation at matched ASYM hyperparameters; not an independently tuned forecaster
