model,seed,split,config_id,mse_path,mse_1h,mse_6h,mse_24h
DIRECT,5101,source_eval,p8192_lr0.003,2.0420833263241644e-07,1.2208360934693585e-06,7.462734511678843e-08,1.2432468399421407e-07
DIRECT,5101,high_eval,p8192_lr0.003,1.2652474353612074e-05,1.9157622579148135e-06,2.5848613478152827e-05,8.318575409724392e-06
NET,5101,source_eval,p8192_lr0.001,2.769519028020996e-08,9.554530182235452e-09,3.576269815376813e-08,2.6044940836604913e-08
NET,5101,high_eval,p8192_lr0.001,9.353060471481986e-08,2.1926877563005702e-07,1.4921757160385512e-07,2.5186140074529287e-08
ASYM,5101,source_eval,p32768_lr0.003,5.972980990238658e-08,1.626126445608091e-08,7.479717040145861e-08,6.003291349291048e-08
ASYM,5101,high_eval,p32768_lr0.003,1.109504545942193e-07,5.994490120618309e-08,2.1444309006142354e-07,6.022105144256563e-08
DIRECT,5102,source_eval,p8192_lr0.003,1.7238920731762368e-07,1.601631255431923e-07,1.3800671671283757e-07,1.826741432152195e-07
DIRECT,5102,high_eval,p8192_lr0.003,2.4073668557596214e-05,3.2821590810841796e-06,7.040286537799803e-05,5.010984654244614e-06
NET,5102,source_eval,p8192_lr0.001,5.615260008168665e-08,1.3412871204231637e-07,6.58222955025838e-08,7.84829114713458e-08
NET,5102,high_eval,p8192_lr0.001,2.2895150601008853e-06,7.825548800558402e-06,3.2486381362971323e-06,6.361817586806844e-08
ASYM,5102,source_eval,p32768_lr0.003,2.1984947042002284e-08,6.384968823733108e-09,2.037047185319826e-08,3.031231508780128e-08
ASYM,5102,high_eval,p32768_lr0.003,4.3392840874184614e-08,3.215453074066762e-08,8.528620896829916e-08,2.8841367398962068e-08
DIRECT,5103,source_eval,p8192_lr0.003,1.3882645314125053e-07,1.188762220986193e-07,2.0124751713768428e-07,1.6155024841968742e-07
DIRECT,5103,high_eval,p8192_lr0.003,5.094889910487091e-06,1.0151834492228269e-05,9.746504278696708e-07,7.734428007246477e-06
NET,5103,source_eval,p8192_lr0.001,1.082166572680065e-08,2.3027145958606948e-08,4.5516851928988056e-09,1.4044120849277125e-08
NET,5103,high_eval,p8192_lr0.001,4.5509661702797237e-07,1.6051119296139484e-06,6.539983101762286e-07,1.3927234093189153e-08
ASYM,5103,source_eval,p32768_lr0.003,1.9576505962761444e-07,6.585459667449672e-08,1.0750093719849896e-07,3.6951176657555945e-07
ASYM,5103,high_eval,p32768_lr0.003,4.108084810444802e-07,3.92529045301073e-07,8.803345047370257e-07,3.132503668901698e-07
DIRECT,5104,source_eval,p8192_lr0.003,1.1921926138168916e-07,5.031961888565636e-08,8.037891159339122e-08,1.9869027787128868e-07
DIRECT,5104,high_eval,p8192_lr0.003,2.296902609113254e-05,3.509526696712821e-06,5.4507802867056094e-05,7.422581149957155e-06
NET,5104,source_eval,p8192_lr0.001,4.113606263914582e-08,1.0845889587261875e-08,4.529831241679161e-08,3.8095579693205776e-08
NET,5104,high_eval,p8192_lr0.001,1.6384611712807133e-07,5.243675849995797e-07,1.8778172021015665e-07,3.716953517302423e-08
ASYM,5104,source_eval,p32768_lr0.003,5.9535775356008625e-08,2.7500710920295953e-08,7.775215275072135e-08,6.891777164653743e-08
ASYM,5104,high_eval,p32768_lr0.003,1.5261253064671752e-07,1.277797159894265e-07,3.550224671144146e-07,6.053030272438228e-08
DIRECT,5105,source_eval,p8192_lr0.003,1.299715426029071e-07,1.2572153416306406e-07,1.991794122374907e-07,4.3954781167390777e-07
DIRECT,5105,high_eval,p8192_lr0.003,8.858091082012559e-06,9.787228665422515e-06,1.4319761853870334e-05,3.371995300066832e-07
NET,5105,source_eval,p8192_lr0.001,2.326086913889449e-08,1.6765692905685976e-08,4.1284422910455317e-08,1.181144559405577e-08
NET,5105,high_eval,p8192_lr0.001,1.8392350701940654e-07,4.6858905723001133e-07,3.1980198255557233e-07,1.3111559915919814e-08
ASYM,5105,source_eval,p32768_lr0.003,1.217536443521974e-07,2.2826997718800565e-08,5.71950849866066e-08,2.193237641032079e-07
ASYM,5105,high_eval,p32768_lr0.003,1.7250710216447463e-07,1.2670057547526872e-07,2.865087681251064e-07,1.8222202201835634e-07
