group,company,n_origins,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
42,2,7608,0.00018496692214312301,0.00013551604188879993,0.00018253319396949465,0.00019712360058911856,0.0
46,2,7608,0.00022050080329116315,0.00011778406528904172,0.00020836185727339616,0.00024389691193834866,0.0
117,3,7608,4.124868038584643e-05,3.618771648874906e-05,4.100443358148631e-05,4.249075478650245e-05,0.0
199,4,7608,1.5956796501607025e-05,1.352411041913274e-05,1.580532397122656e-05,1.6883259531402934e-05,0.0
250,4,7608,4.9171352619287045e-06,2.8374242500217457e-06,5.023338430401705e-06,5.388977347506742e-06,0.0
492,7,7608,0.0011777632099056468,0.0007332044796694917,0.0012073048703635325,0.0012159009913993032,0.0
1087,22,7608,3.5360461915971334e-05,2.813638195566814e-05,3.5939265015530296e-05,3.555793802591492e-05,0.0
1113,22,7608,4.772956242481931e-05,4.02783319319845e-05,4.867108038608024e-05,4.447496124558056e-05,0.0
1219,23,7608,1.0097488594842865e-05,7.247312994123538e-06,9.916006418540725e-06,1.058446783820817e-05,0.0
1231,23,7608,2.4092526276361092e-05,1.2874202252890304e-05,2.4072381268735038e-05,2.5815037004531207e-05,0.0
1319,25,7608,0.0006108997536273362,0.00039615706102623437,0.0006032145986832473,0.0006328472452015906,0.0
1348,25,7608,0.00032192192328758573,0.00026667631319278717,0.0003285529737956496,0.00032277937268744713,0.0
1389,26,7608,5.094140972556077e-05,2.7144992229439877e-05,4.93464781729079e-05,5.5676916430090506e-05,0.0
1498,27,7608,0.00010164887790903022,4.590064867725902e-05,9.522262233207501e-05,0.00011582393208565886,0.0
1603,28,7608,2.299935777770949e-05,1.1082814020245238e-05,2.1766984958906043e-05,2.606358829975567e-05,0.0
1635,28,7608,3.19131934509545e-05,1.8692243165950185e-05,2.944279584905967e-05,3.605245764905501e-05,0.0
1926,36,7608,0.00013132566870512592,6.153351148743672e-05,0.00013175594372194182,0.0001423719761803582,0.0
1962,37,7608,1.7290396806902995e-05,1.500805894489226e-05,1.8961200574303877e-05,1.530195269847759e-05,0.0
2001,37,7608,0.00010652537284264772,0.00010356268434910319,0.0001059775398457423,0.0001078758707725394,0.0
2055,38,7608,0.00023765000564788036,0.0002302169355199963,0.0002350731158778485,0.00024176712956381504,0.0
2075,38,7608,7.402015426440595e-05,5.321188261268826e-05,7.373258343125858e-05,7.714582506326907e-05,0.0
2242,41,7608,5.0176374104068086e-05,3.0437628300260845e-05,4.9182965860808363e-05,5.4226086620339e-05,0.0
2512,42,7608,0.00011807514027010751,8.614175266733037e-05,0.00012075945727526403,0.00011567310244398541,0.0
2543,43,7608,4.691077589670244e-05,3.717961103604186e-05,4.7612616475535494e-05,4.673967896473494e-05,0.0
