group,company,n_origins,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
42,2,7608,0.00018481311344404938,0.00013240846775340264,0.0001842618920096122,0.00019504812960645238,0.0031052839116719245
46,2,7608,0.0002199841968417029,0.00011705605547901897,0.00020755645505261648,0.00024301086620281276,0.0014458464773922186
117,3,7608,4.244375049494073e-05,3.691096596435832e-05,4.27164073855124e-05,4.3080165317482455e-05,0.016879162285313706
199,4,7608,1.6040815746267924e-05,1.401853418495408e-05,1.5875983346282558e-05,1.7085681870935634e-05,0.047422669120224324
250,4,7608,5.093171329337344e-06,2.891374501732062e-06,5.119050932630523e-06,6.071514069629738e-06,0.15536825271643884
492,7,7608,0.0011815312512678956,0.0006684072349772247,0.0012131494553259984,0.0012244014726913765,0.020981203995793903
1087,22,7608,3.6817015209105293e-05,2.9599287192088804e-05,3.752778785824134e-05,3.646811502668467e-05,0.03254797581493165
1113,22,7608,4.8680303709939354e-05,4.128094960460812e-05,5.011628183258676e-05,4.460014965641424e-05,0.05217643708377147
1219,23,7608,1.0782061941975017e-05,7.105822950642409e-06,1.0566237393521951e-05,1.1822770302934414e-05,0.18456449351559762
1231,23,7608,2.4591690845324573e-05,1.3057008811370403e-05,2.4625245931153347e-05,2.6412796197612642e-05,0.041223054679284964
1319,25,7608,0.0006146739889935752,0.00039047621997199657,0.000604350477289713,0.0006385347067804453,0.0033298282509638976
1348,25,7608,0.0003235288060007134,0.00028152907402820716,0.00032713056354374603,0.00032542104922131626,0.005662898703119523
1389,26,7608,5.1227182296512794e-05,2.6930588027704886e-05,4.981568769549683e-05,5.6219711020794764e-05,0.011900849982474588
1498,27,7608,0.00010080145659095772,4.6908367770695176e-05,9.272789727503512e-05,0.00011670108852083634,0.03937740974412899
1603,28,7608,2.3037229340611277e-05,1.1834176292105878e-05,2.117231451281023e-05,2.679795780892885e-05,0.14706011216263581
1635,28,7608,3.212017178112395e-05,1.940688429786705e-05,2.9395864785279918e-05,3.659713241133808e-05,0.0379096565019278
1926,36,7608,0.00013103375884710513,6.201748028633964e-05,0.000126742729373978,0.00014389910671938977,0.005531458114265685
1962,37,7608,1.8371469060191554e-05,1.526145881061897e-05,2.0304482214827257e-05,1.6260514187100457e-05,0.07459801086575535
2001,37,7608,0.0001087964284434986,0.00012456920365734226,0.000106870540682909,0.00010933034542097352,0.07697489484752891
2055,38,7608,0.00023782872237516708,0.00023902930813278123,0.00023366178252722412,0.00024369870224429574,0.03213722397476341
2075,38,7608,7.355486192175908e-05,5.5687264023765454e-05,7.279975267932056e-05,7.791231903791163e-05,0.03320517875920084
2242,41,7608,4.975000404471523e-05,2.9881130894329027e-05,4.851851936897099e-05,5.469231774093615e-05,0.03736198738170347
2512,42,7608,0.00011873539415610202,8.243329284179055e-05,0.00012153427272816951,0.00011706143621061817,0.0391254819488258
2543,43,7608,4.767908900414328e-05,3.6384470292938865e-05,4.857526715031175e-05,4.756423240562281e-05,0.12383346477392218
