group,company,n_origins,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
42,2,7608,0.0001832759594810119,0.0001242897859958352,0.00018078123685292521,0.0001964459482376115,0.005208333333333333
46,2,7608,0.00021951704116665076,0.00011209464666945248,0.0002089391151865288,0.00024367888660249682,0.0005969593410445146
117,3,7608,4.127965332814825e-05,3.516394195420504e-05,4.115563581023892e-05,4.25133268709224e-05,0.010904092183666315
199,4,7608,1.6310669085546653e-05,1.3386681823584614e-05,1.6065268076180367e-05,1.730952062356969e-05,0.13626555380301436
250,4,7608,4.644763946864024e-06,2.663952221770186e-06,4.614121595691483e-06,5.269572119114929e-06,0.2561065106905012
492,7,7608,0.0011878365190309157,0.0007166617957700444,0.0012106322235458456,0.0012252040388295788,0.0784152646337189
1087,22,7608,3.525767826332699e-05,2.7897881053276008e-05,3.573073373987841e-05,3.532686550263587e-05,0.03569707325622152
1113,22,7608,4.7824269718210767e-05,4.0282546553826514e-05,4.871868851249333e-05,4.45428860214271e-05,0.09065566947073256
1219,23,7608,1.059744749679499e-05,6.964838144474325e-06,1.029943337660482e-05,1.1351405434089845e-05,0.4441541798107255
1231,23,7608,2.405093483341417e-05,1.2797019901977496e-05,2.3856906414171035e-05,2.5856540796513685e-05,0.1294470732562215
1319,25,7608,0.0006101858589620101,0.00038041420068980595,0.0006059019088936387,0.0006328024326039427,0.0038720206799859797
1348,25,7608,0.00032351001677979354,0.00026313082101082333,0.0003271773147657474,0.00032412456795516946,0.007486636873466526
1389,26,7608,5.1021206948764953e-05,2.7273115546614294e-05,4.9249426005655017e-05,5.574593469216821e-05,0.008078119523308797
1498,27,7608,0.00010367865893887085,4.737379263870638e-05,9.659262220623131e-05,0.00011838490623273166,0.08966986505432878
1603,28,7608,2.331769887262107e-05,1.1518110095191651e-05,2.1798808114426674e-05,2.6569991088659274e-05,0.3180971784086926
1635,28,7608,3.186276097251869e-05,1.865381935407252e-05,2.9110865554517776e-05,3.6172288919512316e-05,0.032066026989134244
1926,36,7608,0.0001306420302131665,6.273367578600693e-05,0.00013005202515053594,0.000141668920490205,0.00521928671573782
1962,37,7608,1.7417065980485252e-05,1.4836986698008975e-05,1.9059297268232973e-05,1.5511908380267986e-05,0.1663271118121276
2001,37,7608,0.00010743742759263453,0.00010991480865290849,0.00010643006343699505,0.00010860322383072703,0.10728290396074308
2055,38,7608,0.00023652131326365813,0.00021622584629042154,0.00023407497685223075,0.00024361121703633538,0.02943173852085524
2075,38,7608,7.407785808782119e-05,5.4462030410759565e-05,7.375922424495165e-05,7.778978864398938e-05,0.01983109884332282
2242,41,7608,4.999616637741904e-05,2.908461509706389e-05,4.8649456969801606e-05,5.488381652022428e-05,0.05251599193831055
2512,42,7608,0.00011762002338123105,8.256294937067481e-05,0.00012005767892977424,0.00011638132861095286,0.03609139502278304
2543,43,7608,4.7082172504402094e-05,3.531797751255728e-05,4.7791541681986955e-05,4.711980719577432e-05,0.3087648966000701
