arm,seed,mean_company_relative_gain,median_company_relative_gain,companies_favouring_arm,n_companies,ratio_of_means_gain
NET,5101,0.005700035535398658,0.0053419133377024496,13,16,0.0008588661776834266
ASYM,5101,0.00979446552810573,0.006834650129014505,14,16,0.004071941655726042
NET,5102,0.0055755210791981836,0.0035893933387772304,14,16,0.0025303610675302853
ASYM,5102,0.009204847893132174,0.005569625144373177,11,16,0.004072850263167622
NET,5103,-0.0028703583205737116,-0.002282316805914966,6,16,-1.3647314540206347e-05
ASYM,5103,0.015123069557811055,0.015072382133794793,12,16,0.0009754702656695403
NET,5104,0.004097968128766908,0.006954308483623432,11,16,0.001200969038400708
ASYM,5104,0.0195288198428981,0.013639155999687853,13,16,0.0036262798354799136
NET,5105,0.0057971093481361,0.0035483643149036505,14,16,0.0025035216617595186
ASYM,5105,0.00843064990485035,0.005289253048048857,12,16,0.0044752261947348815
