model,config_id,lr,parameter_target,parameters,width,fit,val,seed,objective,signed_init,steps,best_update,best_val_mse_path,state_scale,source_mean,wall_seconds,sampler_state_final
DIRECT,p8192_lr0.0003,0.0003,8192,8146,19,fold_A_fit,fold_A_val,4101,path,,3000,2500,0.0001006716848578752,0.018871417918737487,0.003022984057704312,24.77,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
DIRECT,p8192_lr0.0003,0.0003,8192,8146,19,fold_B_fit,fold_B_val,4101,path,,3000,3000,0.00015937140503670996,0.016475858531262894,0.002517923018037332,16.9,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
DIRECT,p8192_lr0.001,0.001,8192,8146,19,fold_A_fit,fold_A_val,4101,path,,3000,3000,0.00010118074029016027,0.018871417918737487,0.003022984057704312,16.79,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
DIRECT,p8192_lr0.001,0.001,8192,8146,19,fold_B_fit,fold_B_val,4101,path,,3000,2250,0.00015837875894955206,0.016475858531262894,0.002517923018037332,18.4,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
DIRECT,p8192_lr0.003,0.003,8192,8146,19,fold_A_fit,fold_A_val,4101,path,,3000,2500,0.00010167234068165395,0.018871417918737487,0.003022984057704312,17.51,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
DIRECT,p8192_lr0.003,0.003,8192,8146,19,fold_B_fit,fold_B_val,4101,path,,3000,1250,0.00015888261908463572,0.016475858531262894,0.002517923018037332,17.85,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
DIRECT,p32768_lr0.0003,0.0003,32768,32794,98,fold_A_fit,fold_A_val,4101,path,,3000,2500,0.00010068010479445784,0.018871417918737487,0.003022984057704312,18.89,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
DIRECT,p32768_lr0.0003,0.0003,32768,32794,98,fold_B_fit,fold_B_val,4101,path,,3000,2250,0.00015817646076795764,0.016475858531262894,0.002517923018037332,19.54,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
DIRECT,p32768_lr0.001,0.001,32768,32794,98,fold_A_fit,fold_A_val,4101,path,,3000,2500,0.0001010795578079914,0.018871417918737487,0.003022984057704312,20.55,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
DIRECT,p32768_lr0.001,0.001,32768,32794,98,fold_B_fit,fold_B_val,4101,path,,3000,1250,0.00015826920144091673,0.016475858531262894,0.002517923018037332,26.66,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
