event,family,arm,path24_mse,h24_mse,active48_step_mse,active48_n
2022-01-16,winter,one,0.0007891571550993655,0.0010666203522053355,5.259474963277899e-05,26231.0
2022-01-16,winter,two,0.0007810346363837372,0.0010585564938524795,5.2646104567615326e-05,26231.0
2022-01-16,winter,persistence,0.0007363960641124831,0.0008914296531629163,,
2022-01-16,winter,damped_persistence,0.0006771668031112145,0.0007547617082784611,,
2022-01-16,winter,recursive_hgb,0.00578340583916086,0.013715039182005112,,
2022-01-16,winter,direct_hgb_h24,,0.0018415402668264325,,
2022-03-12,winter,one,0.00032523631924806485,0.00051828573794573,3.879575624948851e-05,25139.0
2022-03-12,winter,two,0.0003503146378158565,0.000581569657136159,3.896986643147554e-05,25139.0
2022-03-12,winter,persistence,0.00026039852661055823,0.00031307490291116846,,
2022-03-12,winter,damped_persistence,0.0002541546314422523,0.0003006416836757168,,
2022-03-12,winter,recursive_hgb,0.009386563361603902,0.018265870786701756,,
2022-03-12,winter,direct_hgb_h24,,0.0007498682925853749,,
2022-04-13,convective,one,0.001102433987351821,0.0014854858792069398,0.00015298356796036104,9696.0
2022-04-13,convective,two,0.0010551919758074765,0.0014346785269528084,0.00015228641213757546,9696.0
2022-04-13,convective,persistence,0.001047196428343628,0.0013064317229178157,,
2022-04-13,convective,damped_persistence,0.000871159003966507,0.0009070802862512609,,
2022-04-13,convective,recursive_hgb,0.00510059116423244,0.009991921716326521,,
2022-04-13,convective,direct_hgb_h24,,0.001888237875615787,,
2022-06-08,convective,one,0.00010031459446186358,0.00022565272806035857,,
2022-06-08,convective,two,0.00010400721408359972,0.00021694029991164935,,
2022-06-08,convective,persistence,2.7580698168849736e-05,2.861250203489687e-05,,
2022-06-08,convective,damped_persistence,2.2310210842013277e-05,1.897340845005244e-05,,
2022-06-08,convective,recursive_hgb,0.00014892326053284632,0.0005438761729901936,,
2022-06-08,convective,direct_hgb_h24,,0.0001933753973675958,,
2022-06-17,convective,one,0.0014124986714889372,0.0034191099831678974,0.0003422927447296504,16944.0
2022-06-17,convective,two,0.001325857010463343,0.003230146472057843,0.00034129150116034073,16944.0
2022-06-17,convective,persistence,0.0014653008370097988,0.003739710214040281,,
2022-06-17,convective,damped_persistence,0.0014155585100470564,0.003645050937442374,,
2022-06-17,convective,recursive_hgb,0.0014037137347137373,0.0035167745273716263,,
2022-06-17,convective,direct_hgb_h24,,0.003443475488465767,,
2022-07-23,convective,one,0.0017641513105184675,0.0019410308945084925,0.0001658477250689054,8881.0
2022-07-23,convective,two,0.0016886945161496466,0.0018429439441958106,0.00016508522181214234,8881.0
2022-07-23,convective,persistence,0.001980231642652722,0.0023057783790806524,,
2022-07-23,convective,damped_persistence,0.0018645147176047736,0.002066893889677396,,
2022-07-23,convective,recursive_hgb,0.0022782198242175906,0.003229723830420783,,
2022-07-23,convective,direct_hgb_h24,,0.0017125458359139422,,
2024-01-09,winter,one,0.002482776989659813,0.0031350122557631337,0.00016688369993526694,11472.0
2024-01-09,winter,two,0.0023707279422300904,0.0029573002050015894,0.00016646089542518718,11472.0
2024-01-09,winter,persistence,0.002175072874562204,0.002056280852844544,,
2024-01-09,winter,damped_persistence,0.0019256773334322247,0.0015449339437698312,,
2024-01-09,winter,recursive_hgb,0.019582165097386504,0.03370368005608162,,
2024-01-09,winter,direct_hgb_h24,,0.016231224037609328,,
2024-01-12,winter,one,0.0014592717216274978,0.002393267140896837,8.220499754298973e-05,27024.0
2024-01-12,winter,two,0.0014654180425982266,0.0024159639274832384,8.230030442096808e-05,27024.0
2024-01-12,winter,persistence,0.0014906915576078789,0.002518895564898044,,
2024-01-12,winter,damped_persistence,0.0014583843792860332,0.0024249987905048016,,
2024-01-12,winter,recursive_hgb,0.006053372333376398,0.013589098710239788,,
2024-01-12,winter,direct_hgb_h24,,0.0025702996458132604,,
2024-05-08,convective,one,0.0008223788194635383,0.001280663904129204,9.868001301271194e-05,11328.0
2024-05-08,convective,two,0.0008118105984001374,0.0012795196244031076,9.831327278612263e-05,11328.0
2024-05-08,convective,persistence,0.000799422714629024,0.0011038153978451318,,
2024-05-08,convective,damped_persistence,0.0007276869984601664,0.0009451513228039526,,
2024-05-08,convective,recursive_hgb,0.005166965797550886,0.009531780153258302,,
2024-05-08,convective,direct_hgb_h24,,0.0010029733673560166,,
