         endpoint          reference  n_events  mean_reference  mean_two  mean_difference  mean_gain_pct  median_gain_pct  positive_events  signflip_p  bootstrap_lo  bootstrap_hi  loo_min_mean
active48_step_mse                one        11        0.000301  0.000301    -3.513833e-07      -0.039144         0.253353                6    0.974609     -0.000002  9.377828e-07 -6.624759e-07
       path24_mse damped_persistence        12        0.006330  0.005798     5.318734e-04     -58.604016       -13.449499                4    0.710938     -0.000126  1.721083e-03 -3.667443e-05
       path24_mse                one        12        0.005833  0.005798     3.531724e-05      -1.017867         1.157172                7    0.532715     -0.000062  1.433010e-04 -6.571826e-06
       path24_mse        persistence        12        0.006353  0.005798     5.551792e-04     -43.472162        -1.156562                5    0.290039     -0.000039  1.562753e-03  9.600901e-05
       path24_mse      recursive_hgb        12        0.009588  0.005798     3.790261e-03      56.130574        77.552034               11    0.041504      0.000508  7.118742e-03  2.570155e-03
          h24_mse damped_persistence        12        0.009575  0.008619     9.555677e-04    -146.252175       -37.813824                5    0.799316     -0.000405  3.329564e-03 -1.641858e-04
          h24_mse     direct_hgb_h24        12        0.010692  0.008619     2.072994e-03      19.027812         7.941461                9    0.012695      0.000218  4.665835e-03  1.054728e-03
          h24_mse                one        12        0.008674  0.008619     5.509816e-05      -0.512240         2.088135                8    0.562012     -0.000130  2.627033e-04 -2.573519e-05
          h24_mse        persistence        12        0.009673  0.008619     1.053483e-03     -96.859645       -12.867236                5    0.390137     -0.000192  3.080059e-03  1.525210e-04
          h24_mse      recursive_hgb        12        0.017101  0.008619     8.482024e-03      64.388725        83.931462               11    0.005859      0.003356  1.400493e-02  6.457992e-03
