screen,K,event,family,arm,step_mse,path_mse,h24_mse,n_step,n_origins
offline,1,2021-02-15,winter,one,0.00040072998625173984,0.005622076909018809,0.01313364114910253,38280,25
offline,1,2021-02-15,winter,two,0.00040142600717773684,0.0057232941767912495,0.013395996592380985,38280,25
offline,1,2021-05-04,convective,one,0.0003516112972133489,0.0048892583827818935,0.006237257780881019,16320,25
offline,1,2021-05-04,convective,two,0.0003497594928223928,0.00472348248573198,0.0058773943506129035,16320,25
offline,1,2021-06-21,convective,one,9.765788916005508e-05,0.0015423651086615745,0.001938242149631749,12240,25
offline,1,2021-06-21,convective,two,9.719933064619491e-05,0.0014112188743507872,0.001647431811118101,12240,25
offline,1,2021-08-11,convective,one,0.00021809822897929265,0.0021497247752030107,0.003159282357248264,12049,25
offline,1,2021-08-11,convective,two,0.00021678524823712827,0.0020604287398874473,0.002905242696843181,12049,25
offline,1,2021-12-11,convective,one,0.00025871133503866116,0.002991971550561171,0.0033775700015762785,11940,25
offline,1,2021-12-11,convective,two,0.00025741804300482673,0.0028621179983696903,0.00309830262852271,11940,25
offline,1,2021-12-15,wind,one,0.0007521538679062332,0.008328004537262014,0.010188922949250922,16391,25
offline,1,2021-12-15,wind,two,0.0007481570168765703,0.008027180061931947,0.009568092481502843,16391,25
offline,2,2021-02-15,winter,one,0.00040067313733945447,0.005597202727963519,0.01308000445990763,38280,25
offline,2,2021-02-15,winter,two,0.0004010556647377339,0.005708459294431521,0.013357498849180575,38280,25
offline,2,2021-05-04,convective,one,0.00035154078737624966,0.004897199244608642,0.006230103455269631,16320,25
offline,2,2021-05-04,convective,two,0.0003502542172091343,0.004781427925346243,0.005974959872915397,16320,25
offline,2,2021-06-21,convective,one,9.752454227113844e-05,0.0015194897428831228,0.001860400236040227,12240,25
offline,2,2021-06-21,convective,two,9.71847820080892e-05,0.0014257177147010622,0.0016502348646349912,12240,25
offline,2,2021-08-11,convective,one,0.00021792635675798523,0.002125121441193469,0.0030802972461436663,12049,25
offline,2,2021-08-11,convective,two,0.00021699053957551585,0.002058114613371977,0.0028905149410632454,12049,25
offline,2,2021-12-11,convective,one,0.00025863582572607444,0.0029943479761165744,0.0033481713987811596,11940,25
offline,2,2021-12-11,convective,two,0.00025773443359134276,0.0029028720944438507,0.003147591776224655,11940,25
offline,2,2021-12-15,wind,one,0.0007521920363564666,0.008297581209026135,0.010157842349548077,16391,25
offline,2,2021-12-15,wind,two,0.0007473854502925622,0.007927799627504693,0.009405941178444547,16391,25
offline,16,2021-02-15,winter,one,0.00041743927432318035,0.006064747550408225,0.014298966593227968,38280,25
offline,16,2021-02-15,winter,two,0.00041727775825106504,0.005977953808433164,0.014077544341274622,38280,25
offline,16,2021-05-04,convective,one,0.0003505440384185322,0.004439576788772598,0.00533566032892884,16320,25
offline,16,2021-05-04,convective,two,0.0003493323671887703,0.004333825280645221,0.005165292802279223,16320,25
offline,16,2021-06-21,convective,one,9.82750696150058e-05,0.0011861577717743555,0.0010432342355572981,12240,25
offline,16,2021-06-21,convective,two,9.775922260836079e-05,0.001156631168878894,0.0010143242621934948,12240,25
offline,16,2021-08-11,convective,one,0.0002150078279556831,0.00221052006396609,0.0030482627879355345,12049,25
offline,16,2021-08-11,convective,two,0.0002150182681866358,0.0022015752714216806,0.003031313836495862,12049,25
offline,16,2021-12-11,convective,one,0.00026125631399907513,0.002975193183390582,0.003255953170000674,11940,25
offline,16,2021-12-11,convective,two,0.0002602213361100796,0.0029071927949709604,0.0032158991485119505,11940,25
offline,16,2021-12-15,wind,one,0.0007399511499551044,0.007635008934703673,0.008794797636494338,16391,25
offline,16,2021-12-15,wind,two,0.0007395934518810142,0.007499976387940616,0.008544078934559367,16391,25
