screen,K,event,family,arm,step_mse,path_mse,h24_mse,n_step,n_origins
offline,4,2021-02-15,winter,one,0.00040453107347588653,0.005767461283941372,0.01367164415805156,38280,25
offline,4,2021-02-15,winter,two,0.00040413321615909506,0.005820426341654431,0.013765801764563284,38280,25
offline,4,2021-05-04,convective,one,0.0003503517529054313,0.004660017268786864,0.0055768000092718895,16320,25
offline,4,2021-05-04,convective,two,0.0003503872576813945,0.00466608971525986,0.005597486904481788,16320,25
offline,4,2021-06-21,convective,one,9.758631194876834e-05,0.0014971447729354643,0.0018789831526890754,12240,25
offline,4,2021-06-21,convective,two,9.762842141575342e-05,0.0015043432713737152,0.0019038328620230918,12240,25
offline,4,2021-08-11,convective,one,0.0002202566588989022,0.002506404256783455,0.004161483429573703,12049,25
offline,4,2021-08-11,convective,two,0.00022026303852972076,0.0025082074935136706,0.004167837311779313,12049,25
offline,4,2021-12-11,convective,one,0.00025638412563387675,0.002661446722298636,0.002713168463973282,11940,25
offline,4,2021-12-11,convective,two,0.0002564317586960166,0.002669654824721861,0.0027375559961363236,11940,25
offline,4,2021-12-15,wind,one,0.000739333514173831,0.007638125770709582,0.008886513039164858,16391,25
offline,4,2021-12-15,wind,two,0.0007383237992538165,0.0075633897922958585,0.00874804852287055,16391,25
offline,8,2021-02-15,winter,one,0.00040299919299397916,0.0057090782933224525,0.013506616897460253,38280,25
offline,8,2021-02-15,winter,two,0.00040266425742443735,0.005784002615900053,0.01367004457787194,38280,25
offline,8,2021-05-04,convective,one,0.00035123209262188644,0.004549689481372659,0.005546280883959037,16320,25
offline,8,2021-05-04,convective,two,0.0003507632766583044,0.004412880385528937,0.005308242752650131,16320,25
offline,8,2021-06-21,convective,one,9.741269226168483e-05,0.0011396096246907867,0.0010177419245701942,12240,25
offline,8,2021-06-21,convective,two,9.73742931502902e-05,0.0011166766389184212,0.0010166751692627964,12240,25
offline,8,2021-08-11,convective,one,0.0002150132496468444,0.0021845564495023154,0.0030306511388568675,12049,25
offline,8,2021-08-11,convective,two,0.0002150262970049311,0.002164326511598856,0.0030006587585202304,12049,25
offline,8,2021-12-11,convective,one,0.00026140912045394406,0.002931756051143928,0.0031779226533308258,11940,25
offline,8,2021-12-11,convective,two,0.000260971912158807,0.002889661622505099,0.0032000072202995247,11940,25
offline,8,2021-12-15,wind,one,0.0007388998777578458,0.0077508220525103755,0.009105790075751083,16391,25
offline,8,2021-12-15,wind,two,0.0007377599429062439,0.007613714444307636,0.008849964116509951,16391,25
