resolution,event,arm,step,path,h24
30min,2021-02-15,one,0.00029185009379166423,0.0025348984807780374,0.005907560899156927
30min,2021-02-15,two,0.00029167567623025704,0.002535863186449591,0.005909722346376218
30min,2021-05-04,one,0.00018909772006839336,0.0031977182010862475,0.004640627033001746
30min,2021-05-04,two,0.00018889011829014286,0.0031250714016412716,0.004496324886322108
30min,2021-06-21,one,5.2297487208232496e-05,0.0009137554210148117,0.0011886507483578766
30min,2021-06-21,two,5.2219483434691695e-05,0.0008888015112991588,0.0011485333012038808
30min,2021-08-11,one,0.0002759741464889728,0.0015356040154437965,0.0021900006519257314
30min,2021-08-11,two,0.00027564652988308066,0.0015259259093728691,0.0021768531663324026
30min,2021-12-11,one,0.00014083037183505024,0.001989692533830185,0.0028468112829268476
30min,2021-12-11,two,0.00014062582991139396,0.001956931047925897,0.0027993177003388216
30min,2021-12-15,one,0.0005282927205035996,0.005533047110484976,0.008133230287514441
30min,2021-12-15,two,0.0005278260292594021,0.0054506973188894825,0.007955334763740197
