event,family,arm,path_mse,h24_mse
2021-02-15,winter,one,0.0057090782933224525,0.013506616897460253
2021-02-15,winter,two,0.005784002615900053,0.01367004457787194
2021-02-15,winter,persistence,0.005955767546378137,0.014141020239988391
2021-02-15,winter,damped_persistence,0.0061024103890090255,0.014521315711771012
2021-02-15,winter,global_constant_one,0.005622076908743589,0.013133641148243709
2021-02-15,winter,global_constant_two,0.0057232941773930094,0.013395996593765154
2021-02-15,winter,hgb_recursive,0.007124905534412869,0.016220827678716864
2021-05-04,convective,one,0.004549689481372659,0.005546280883959037
2021-05-04,convective,two,0.004412880385528937,0.005308242752650131
2021-05-04,convective,persistence,0.00504114649124401,0.006457715493169768
2021-05-04,convective,damped_persistence,0.004876298585444149,0.006094912814645866
2021-05-04,convective,global_constant_one,0.004889258382732721,0.0062372577810003264
2021-05-04,convective,global_constant_two,0.004723482484493679,0.005877394348245989
2021-05-04,convective,hgb_recursive,0.004898412738719888,0.005903601016016594
2021-06-21,convective,one,0.0011396096246907867,0.0010177419245701942
2021-06-21,convective,two,0.0011166766389184212,0.0010166751692627964
2021-06-21,convective,persistence,0.0014790749813182002,0.0016645113688788277
2021-06-21,convective,damped_persistence,0.001329032628465605,0.001332780681821022
2021-06-21,convective,global_constant_one,0.0015423651088817137,0.0019382421503684939
2021-06-21,convective,global_constant_two,0.0014112188736291956,0.0016474318098164125
2021-06-21,convective,hgb_recursive,0.0032194172785748832,0.004379998916509909
2021-08-11,convective,one,0.0021845564495023154,0.0030306511388568675
2021-08-11,convective,two,0.002164326511598856,0.0030006587585202304
2021-08-11,convective,persistence,0.0020692018596645866,0.0028626546746457985
2021-08-11,convective,damped_persistence,0.001989329801007712,0.002637616440580835
2021-08-11,convective,global_constant_one,0.0021497247754413244,0.0031592823580040984
2021-08-11,convective,global_constant_two,0.002060428739621559,0.0029052426961436845
2021-08-11,convective,hgb_recursive,0.003458420637499317,0.005047925181603717
2021-12-11,convective,one,0.002931756051143928,0.0031779226533308258
2021-12-11,convective,two,0.002889661622505099,0.0032000072202995247
2021-12-11,convective,persistence,0.0031051154118729523,0.003442295495535093
2021-12-11,convective,damped_persistence,0.0029755246496447753,0.0031550869502942527
2021-12-11,convective,global_constant_one,0.0029919715505605463,0.003377570001890262
2021-12-11,convective,global_constant_two,0.002862117997453221,0.003098302626944035
2021-12-11,convective,hgb_recursive,0.003657559324636699,0.00476546875275653
2021-12-15,wind,one,0.0077508220525103755,0.009105790075751083
2021-12-15,wind,two,0.007613714444307636,0.008849964116509951
2021-12-15,wind,persistence,0.008681446287720043,0.01084605649706105
2021-12-15,wind,damped_persistence,0.008378635370333606,0.010208791761049451
2021-12-15,wind,global_constant_one,0.008328004536961666,0.01018892294882755
2021-12-15,wind,global_constant_two,0.008027180059445192,0.009568092476760399
2021-12-15,wind,hgb_recursive,0.008146546643290354,0.009765174739507304
