seed,metric,diff,gain,pos,p
0,step,4.010410721951202e-07,0.09524405024509731,5,0.0625
0,path,4.737495563058564e-05,1.3062961484480475,5,0.25
0,h24,5.656849646894774e-05,1.0484782064812883,4,0.34375
1,step,8.381840834260774e-07,0.2901392351009464,5,0.0625
1,path,5.323870069037748e-05,1.6224810433435046,5,0.15625
1,h24,6.674802357054632e-05,1.7348295942112377,5,0.28125
2,step,3.4847741810316735e-07,0.0784945063089345,5,0.0625
2,path,2.648297969882476e-05,0.6042934943141296,5,0.3125
2,h24,2.4588778726408273e-05,0.2463704534822471,3,0.71875
3,step,6.614762930593992e-07,0.153198071906538,6,0.03125
3,path,5.702489615833727e-05,1.3886679422094952,5,0.21875
3,h24,8.33443603490286e-05,1.3800278196119187,5,0.28125
4,step,7.164269552784237e-07,0.20424492530733337,5,0.0625
4,path,0.00011846651368215542,2.5316041235964195,5,0.0625
4,h24,0.0002009621387841144,1.9724093233542874,4,0.125
