fold,design,weighting,n_source_events,held_out_events,gamma_defined,n,mu,v,A,B,C,abc_residual,mean_delta,rank,U_unc,R_unc,identity_residual_unc,U_box,R_box,identity_residual_box,boundary_status,n_active_bounds,sigma2,sigma,sse,closure_ratio,closure_pass,interior_unc,mean_flow_interrupt,mean_flow_restore,c_common,rms_delivered_treatment,balanced_lo,balanced_hi,balanced_share,rho_box,median_one_customer_fraction,n_unique_counties,G_plugin,Gamma_plugin,noise_threshold,Gamma_cap,Gamma_near_closure,n_eff_kish
0,full,row_pooled,21,"2018-01-16,2019-02-24,2021-05-04,2022-04-13,2022-06-17",True,1217575,0.014936510827876314,0.0061725276100630146,0.9765226053101143,0.006395626965774281,0.008540883862102042,5.924080670460796e-16,5.2593646839004454e-05,2,0.00019219116019198436,0.009153867967115308,-1.7726705520137997e-17,0.00019219116019198436,0.009153867967115308,-1.7726705520137997e-17,interior,0,0.0001380623403436184,0.011749993206109458,168.1009779192005,0.16130677949573397,False,True,0.00018932049484675467,0.00013672684800776795,0.00019219116019198436,0.00018887966657343691,0.01038875230216051,0.04029903900589984,0.03541219226741669,0.020995622930374238,5.462689828471539e-05,2511,3.564894922038284e-08,314.38891473936934,0.20833931301366923,3484024.8884493606,,1217575.0
0,full,equal_event,21,"2018-01-16,2019-02-24,2021-05-04,2022-04-13,2022-06-17",False,1217575,0.013968110615553805,0.0053968613412659116,0.9776557482243238,0.0055919694554342585,0.008376141160119543,-1.5612511283791264e-17,4.34933351722343e-05,2,0.00019271152837579175,0.01049006421062782,4.743384504624082e-19,0.00019271152837579175,0.01049006421062782,4.743384504624082e-19,interior,0,0.0001329408228478314,0.01152999665428535,168.11486712608593,0.12923440950523177,False,True,0.00019001971243054626,0.0001465263772583115,0.00019271152837579175,0.00018945566654859938,0.00910182709708465,0.035439612706609,0.03849125570666669,0.01837086260926311,5.462689828471539e-05,2511,,,,,,1031773.0159573971
0,active48,row_pooled,20,"2018-01-16,2019-02-24,2021-05-04,2022-04-13,2022-06-17",True,341996,0.023931986099788638,0.009264877930129893,0.9619736456892242,0.009837617888810369,0.014094368210978273,-8.847089727481716e-17,0.0006022319389715893,2,0.0007075734344579868,0.0036941295853896504,6.179952383167375e-18,0.0007075734344579868,0.0036941295853896504,6.179952383167375e-18,interior,0,0.0003417863669214213,0.018487465129687772,116.88888676892456,0.7730360720566519,False,True,0.0006906397968599586,8.840785788836307e-05,0.0007075734344579868,0.0006873384976020591,0.08739971155039067,0.276975983110763,0.03821974526017843,0.19153996038916787,5.444547285893178e-05,2477,1.3143189787045415e-07,131.5125110137524,0.21201222451571947,602313.8303646937,,341996.0
0,active48,equal_event,20,"2018-01-16,2019-02-24,2021-05-04,2022-04-13,2022-06-17",False,341996,0.024537834943223112,0.008952611436554465,0.9604790468938113,0.009554716780255327,0.014983118162967778,2.0816681711721685e-17,0.0005702054383687826,2,0.0007325648560818916,0.00588413209736922,-1.6263032587282567e-18,0.0007325648560818916,0.00588413209736922,-1.6263032587282567e-18,interior,0,0.0003528460198448253,0.018784196012734358,116.90470077438526,0.6638221810620033,False,True,0.0007145893005581481,0.00014438386218936715,0.0007325648560818916,0.0007102734902143887,0.058601301809964285,0.19935739808089412,0.04745200008342911,0.12449837018604994,5.444547285893178e-05,2477,,,,,,292104.9295189027
1,full,row_pooled,20,"2020-08-04,2021-02-15,2021-06-21,2021-08-11,2022-01-16,2022-03-12",True,1101466,0.013245216035482173,0.005612734116977825,0.9792977377939495,0.005788169864804419,0.007457046170677756,6.331740687315346e-16,4.9512178829759055e-05,2,0.0001746709758610114,0.00927468769794149,-1.910228702647898e-17,0.0001746709758610114,0.00927468769794149,-1.910228702647898e-17,interior,0,0.00012920447885394554,0.01136681480688172,142.31408209638226,0.16772266984674108,False,True,0.00017235742105060382,0.00012284524222086387,0.0001746709758610114,0.00017204619551359145,0.009328698102596197,0.036298927210208345,0.03837431205320917,0.01883308436356078,5.701417585099447e-05,2424,2.9585212631240724e-08,252.21343799481664,0.18051899018131637,3053748.4734603646,,1101466.0
1,full,equal_event,20,"2020-08-04,2021-02-15,2021-06-21,2021-08-11,2022-01-16,2022-03-12",False,1101466,0.012417510021713353,0.004939347917087776,0.9802585224288096,0.005093542472227128,0.007323967549486234,4.683753385137379e-17,4.018249952314298e-05,2,0.00017726253033390326,0.010861990151650054,-1.497554250745603e-18,0.00017726253033390326,0.010861990151650054,-1.497554250745603e-18,interior,0,0.00012667710306760733,0.011255092317151704,142.3300849534318,0.1296459574899596,False,True,0.00017506137108700776,0.00013487887156386628,0.00017726253033390326,0.00017464669962667106,0.008093720145492336,0.03160741584681049,0.03876570254365931,0.016319525967069225,5.701417585099447e-05,2424,,,,,,968572.6179024365
1,active48,row_pooled,19,"2020-08-04,2021-02-15,2021-06-21,2021-08-11,2022-01-16,2022-03-12",True,308724,0.02281980606879839,0.008925784508739352,0.9638069159201426,0.00944652805775692,0.013373278011041462,-1.6653345369377348e-16,0.000583260533676722,2,0.0007298849147599813,0.005695427405651292,1.3118846287074604e-17,0.0007298849147599813,0.005695427405651292,1.3118846287074604e-17,interior,0,0.00035200062593749454,0.01876167972057658,108.6703372406752,0.6917245873765016,False,True,0.0007132290825526171,0.00012996854887588203,0.0007298849147599813,0.0007100947097592667,0.06021785231395981,0.20401531663508699,0.04406201008020106,0.12815279043601757,5.636978579481398e-05,2395,3.004062753915864e-07,263.47290354097447,0.3045367415665836,507648.76443243783,,308724.0
1,active48,equal_event,19,"2020-08-04,2021-02-15,2021-06-21,2021-08-11,2022-01-16,2022-03-12",False,308724,0.022261595162847623,0.008328458674308861,0.9643008469678043,0.008824037293503381,0.013437557869344242,-3.469446951953614e-17,0.0005674756761908282,2,0.0007393364769511713,0.006980721295330975,2.710505431213761e-18,0.0007393364769511713,0.006980721295330975,2.710505431213761e-18,interior,0,0.0003524491961606677,0.018773630340471383,108.67508129734456,0.6461218478124772,False,True,0.0007228776676121583,0.0001554019914213274,0.0007393364769511713,0.0007191922964097817,0.050292333049204385,0.1747965528425816,0.0478782018404705,0.10591118677745713,5.636978579481398e-05,2395,,,,,,273740.61243328854
2,full,row_pooled,21,"2018-10-11,2022-06-08,2024-01-09,2024-05-08,2024-09-27",True,1311431,0.008076841239096069,0.002243351776928191,0.9861549046630493,0.002308587141329754,0.0057682540977663085,-2.0383000842727483e-16,1.6300231120334672e-05,2,0.00018857328923365345,0.02114068811551106,1.6527306866825908e-17,0.00018857328923365345,0.02114068811551106,1.6527306866825908e-17,interior,0,9.908105372508091e-05,0.009953946640658715,129.93776720562914,0.04555679784306214,True,True,0.0001870502127145791,0.0001707499815942279,0.00018857328923365345,0.00018638511634090133,0.004440158073268126,0.017527162181092928,0.03723489836674594,0.008919922010263044,5.413305905916743e-05,2497,3.4555044814690736e-08,457.3685409333052,0.21287685871502024,1881859.0292039989,392.2112980991542,1311431.0
2,full,equal_event,21,"2018-10-11,2022-06-08,2024-01-09,2024-05-08,2024-09-27",False,1311431,0.008234548890590953,0.0021768455636216955,0.9857755555778078,0.0022446533590532282,0.005989895531537717,-1.4268100589909238e-16,1.5014579188542774e-05,2,0.00020096287804351328,0.0223805168515174,1.2593685859776937e-17,0.00020096287804351328,0.0223805168515174,1.2593685859776937e-17,interior,0,0.00010083237126776459,0.010041532316721617,129.94238720373127,0.03914108574607776,True,True,0.00019930803939907012,0.00018429346021051475,0.00020096287804351328,0.00019854078873247357,0.004469616416635865,0.01764190798193298,0.03960860632253407,0.0089793671601417,5.413305905916743e-05,2497,,,,,,1115625.0715896096
