job,stage,update,validation,selected,examples,gn_head_a,gn_head_b,gn_hold,gn_occ,gn_bkg,gn_rec,train_loss
2024-05-08|asym_two_flow|two_flow_start,A,0,0.0003207474435823871,True,,,,,,,,
2024-05-08|asym_two_flow|two_flow_start,A,200,0.0003035031366369172,True,203008.0,3.30300678833799e-09,3.30300678833799e-09,0.0,4.132201675121496e-09,1.0708739026375767e-09,1.2144685382493712e-05,
2024-05-08|asym_two_flow|two_flow_start,A,400,0.00031177624349168134,False,405312.0,1.0907282765685395e-09,1.0907282765685395e-09,0.0,2.9587250413336422e-09,7.991527700853192e-10,2.1601056426246537e-05,
2024-05-08|asym_two_flow|two_flow_start,A,600,0.0003014556689464789,True,607552.0,4.0961026285182365e-09,4.0961026285182365e-09,0.0,6.649275520861251e-09,1.3974962006629094e-09,2.007752331908277e-05,
2024-05-08|asym_two_flow|two_flow_start,A,800,0.0002915397595977417,True,809920.0,1.2666359114919043e-09,1.2666359114919043e-09,0.0,3.770357674843024e-09,2.3135466438328407e-09,3.7587649897215732e-06,
2024-05-08|asym_two_flow|two_flow_start,A,1000,0.00029117593570992937,True,1012352.0,9.288074654315502e-10,9.288074654315502e-10,0.0,2.0800310978849834e-09,1.1799557475200407e-07,1.3320728776890463e-05,
2024-05-08|asym_two_flow|two_flow_start,A,1200,0.00029249432980265824,False,1215296.0,6.365939525418733e-10,6.365939525418733e-10,0.0,3.826828276413359e-09,6.254963514314386e-08,4.079495219059859e-05,
2024-05-08|asym_two_flow|two_flow_start,A,1400,0.0003935594943981702,False,1418048.0,2.6032316250984407e-09,2.6032316250984407e-09,0.0,9.911392137114422e-09,4.9338652308775e-06,2.218780670599432e-05,
2024-05-08|asym_two_flow|two_flow_start,A,1600,0.000294767500233412,False,1620672.0,6.722058051645286e-10,6.722058051645286e-10,0.0,3.833826506697148e-09,1.6691075225295123e-07,6.273761888008534e-06,
2024-05-08|asym_two_flow|two_flow_start,B,200,0.00027703944991956816,True,,8.555155615425449e-09,8.555155615425449e-09,1.1338232429829339e-15,3.387417772397488e-08,1.7129158281333545e-07,3.5278069385169327e-06,1.0522201137064258e-05
2024-05-08|asym_two_flow|two_flow_start,B,400,0.0002729675797188139,True,,1.8822757390683628e-07,1.8822757390683628e-07,1.917573194996584e-15,2.636191096979003e-07,8.338326375334662e-08,0.0019208069228882957,0.0008383258125377324
2024-05-08|asym_two_flow|two_flow_start,B,600,0.0002707449569476857,True,,1.1572304064483048e-07,1.1572304064483048e-07,0.0,8.680333433544075e-08,6.95476980587541e-07,3.964570924964371e-06,0.00011255946901655989
2024-05-08|asym_two_flow|two_flow_start,B,800,0.0002713284594297767,False,,6.746138576175026e-08,6.746138576175026e-08,0.0,9.657018669892145e-08,2.9411004243729974e-07,0.00027118787251210645,7.453185639860749e-05
2024-05-08|asym_two_flow|two_flow_start,B,1000,0.0002704765726989764,True,,7.43103863361726e-08,7.43103863361726e-08,0.0,5.694730783697092e-08,2.4730629117766064e-08,0.0002796775888822742,5.440015831936762e-05
2024-05-08|asym_two_flow|two_flow_start,B,1200,0.0002686131295374957,True,,4.276154410632695e-07,4.276154410632695e-07,0.0,4.381466679308187e-07,6.568525768488565e-07,0.0009611194586415164,0.00017217214872289333
2024-05-08|asym_two_flow|two_flow_start,B,1400,0.00026384605316665915,True,,5.1309176093402683e-08,5.1309176093402683e-08,0.0,4.598253185884591e-08,2.78914804957901e-07,1.7191440869719233e-05,1.4256630151976424e-05
2024-05-08|asym_two_flow|two_flow_start,B,1600,0.0002683715000058175,False,,6.38809686726636e-08,6.38809686726636e-08,0.0,7.539379018148456e-08,1.5583051646117985e-07,2.4816218130987856e-05,1.9731739712369745e-05
2024-05-08|asym_two_flow|two_flow_start,B,1800,0.00026801994406432203,False,,3.295843693492655e-07,3.295843693492655e-07,1.4008709895596658e-15,3.9414170760036536e-07,4.050254221241074e-07,0.0015595061870766111,0.0008721137166958215
2024-05-08|asym_two_flow|two_flow_start,B,2000,0.00026814911007801135,False,,3.3432596530884624e-07,3.3432596530884624e-07,5.5262509735396917e-14,1.939771435615336e-07,4.874439323329971e-06,0.00017384811613305716,0.0002673536077963945
2024-05-08|asym_two_flow|two_flow_start,B,2200,0.00026686932123681095,False,,5.4403796189134036e-08,5.4403796189134036e-08,3.6798709913103376e-15,6.107124746270199e-08,3.5795222472460933e-06,6.256396305508551e-05,3.602540391511866e-05
2024-05-08|asym_two_flow|two_flow_start,B,2400,0.00027080421884332826,False,,1.5594722069698777e-07,1.5594722069698777e-07,7.173395866918052e-15,2.15692750353306e-07,1.3974617050040194e-05,0.00012064980611630396,0.0003503410888470171
2024-05-08|asym_two_flow|two_flow_start,B,2600,0.0002686381032236712,False,,3.505274232766316e-07,3.505274232766316e-07,0.0,6.080833846193942e-07,7.068447576198119e-05,0.000255041946536047,0.0006424916400646907
2024-05-08|asym_one_flow|interruption_ray_start,A,0,0.0005159843742857104,True,,,,,,,,
2024-05-08|asym_one_flow|interruption_ray_start,A,200,0.0005159843742857104,False,203008.0,5.0151648580659276e-14,5.0151648580659276e-14,0.0,5.955778309362517e-14,3.051762595846326e-14,1.7324965699186763e-12,
2024-05-08|asym_one_flow|interruption_ray_start,A,400,0.0005159843742857104,False,405312.0,1.0583962904688644e-14,1.0583962904688644e-14,0.0,1.5975712240735424e-14,8.152881713835247e-15,1.3702857687958385e-13,
2024-05-08|asym_one_flow|interruption_ray_start,A,600,0.0005159843742857104,False,607552.0,8.271429305230005e-14,8.271429305230005e-14,0.0,1.4782609671342216e-13,6.447470077664906e-14,5.5812496634824584e-12,
2024-05-08|asym_one_flow|interruption_ray_start,A,800,0.0005159843742857104,False,809920.0,4.6059265490650923e-14,4.6059265490650923e-14,0.0,6.335554713559581e-14,3.6550698395703914e-14,1.9032773113703294e-12,
2024-05-08|asym_one_flow|interruption_ray_start,A,1000,0.0005159843742857104,False,1012352.0,4.9209209021959694e-14,4.9209209021959694e-14,0.0,1.3552754553371634e-13,9.905595432767936e-14,1.169197978447242e-12,
2024-05-08|asym_one_flow|interruption_ray_start,A,1200,0.0005159843742857104,False,1215296.0,1.640217191133382e-13,1.640217191133382e-13,0.0,2.6096958244381323e-13,1.3233563678235433e-13,1.0510815066665093e-11,
2024-05-08|asym_one_flow|interruption_ray_start,A,1400,0.0005159843742857104,False,1418048.0,1.449191189665841e-14,1.449191189665841e-14,0.0,4.445883995434914e-14,2.3070414501834314e-14,7.819060550159443e-13,
2024-05-08|asym_one_flow|interruption_ray_start,A,1600,0.0005159843742857104,False,1620672.0,4.207401479958005e-15,4.207401479958005e-15,0.0,5.151287942049354e-14,2.416493622649469e-14,7.862357297309303e-13,
2024-05-08|asym_one_flow|interruption_ray_start,B,200,0.0005159843742857104,False,,2.61782645259072e-14,2.61782645259072e-14,1.0398008670579458e-20,3.724137520484545e-14,1.753437672025594e-14,2.6311084964072065e-13,1.095425045605225e-05
2024-05-08|asym_one_flow|interruption_ray_start,B,400,0.0005367621451711778,False,,1.9648324675329158e-11,1.9648324675329158e-11,0.0,2.846803725092006e-11,1.2134849790144617e-11,0.001846008239761934,0.0011985091789483704
2024-05-08|asym_one_flow|interruption_ray_start,B,600,0.0005218698329063591,False,,1.0226892896717447e-12,1.0226892896717447e-12,0.0,2.3204512617927894e-12,1.8109752685313163e-12,5.5480619428803155e-12,0.000113640791596481
2024-05-08|asym_one_flow|interruption_ray_start,B,800,0.0005211809825473599,False,,1.2508231537004517e-11,1.2508231537004517e-11,0.0,1.3495437337170561e-11,6.386319374611264e-12,3.621215774704977e-05,0.000188854315183562
2024-05-08|asym_one_flow|interruption_ray_start,B,1000,0.0005163742701864349,False,,9.24100615326716e-13,9.24100615326716e-13,0.0,2.5919099243045115e-12,1.438714338756016e-12,1.2824919437874633e-08,6.861742451746977e-05
2024-05-08|asym_one_flow|interruption_ray_start,B,1200,0.0005151151649603351,True,,3.373456670468308e-11,3.373456670468308e-11,0.0,4.08275302408168e-11,1.743341616529567e-11,0.00014987031858206234,0.0009439517200462433
2024-05-08|asym_one_flow|interruption_ray_start,B,1400,0.0005127006884486366,True,,1.1175636215394132e-12,1.1175636215394132e-12,0.0,2.075395843893877e-12,9.398824699280207e-13,5.603990742246709e-11,1.3281966175782145e-05
2024-05-08|asym_one_flow|interruption_ray_start,B,1600,0.0005112446499073343,True,,1.6927591973525104e-12,1.6927591973525104e-12,0.0,2.0577894601969373e-12,1.0655511680819496e-12,5.623980166221645e-06,4.906517824565526e-05
2024-05-08|asym_one_flow|interruption_ray_start,B,1800,0.0005097425182904932,True,,2.7425377525502027e-11,2.7425377525502027e-11,1.0375331499892587e-17,3.517187618592234e-11,1.6010329420796863e-11,0.0007197611411020127,0.0011733722787994338
2024-05-08|asym_one_flow|interruption_ray_start,B,2000,0.0005088631225010402,True,,1.8422870743587428e-11,1.8422870743587428e-11,0.0,2.1657688762978914e-11,9.44870059719711e-12,4.533792765255152e-05,0.000528637573324886
2024-05-08|asym_one_flow|interruption_ray_start,B,2200,0.0005071401730735351,True,,5.321984953274083e-12,5.321984953274083e-12,0.0,1.3996259126236457e-11,6.330975617675815e-12,2.8194314897085655e-09,7.936918746054289e-05
2024-05-08|asym_one_flow|interruption_ray_start,B,2400,0.0005041531104848187,True,,4.066121935328774e-12,4.066121935328774e-12,0.0,2.072001112763728e-11,1.3175787872774546e-11,0.0002709435374019529,0.0004062599933831734
2024-05-08|asym_one_flow|interruption_ray_start,B,2600,0.000503233108502355,True,,7.395146974401834e-12,7.395146974401834e-12,0.0,1.507551173214741e-11,6.386005061177805e-12,0.0003012884344152532,0.0007508063408749877
2024-05-08|asym_one_flow|interruption_ray_start,B,2800,0.0005030472089572401,True,,6.141780167059779e-12,6.141780167059779e-12,0.0,1.1147340629188538e-11,5.2962431986712425e-12,2.2269366233656766e-06,0.00038920812812648364
2024-05-08|asym_one_flow|interruption_ray_start,B,3000,0.0005023332757563809,True,,3.9343294496564926e-12,3.9343294496564926e-12,0.0,8.50654456818036e-12,3.643758935306186e-12,0.00024847341499327307,7.194960755896318e-05
2024-05-08|asym_one_flow|interruption_ray_start,B,3200,0.0005027895472814275,False,,1.714460850337273e-11,1.714460850337273e-11,0.0,2.977209716943568e-11,1.3698718612399155e-11,0.00016899592033002515,0.00025121494763880037
2024-05-08|asym_one_flow|restoration_ray_start,A,0,0.00032041620384007515,True,,,,,,,,
2024-05-08|asym_one_flow|restoration_ray_start,A,200,0.0003033929616208965,True,203008.0,9.383803813301832e-16,9.383803813301832e-16,0.0,9.239986639945377e-14,4.277989964207853e-14,1.2135460290656887e-05,
2024-05-08|asym_one_flow|restoration_ray_start,A,400,0.0003117755293642228,False,405312.0,1.2904375092379754e-14,1.2904375092379754e-14,0.0,4.412920331767738e-14,1.9225007258832303e-14,2.1607089959027655e-05,
2024-05-08|asym_one_flow|restoration_ray_start,A,600,0.0003015576727410778,True,607552.0,3.343586651575811e-14,3.343586651575811e-14,0.0,1.1326938273889316e-13,5.002459134714467e-14,2.004539906913986e-05,
2024-05-08|asym_one_flow|restoration_ray_start,A,800,0.0002916776452940475,True,809920.0,6.576114762560584e-15,6.576114762560584e-15,0.0,2.7818389673379732e-14,1.8082546194853827e-14,3.747472294501154e-06,
2024-05-08|asym_one_flow|restoration_ray_start,A,1000,0.00028990986283488663,True,1012352.0,2.4269956647716033e-14,2.4269956647716033e-14,0.0,8.984099246004031e-14,6.417010718704395e-14,1.3360193980257075e-05,
2024-05-08|asym_one_flow|restoration_ray_start,A,1200,0.0002938852005703243,False,1215296.0,1.138308166902933e-13,1.138308166902933e-13,0.0,2.0317247807577265e-13,1.1137964334042579e-13,4.114447679584617e-05,
2024-05-08|asym_one_flow|restoration_ray_start,A,1400,0.00039246595121999225,False,1418048.0,3.0877203091573336e-14,3.0877203091573336e-14,0.0,7.633977006109768e-14,3.929617066460361e-14,2.1976343320698528e-05,
2024-05-08|asym_one_flow|restoration_ray_start,A,1600,0.00029670053746496923,False,1620672.0,2.7922237535129507e-14,2.7922237535129507e-14,0.0,7.139741728806258e-14,3.6406466026331014e-14,6.290052406664505e-06,
2024-05-08|asym_one_flow|restoration_ray_start,B,200,0.00027730159623883053,True,,6.279183816121086e-16,6.279183816121086e-16,0.0,2.878911229925161e-14,1.433459500251099e-14,3.5142780763045215e-06,1.0629026405695186e-05
2024-05-08|asym_one_flow|restoration_ray_start,B,400,0.0002733294061549959,True,,2.2703011410696377e-12,2.2703011410696377e-12,0.0,4.659648353311261e-12,2.390737690831383e-12,0.001891979388438161,0.0008386773952224758
2024-05-08|asym_one_flow|restoration_ray_start,B,600,0.0002711413266978533,True,,1.218095307215745e-15,1.218095307215745e-15,0.0,1.5670574033672195e-14,1.601757781336207e-14,3.8176480865661905e-06,0.0001129751665303047
2024-05-08|asym_one_flow|restoration_ray_start,B,800,0.0002722874497915384,False,,8.804860126111552e-13,8.804860126111552e-13,0.0,1.3314390344818953e-12,8.216518542013819e-13,0.00027376667529015365,7.48460306567722e-05
2024-05-08|asym_one_flow|restoration_ray_start,B,1000,0.00027144474488381633,False,,5.594880121762291e-13,5.594880121762291e-13,0.0,6.965180291653328e-13,3.4407228166819455e-13,0.00027835223368711425,5.445789122404676e-05
2024-05-08|asym_one_flow|restoration_ray_start,B,1200,0.0002696769191434846,True,,2.322993599473483e-12,2.322993599473483e-12,0.0,3.68068193830811e-12,1.1975147882366073e-12,0.0009667269191423051,0.00017240356146430713
2024-05-08|asym_one_flow|restoration_ray_start,B,1400,0.00026488149281165283,True,,4.2820242052820215e-14,4.2820242052820215e-14,0.0,1.0753286426614887e-13,4.9110826152154174e-14,1.6896449642994945e-05,1.422727737576679e-05
2024-05-08|asym_one_flow|restoration_ray_start,B,1600,0.0002695008880918447,False,,6.909774938028395e-14,6.909774938028395e-14,0.0,1.5332154470496404e-13,9.010309878022569e-14,2.609184593047913e-05,1.9844418829961796e-05
2024-05-08|asym_one_flow|restoration_ray_start,B,1800,0.0002689117137483688,False,,1.0791859849948262e-12,1.0791859849948262e-12,0.0,5.748623069121112e-12,2.829161512684018e-12,0.0014429981835960815,0.0008728430234441475
2024-05-08|asym_one_flow|restoration_ray_start,B,2000,0.00026870790024896725,False,,5.583278586498542e-13,5.583278586498542e-13,0.0,9.778776335217204e-13,6.128991687664876e-13,0.00017103429963712154,0.00026877325308305444
2024-05-08|asym_one_flow|restoration_ray_start,B,2200,0.00026702026731353077,False,,1.251488224506674e-13,1.251488224506674e-13,0.0,5.941951148525445e-13,3.4175236111787655e-13,5.9235710014466666e-05,3.564814255696547e-05
2024-05-08|asym_one_flow|restoration_ray_start,B,2400,0.00027061375542270926,False,,3.2652334869510125e-13,3.2652334869510125e-13,0.0,3.1566765422295993e-12,1.4328305404185456e-12,0.00016598398926389584,0.00040018994087631654
2024-05-08|asym_one_flow|restoration_ray_start,B,2600,0.0002690927039798564,False,,9.39396906844417e-13,9.39396906844417e-13,0.0,4.817850709135865e-12,2.0687443106039566e-12,0.0002673466166546213,0.0006694130679534283
2022-03-12|asym_two_flow|two_flow_start,A,0,0.0002821438912926802,True,,,,,,,,
2022-03-12|asym_two_flow|two_flow_start,A,200,0.00026342161079879794,True,202432.0,2.8161116142703094e-13,2.8161116142703094e-13,0.0,3.628114314615473e-13,1.377111743454639e-13,6.4007858320614235e-06,
2022-03-12|asym_two_flow|two_flow_start,A,400,0.0002547658359848861,True,405184.0,2.918187119528838e-14,2.918187119528838e-14,0.0,2.0857819974803286e-13,9.20793745675558e-14,1.5611073153784718e-06,
2022-03-12|asym_two_flow|two_flow_start,A,600,0.00024423839918888987,True,607360.0,2.0762023989793266e-14,2.0762023989793266e-14,0.0,2.056012215080737e-13,1.702511148462106e-13,1.1791592852543305e-05,
2022-03-12|asym_two_flow|two_flow_start,A,800,0.0002482464819631199,False,809664.0,1.465263603542972e-13,1.465263603542972e-13,0.0,3.5041569755532816e-13,1.4768731352606526e-13,4.520585835244338e-06,
2022-03-12|asym_two_flow|two_flow_start,A,1000,0.00023977887494014798,True,1011904.0,3.763568676643915e-14,3.763568676643915e-14,0.0,2.5399745395894596e-13,2.1603503623254165e-13,1.5302902044589665e-06,
2022-03-12|asym_two_flow|two_flow_start,A,1200,0.00023499510188392078,True,1214144.0,8.449272714289126e-14,8.449272714289126e-14,0.0,1.7333102081013033e-13,7.171244259405352e-14,2.8856584748639775e-06,
