event,fold,type,type_group,population,n_windows,n_counties,model,seed,path_mse,mse_1h,mse_6h,mse_24h,mean_signed_error,oob_fraction
2018-01-16,0,winter,winter,all,2523,220,NET,9201,7.705806331329115e-05,1.7362770692839358e-05,5.47602031718552e-05,0.0001243064632601632,0.00021264693055548752,0.437875369579915
2018-01-16,0,winter,winter,all,2523,220,NET,9202,0.00011896555106743753,1.7654434440826234e-05,6.552306814551544e-05,0.00023173067523196166,0.0021109680274710866,0.3951838123997215
2018-01-16,0,winter,winter,all,2523,220,NET,9203,0.0001718584609576003,1.8234398938413234e-05,8.408429407885754e-05,0.0003126439923764619,0.008156952780359944,0.10489199878404423
2018-01-16,0,winter,winter,all,2523,220,NET,9204,0.00010382293904874967,1.7676417950596683e-05,5.7971473445513206e-05,0.00021391130982213171,-0.0018404293323824542,0.5828253249275976
2018-01-16,0,winter,winter,all,2523,220,NET,9205,7.290735090582055e-05,1.748827727893473e-05,5.622456436594519e-05,0.00011008118108572434,0.0010243363494865081,0.4102661416865962
2018-01-16,0,winter,winter,all,2523,220,ASYM,9201,4.693072643158687e-05,1.7293046455886415e-05,4.8826343556481654e-05,4.184271533237631e-05,-0.00012727523569297123,0.0
2018-01-16,0,winter,winter,all,2523,220,ASYM,9202,4.725353335522276e-05,1.7295824620900846e-05,4.893834880879526e-05,4.252768881459829e-05,-0.0001245567281018068,0.0
2018-01-16,0,winter,winter,all,2523,220,ASYM,9203,4.881680989069257e-05,1.730836156642548e-05,4.989550514889879e-05,4.5044085739297875e-05,-0.00011335535689774338,0.0
2018-01-16,0,winter,winter,all,2523,220,ASYM,9204,4.28372880534361e-05,1.7286059838196325e-05,4.565704558863186e-05,3.6418040572871515e-05,-0.00015084854499830937,0.0
2018-01-16,0,winter,winter,all,2523,220,ASYM,9205,4.936412073911978e-05,1.7297020247726988e-05,5.028551067621335e-05,4.5860343335857945e-05,-0.00011355267017176074,0.0
2018-01-16,0,winter,winter,all,2523,220,PERSISTENCE,0,5.0144499401784154e-05,1.730991654022137e-05,5.0705827773488985e-05,4.726531675864202e-05,-0.00012353222756227123,0.0
2018-01-16,0,winter,winter,affected,505,44,NET,9201,0.0002188647362181687,8.407327481595495e-05,0.0002143313527910773,0.00024201688102779709,-0.0014116828260836401,0.46952755262414353
2018-01-16,0,winter,winter,affected,505,44,NET,9202,0.0002653802819770742,8.436460928335584e-05,0.00023103475274550874,0.00037944451333881134,0.0007463911740986613,0.4422193967648514
2018-01-16,0,winter,winter,affected,505,44,NET,9203,0.00031683813714990174,8.452690822474251e-05,0.00024508792107882465,0.0004480068220363954,0.008410344168254966,0.06698762096489369
2018-01-16,0,winter,winter,affected,505,44,NET,9204,0.0002779391283413276,8.540595187277819e-05,0.00023002528613269186,0.0003897601160884464,-0.0028999480188084434,0.5773921469944198
2018-01-16,0,winter,winter,affected,505,44,NET,9205,0.00022448100124066353,8.488211486784823e-05,0.00022670614671164684,0.00023436287271132942,0.0005396940243352545,0.35558215458783643
2018-01-16,0,winter,winter,affected,505,44,ASYM,9201,0.0002340887466469795,8.623049563259155e-05,0.00024375043995544216,0.0002084349434108741,-0.0006120808170215139,0.0
2018-01-16,0,winter,winter,affected,505,44,ASYM,9202,0.0002356991215733879,8.624410988647782e-05,0.00024430886123987574,0.00021184796336818894,-0.0006037990892287878,0.0
