fold,model,seed,structure,lr,widths,n_params,best_update,updates_run,wall_seconds
0,NET,9201,d2,0.0003,"{""net"": 48, ""n_hidden"": 2}",32633,500,1500,139.36
0,ASYM,9202,r2,0.0003,"{""damage"": 33, ""recovery"": 16}",32859,1750,2750,179.02
0,NET,9204,d2,0.0003,"{""net"": 48, ""n_hidden"": 2}",32633,250,1250,75.26
0,ASYM,9205,r2,0.0003,"{""damage"": 33, ""recovery"": 16}",32859,750,1750,105.89
1,NET,9202,d2,0.001,"{""net"": 48, ""n_hidden"": 2}",32633,2500,3000,176.01
1,ASYM,9203,r3,0.001,"{""damage"": 37, ""recovery"": 12}",33027,2000,3000,170.65
1,NET,9205,d2,0.001,"{""net"": 48, ""n_hidden"": 2}",32633,1500,2500,156.02
2,ASYM,9201,r1,0.003,"{""damage"": 25, ""recovery"": 24}",32715,1750,2750,156.47
2,NET,9203,d4,0.0003,"{""net"": 43, ""n_hidden"": 4}",32867,1000,2000,137.26
2,ASYM,9204,r1,0.003,"{""damage"": 25, ""recovery"": 24}",32715,750,1750,90.26
3,NET,9201,d4,0.0003,"{""net"": 43, ""n_hidden"": 4}",32867,1250,2250,157.27
3,ASYM,9202,r3,0.003,"{""damage"": 37, ""recovery"": 12}",33027,500,1500,86.91
3,NET,9204,d4,0.0003,"{""net"": 43, ""n_hidden"": 4}",32867,500,1500,99.68
3,ASYM,9205,r3,0.003,"{""damage"": 37, ""recovery"": 12}",33027,500,1500,75.91
4,NET,9202,d2,0.0003,"{""net"": 48, ""n_hidden"": 2}",32633,500,1500,86.62
4,ASYM,9203,r3,0.001,"{""damage"": 37, ""recovery"": 12}",33027,750,1750,106.49
4,NET,9205,d2,0.0003,"{""net"": 48, ""n_hidden"": 2}",32633,250,1250,73.09
0,ASYM,9201,r2,0.0003,"{""damage"": 33, ""recovery"": 16}",32859,750,1750,132.45
0,NET,9203,d2,0.0003,"{""net"": 48, ""n_hidden"": 2}",32633,500,1500,107.98
0,ASYM,9204,r2,0.0003,"{""damage"": 33, ""recovery"": 16}",32859,1500,2500,144.41
1,NET,9201,d2,0.001,"{""net"": 48, ""n_hidden"": 2}",32633,2250,3000,166.83
1,ASYM,9202,r3,0.001,"{""damage"": 37, ""recovery"": 12}",33027,2000,3000,156.24
1,NET,9204,d2,0.001,"{""net"": 48, ""n_hidden"": 2}",32633,2250,3000,171.48
1,ASYM,9205,r3,0.001,"{""damage"": 37, ""recovery"": 12}",33027,2750,3000,151.83
2,NET,9202,d4,0.0003,"{""net"": 43, ""n_hidden"": 4}",32867,1500,2500,172.79
2,ASYM,9203,r1,0.003,"{""damage"": 25, ""recovery"": 24}",32715,1500,2500,118.91
2,NET,9205,d4,0.0003,"{""net"": 43, ""n_hidden"": 4}",32867,1500,2500,188.3
3,ASYM,9201,r3,0.003,"{""damage"": 37, ""recovery"": 12}",33027,1750,2750,149.42
3,NET,9203,d4,0.0003,"{""net"": 43, ""n_hidden"": 4}",32867,750,1750,123.66
3,ASYM,9204,r3,0.003,"{""damage"": 37, ""recovery"": 12}",33027,500,1500,88.26
4,NET,9201,d2,0.0003,"{""net"": 48, ""n_hidden"": 2}",32633,250,1250,73.14
4,ASYM,9202,r3,0.001,"{""damage"": 37, ""recovery"": 12}",33027,0,1000,61.17
4,NET,9204,d2,0.0003,"{""net"": 48, ""n_hidden"": 2}",32633,750,1750,97.97
4,ASYM,9205,r3,0.001,"{""damage"": 37, ""recovery"": 12}",33027,750,1750,73.63
0,NET,9202,d2,0.0003,"{""net"": 48, ""n_hidden"": 2}",32633,250,1250,124.38
0,ASYM,9203,r2,0.0003,"{""damage"": 33, ""recovery"": 16}",32859,1500,2500,166.62
0,NET,9205,d2,0.0003,"{""net"": 48, ""n_hidden"": 2}",32633,250,1250,80.23
1,ASYM,9201,r3,0.001,"{""damage"": 37, ""recovery"": 12}",33027,1250,2250,133.69
1,NET,9203,d2,0.001,"{""net"": 48, ""n_hidden"": 2}",32633,2750,3000,174.19
1,ASYM,9204,r3,0.001,"{""damage"": 37, ""recovery"": 12}",33027,1000,2000,118.83
2,NET,9201,d4,0.0003,"{""net"": 43, ""n_hidden"": 4}",32867,1750,2750,202.7
2,ASYM,9202,r1,0.003,"{""damage"": 25, ""recovery"": 24}",32715,1750,2750,155.02
2,NET,9204,d4,0.0003,"{""net"": 43, ""n_hidden"": 4}",32867,1750,2750,199.57
2,ASYM,9205,r1,0.003,"{""damage"": 25, ""recovery"": 24}",32715,2000,3000,147.23
3,NET,9202,d4,0.0003,"{""net"": 43, ""n_hidden"": 4}",32867,1000,2000,142.75
3,ASYM,9203,r3,0.003,"{""damage"": 37, ""recovery"": 12}",33027,250,1250,63.11
3,NET,9205,d4,0.0003,"{""net"": 43, ""n_hidden"": 4}",32867,250,1250,86.31
4,ASYM,9201,r3,0.001,"{""damage"": 37, ""recovery"": 12}",33027,1750,2750,159.28
4,NET,9203,d2,0.0003,"{""net"": 48, ""n_hidden"": 2}",32633,250,1250,74.18
4,ASYM,9204,r3,0.001,"{""damage"": 37, ""recovery"": 12}",33027,2250,3000,136.91
