grouping,population,events,components,delta_event_equal,delta_component_mean,components_positive,events_positive,signflip_p_components,signflip_method,min_attainable_p,component_bootstrap_p2.5,component_bootstrap_p97.5,seeds_event_equal_delta_positive,NET_path_mse_event_equal,ASYM_path_mse_event_equal,PERSISTENCE_path_mse_event_equal,mean_event_relative_gain_asym_vs_net,ratio_of_event_means_gain,delta_mse_1h_event_equal,delta_mse_6h_event_equal,delta_mse_24h_event_equal,decision,delta_rmse_event_equal,delta_rmse_component_mean,components_positive_rmse,signflip_p_components_rmse_secondary,NET_path_rmse_event_equal,ASYM_path_rmse_event_equal,PERSISTENCE_path_rmse_event_equal,rmse_direction_agrees_with_mse
all_events,all,26,23,-0.00027715035308204856,-0.00033272722181207056,15,17,0.206285,monte_carlo,,-0.0007613828712267568,6.095819609401466e-05,0,0.0015061595913858604,0.001783309944467909,0.0017095270487391975,0.11476419967729107,-0.18401127919454707,3.693451500112205e-05,-0.0001403512806854017,-0.00040342361404111665,undecided,-6.546041811358324e-05,-0.00046272527393714883,15,0.79223,0.03399012749610902,0.0340555879142226,0.03468627551530459,True
type_group:winter,all,7,6,0.0001553801344318959,0.00012120362010780783,5,6,0.125,exact,0.03125,9.106374299962192e-06,0.0002779614105302861,3,0.0010580003291089598,0.0009026201946770637,0.0007234021814545464,0.39870485389895327,0.14686208515904356,8.042975135217678e-05,0.0001441088071006317,0.00021282089488905396,undecided,0.00427825238193753,0.003939401815214534,5,0.0625,0.026987988513427506,0.022709736131489976,0.02179266591659716,True
type_group:wind_tropical,all,7,7,-0.001306305392800992,-0.001306305392800992,2,2,0.109375,exact,0.015625,-0.0026712939471188663,-0.0002483594319984258,0,0.0029094243531124714,0.004215729745913464,0.003870539368462144,-0.17654527484608004,-0.44899101480453385,-3.181766194101807e-05,-0.0008168205884509838,-0.0018412026741930869,undecided,-0.007198666324971528,-0.007198666324971528,2,0.15625,0.04951471237379068,0.05671337869876221,0.055832630358391,True
type_group:convective_flood,all,12,12,7.088063570420088e-05,7.088063570420088e-05,9,9,0.0244140625,exact,0.00048828125,2.06736880492755e-05,0.0001251683096054521,5,0.000949014716706862,0.0008781340810026612,0.0010241760348168587,0.11906267818662118,0.07468865809601022,5.166773034592188e-05,8.832076430266839e-05,7.580487417159969e-05,supports ASYM,0.0015617438941904014,0.0015617438941904014,9,0.01416015625,0.029018700724025594,0.027456956829835195,0.029872174122750186,True
type:convective,all,11,11,6.066249126670563e-05,6.066249126670563e-05,8,8,0.048828125,exact,0.0009765625,1.1816654554481263e-05,0.00011814088672490992,5,0.0009386407741862716,0.000877978282919566,0.0010301410015755212,0.11421409217650468,0.06462801631358418,4.292633189684134e-05,5.3212885178996255e-05,0.00011205113412385569,supports ASYM,0.0014376623617235746,0.0014376623617235746,8,0.0283203125,0.02869449872496123,0.027256836363237648,0.029773222427927352,True
type:flood,all,1,1,0.0001832802245166486,0.0001832802245166486,1,1,1.0,exact,1.0,0.0001832802245166486,0.0001832802245166486,5,0.0010631280844333561,0.0008798478599167074,0.0009585614004715721,0.1723971242979029,0.1723971242979029,0.00014782311328580787,0.00047450743466306177,-0.000322903985303216,undecided,0.0029266407513254926,0.0029266407513254926,1,1.0,0.032584922713733644,0.029658281962408144,0.030960642765801426,True
type:tropical,all,3,3,-0.0014341032412930905,-0.0014341032412930905,0,0,0.25,exact,0.25,-0.0018140773479901125,-0.0007240124405316104,0,0.00359196929596977,0.005026072537262861,0.004827859771668674,-0.38976422003418215,-0.3992526447545561,-4.6160535954141824e-05,-0.001194204128961747,-0.0016612947464013747,undecided,-0.01060574471911776,-0.01060574471911776,0,0.25,0.05982409395673788,0.07042983867585564,0.06932727301327458,True
type:wind,all,4,4,-0.001210457006431918,-0.001210457006431918,2,2,0.875,exact,0.125,-0.0037609038555129386,0.0001432352035782829,0,0.0023975156459694977,0.003607972652401416,0.003152549066057246,-0.016631065955003466,-0.5048797109903483,-2.1060506431175253e-05,-0.0005337829330679114,-0.001976133620036871,undecided,-0.004643357529361853,-0.004643357529361853,2,0.875,0.04178267618658028,0.04642603371594213,0.045711648367228325,True
type:winter,all,7,6,0.0001553801344318959,0.00012120362010780783,5,6,0.125,exact,0.03125,6.014233863430692e-06,0.0002779614105302861,3,0.0010580003291089598,0.0009026201946770637,0.0007234021814545464,0.39870485389895327,0.14686208515904356,8.042975135217678e-05,0.0001441088071006317,0.00021282089488905396,undecided,0.00427825238193753,0.003939401815214534,5,0.0625,0.026987988513427506,0.022709736131489976,0.02179266591659716,True
all_events,affected,26,23,-0.0003892808028265229,-0.00044846424440833275,13,16,0.11254,monte_carlo,,-0.0009644377760547697,1.7749800265223558e-06,0,0.0019688596482335566,0.0023581404510600794,0.0022581683984780393,0.014646460971562704,-0.19771891976951333,4.088701644942981e-05,-0.0001646259573965126,-0.0006223734105553183,undecided,-0.0013842453068541973,-0.0017460089303015206,14,0.30595,0.038672237887251264,0.04005648319410546,0.04104503754927076,True
