fold,model,structure,lr,dev_mean_best_val,dev_margin_to_runner_up,dev_best_updates
0,NET,d2,0.0003,0.0025361482591381894,0.01295065775664057,"[750, 250]"
0,ASYM,r2,0.0003,0.0024490252098959956,0.008136431377994092,"[1000, 1250]"
1,NET,d2,0.001,0.0005444240186615596,0.002504451080293693,"[1500, 2250]"
1,ASYM,r3,0.001,0.0005024386949698178,0.020061902793775014,"[2250, 2250]"
2,NET,d4,0.0003,0.001429462449929986,0.012002412414976302,"[2250, 2250]"
2,ASYM,r1,0.003,0.001427828605895586,0.0544994875934868,"[1250, 1750]"
3,NET,d4,0.0003,0.0016595406376460013,0.023484485178049744,"[1000, 250]"
3,ASYM,r3,0.003,0.0015367352144094915,0.007111723798845356,"[500, 250]"
4,NET,d2,0.0003,0.0030065197312948164,0.01143385694216056,"[750, 500]"
4,ASYM,r3,0.001,0.0028625018344714073,0.017102351696752637,"[1500, 1750]"
