event,fold,type,type_group,population,n_windows,n_counties,any_change,rise_and_fall,rise_only,fall_only
2018-01-16,0,winter,winter,all,2523,220,0.15814866951230586,0.1276618078890806,0.01874125874125874,0.011745602881966518
2018-01-16,0,winter,winter,affected,505,44,0.398283534647171,0.32947923288832387,0.0508582326764145,0.017946069082432722
2018-01-16,0,winter,winter,unaffected,2018,176,0.0981149532285896,0.07720745163926983,0.010712015257469803,0.01019548633184997
2018-10-11,0,tropical,wind_tropical,all,2503,125,0.6044981684981685,0.46836630036630045,0.03356776556776557,0.10256410256410256
2018-10-11,0,tropical,wind_tropical,affected,2197,108,0.6621387871387869,0.5126170126170128,0.0359347442680776,0.11358703025369692
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,0.23831070889894418,0.187244128420599,0.018530489118724413,0.032536091359620774
2019-02-20,1,winter,winter,all,5954,315,0.29795455352767747,0.23280745915236548,0.03878445530258887,0.026362639072723102
2019-02-20,1,winter,winter,affected,3218,171,0.4007578884622501,0.3092269123622662,0.05252335775800009,0.039007618341983664
2019-02-20,1,winter,winter,unaffected,2736,144,0.17587559329287272,0.14205935846560847,0.02246950863678805,0.011346726190476188
2019-02-24,1,wind,wind_tropical,all,7833,442,0.4791367286559594,0.3775576005720088,0.020427651256420015,0.08115147682753067
2019-02-24,1,wind,wind_tropical,affected,5134,289,0.6372818191339408,0.5022002158589302,0.023920418802953862,0.11116118447205679
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,0.1804182244197724,0.14212154947449065,0.013830201446300518,0.02446647349898124
2019-11-27,2,wind,wind_tropical,all,4874,282,0.3846262593323064,0.3071574562056085,0.0312817431728406,0.04618705995385726
2019-11-27,2,wind,wind_tropical,affected,3009,165,0.47737168865159296,0.3813194992142361,0.03592967372871679,0.0601225157086401
2019-11-27,2,wind,wind_tropical,unaffected,1865,117,0.2538314231127996,0.2025699596549799,0.02472696931198955,0.02653449414583018
2020-02-06,1,flood,convective_flood,all,2716,160,0.35461256276295944,0.28676532045848024,0.02328692825814536,0.04456031404633378
2020-02-06,1,flood,convective_flood,affected,1536,89,0.4633397181371753,0.3774245556992452,0.023723282926417164,0.062191879511512865
2020-02-06,1,flood,convective_flood,unaffected,1180,71,0.21832077644880155,0.17312205374822565,0.02273994846270606,0.022458774237869867
2020-08-04,3,tropical,wind_tropical,all,1615,87,0.7188091151579995,0.5703160486121945,0.04576649404235611,0.10272657250344873
2020-08-04,3,tropical,wind_tropical,affected,1410,74,0.7758043758043758,0.6265122265122265,0.04182754182754182,0.10746460746460744
2020-08-04,3,tropical,wind_tropical,unaffected,205,13,0.39437455455555,0.25043011287355177,0.06818822203437588,0.07575621964762237
2020-10-29,4,tropical,wind_tropical,all,2309,140,0.6166125541125541,0.494472273757988,0.03022108843537415,0.09191919191919191
2020-10-29,4,tropical,wind_tropical,affected,1907,114,0.7084896584896585,0.5709684564947722,0.03019353940406572,0.1073276625908205
2020-10-29,4,tropical,wind_tropical,unaffected,402,26,0.21376678876678873,0.15906593406593408,0.030341880341880345,0.02435897435897436
2021-02-15,1,winter,winter,all,9179,497,0.34726711919870873,0.30230110823672196,0.019787344334628035,0.025178666627358775
2021-02-15,1,winter,winter,affected,4279,229,0.619991362349441,0.5426651950669418,0.03403767508571002,0.04328849219678913
2021-02-15,1,winter,winter,unaffected,4900,268,0.11423035919304576,0.09691537732582507,0.007610755745084102,0.009704226122136568
2021-05-04,2,convective,convective_flood,all,5547,339,0.4865688845753368,0.39032087604411503,0.03358956453253557,0.0626584439986862
2021-05-04,2,convective,convective_flood,affected,4054,250,0.5536760232543513,0.44278414011169437,0.0338571564658252,0.07703472667683194
2021-05-04,2,convective,convective_flood,unaffected,1493,89,0.29806568603877887,0.24295215675316204,0.03283790179857596,0.022275627487040855
2021-06-21,3,convective,convective_flood,all,5098,255,0.515005427351539,0.41846266047367847,0.03850699190528001,0.05803577497258065
