event,population,model,seed,untrained_path_mse
2018-01-16,all,NET,9201,5.0125102175600214e-05
2018-01-16,affected,NET,9201,0.0002489705177544382
2018-01-16,unaffected,NET,9201,4.137482808907142e-07
2018-10-11,all,NET,9201,0.005717316887716812
2018-10-11,affected,NET,9201,0.006616956019920807
2018-10-11,unaffected,NET,9201,1.9624007737774985e-06
2021-12-11,all,NET,9201,0.0008112997254074707
2021-12-11,affected,NET,9201,0.0011252095303825745
2021-12-11,unaffected,NET,9201,1.5034169209711564e-06
2021-12-15,all,NET,9201,0.0012775980908950285
2021-12-15,affected,NET,9201,0.0017975703602286603
2021-12-15,unaffected,NET,9201,3.6660310276309994e-06
2024-05-08,all,NET,9201,0.00027384625350189505
2024-05-08,affected,NET,9201,0.0003847462751662041
2024-05-08,unaffected,NET,9201,1.2170335771353405e-06
2024-09-27,all,NET,9201,0.00986025991977007
2024-09-27,affected,NET,9201,0.010955677725055898
2024-09-27,unaffected,NET,9201,1.4996721976231709e-06
2018-01-16,all,NET,9202,5.075429594715425e-05
2018-01-16,affected,NET,9202,0.00025108584268940926
2018-01-16,unaffected,NET,9202,6.714092615905107e-07
2018-10-11,all,NET,9202,0.005754980750092029
2018-10-11,affected,NET,9202,0.006660564752422458
2018-10-11,unaffected,NET,9202,1.8588529340203928e-06
2021-12-11,all,NET,9202,0.0008129899836496193
2021-12-11,affected,NET,9202,0.0011275363889148601
2021-12-11,unaffected,NET,9202,1.5514309363899389e-06
2021-12-15,all,NET,9202,0.0012737369922378697
2021-12-15,affected,NET,9202,0.0017927331370876215
2021-12-15,unaffected,NET,9202,2.1964373559783505e-06
2024-05-08,all,NET,9202,0.00027442568709544615
2024-05-08,affected,NET,9202,0.00038551661060831
2024-05-08,unaffected,NET,9202,1.3271667929888798e-06
2024-09-27,all,NET,9202,0.009914039898482857
2024-09-27,affected,NET,9202,0.01101536920319244
2024-09-27,unaffected,NET,9202,2.076156096589547e-06
2018-01-16,all,NET,9203,5.0358819084670296e-05
2018-01-16,affected,NET,9203,0.000250341232187322
2018-01-16,unaffected,NET,9203,3.6321580900737065e-07
2018-10-11,all,NET,9203,0.005747060547177105
2018-10-11,affected,NET,9203,0.006651452113374369
2018-10-11,unaffected,NET,9203,1.5141266297732032e-06
2021-12-11,all,NET,9203,0.0008113217192428269
2021-12-11,affected,NET,9203,0.0011252331216777382
2021-12-11,unaffected,NET,9203,1.5212897730554862e-06
2021-12-15,all,NET,9203,0.0012720475864321545
2021-12-15,affected,NET,9203,0.0017902920700541521
2021-12-15,unaffected,NET,9203,2.3486015582596137e-06
2024-05-08,all,NET,9203,0.00027379222203685534
2024-05-08,affected,NET,9203,0.0003847622336968213
2024-05-08,unaffected,NET,9203,9.90943372772165e-07
2024-09-27,all,NET,9203,0.009891614275129967
2024-09-27,affected,NET,9203,0.010990508463840516
2024-09-27,unaffected,NET,9203,1.5665767350349377e-06
2018-01-16,all,NET,9204,5.0275723895478624e-05
2018-01-16,affected,NET,9204,0.00025002891883501313
2018-01-16,unaffected,NET,9204,3.374251605949983e-07
2018-10-11,all,NET,9204,0.005734978476010071
2018-10-11,affected,NET,9204,0.006637450184801235
2018-10-11,unaffected,NET,9204,1.6287966309117056e-06
2021-12-11,all,NET,9204,0.0008171402460695317
2021-12-11,affected,NET,9204,0.0011333002230982832
2021-12-11,unaffected,NET,9204,1.5391459084049587e-06
2021-12-15,all,NET,9204,0.001278563810039797
2021-12-15,affected,NET,9204,0.0017996758237047127
2021-12-15,unaffected,NET,9204,1.8393765607552716e-06
2024-05-08,all,NET,9204,0.0002746655936914001
2024-05-08,affected,NET,9204,0.00038594966889500754
2024-05-08,unaffected,NET,9204,1.0922421491980526e-06
2024-09-27,all,NET,9204,0.009894930349702504
2024-09-27,affected,NET,9204,0.010994191950728364
2024-09-27,unaffected,NET,9204,1.575940469761261e-06
2018-01-16,all,NET,9205,5.006565867396462e-05
2018-01-16,affected,NET,9205,0.00024954256802575155
2018-01-16,unaffected,NET,9205,1.96431336017867e-07
2018-10-11,all,NET,9205,0.005724074511886649
