event,type,fold,origins_used,n_counties_mean,n_train_events,sigma_x_pp,S_hat,nu2_hat,signal_to_noise_per_replicate,lambda_hat_counties,delta_hat_counties,lambda_hat_train_events,delta_hat_train_events,lambda_plug_counties,b_net_median,mean_origin_state,forcing_mean,mean_path_peak_max,delta_cv,seeds_delta_positive,NET_path_mse,ASYM_path_mse,realized_winner,rule_counties,rule_train_events,delta_cv_relative
2018-01-16,winter,0,13,38.84615384615385,14,1.273162805210233,2.960533981203257e-06,0.00030011071097881876,0.009864806129535997,0.16990225531640007,2.686801517089153e-07,0.13810728581350395,7.698310572677772e-07,0.5328129402970665,-19.985688418906957,0.002113065337273979,0.0622152787733474,0.02121810102477811,2.606443666967424e-05,3,0.0002607006569854,0.0002346362203157,ASYM,ASYM,ASYM,0.0999784080756418
2018-10-11,tropical,0,21,104.61904761904762,14,7.171296370590776,0.0005469152163693061,0.005228821651891811,0.10459626523529057,10.697313237327972,-2.0654586996558903e-05,1.464347713294068,-7.226164813328791e-06,12.67813967859198,0.0937905706064054,0.043165577086727414,0.15993235723372173,0.13186468680149527,-0.0021653242927014,0,0.0046003667574846,0.006765691050186,NET,NET,NET,-0.4706851446525454
2019-02-20,winter,1,21,153.23809523809524,15,1.3267668502568581,6.666499228464769e-06,0.0003225570019012818,0.020667662426081958,3.294136306007516,-1.8905488855405956e-07,0.3100149363912294,6.18220870761973e-07,4.962061211794269,19.999999786995243,0.0017002551264524246,0.213481851010968,0.04555366567854934,8.022325133146959e-05,5,0.0002810906002449,0.0002008673489134,ASYM,NET,ASYM,0.2853999787313241
2019-02-24,wind,1,21,244.47619047619048,15,3.6722825970165416,9.659957027612828e-05,0.001694805179751279,0.05699744810214986,15.538324330234598,-3.740209499204714e-06,0.8549617215322478,6.828100711370974e-07,16.873385915407198,3.7568769092886733,0.013547417807979176,0.3045769513176825,0.053597649526471544,-0.0001902955036417,0,0.0015448846494625,0.0017351801531043,NET,NET,ASYM,-0.12317780729319053
2019-11-27,wind,2,21,143.28571428571428,17,1.2436654623560193,8.051863947865249e-06,0.0003401339177464471,0.02367262871404525,3.4401343073493917,-2.378881698774457e-07,0.40243468813876926,4.98167231942985e-07,3.179643933034702,0.4663273970393491,0.002502230535998282,0.27946330321654367,0.019231949818975268,0.0001131012805912,5,0.0002873099774137,0.0001742086968224,ASYM,NET,ASYM,0.39365594473715243
2020-02-06,flood,1,21,73.14285714285714,15,3.75915928255868,2.930130566774257e-05,0.0028361440129454577,0.010331388509891605,0.8143315261066483,3.051537404347458e-07,0.15497082764837408,6.657290077581442e-06,1.9066223063378254,7.471957342418056,0.00800741736307443,0.28230031754484175,0.027088255787429044,0.0002803128947232,5,0.0018370226250057,0.0015567097302824,ASYM,ASYM,ASYM,0.15259087771024607
2020-08-04,tropical,3,21,67.14285714285714,17,6.013159055453964,7.246038493970918e-05,0.0036139478150682314,0.02005020234038469,1.3179267026077421,-7.310971553828187e-07,0.3408534397865397,5.838532527189157e-06,2.5414206128194303,-0.04730036712404381,0.03468409078473412,0.12925267143303668,0.1198540973172484,-0.0010862799117353,0,0.0034183148911263,0.0045045948028616,NET,NET,ASYM,-0.31778228347400195
2020-10-29,tropical,4,20,95.35,15,6.976417708700117,0.0006401481504895267,0.004116807065602453,0.15549627181662626,12.685651653667518,-2.4432274580129137e-05,2.3324440772493937,-1.5237264421501249e-05,13.4597069126783,-0.3068810196067742,0.05743500899447431,0.18999433721122663,0.17630193399057587,-0.0022264222130496,0,0.004363219701236,0.0065896419142857,NET,NET,NET,-0.5102704804020999
2021-02-15,winter,1,21,203.76190476190476,15,7.882792562495777,0.0003704255739712466,0.006868616428158566,0.05393015869289929,10.598333348861715,-1.3995056232136203e-05,0.8089523803934895,3.645091162749636e-06,11.23009625495013,0.4875959333670652,0.05855777422625764,0.1228048347329472,0.12828286503333072,-0.0003886667746823,2,0.0097049580278624,0.0100936248025447,NET,NET,ASYM,-0.040048269509920506
2021-05-04,convective,2,21,193.04761904761904,17,3.33744156726374,5.98552319598716e-05,0.0030782136390380297,0.019444794604502148,3.414400460794721,-1.7541792564110731e-06,0.3305615082765365,5.05067327382405e-06,4.372685569329543,3.302983827615579,0.010317155564898144,0.08915800117702818,0.04945946162343097,2.313396599321004e-05,3,0.001031446455434,0.0010083124894408,ASYM,NET,ASYM,0.022428664009976163
2021-06-21,convective,3,21,182.23809523809524,17,1.9015067986604413,2.122841266398023e-05,0.0015191087587555876,0.013974254668487309,2.56790754824001,-5.414727789437046e-07,0.23756232936428426,2.838788586931186e-06,3.3147001861911165,1.4969693450103643,0.003959064444028298,0.09456046045592152,0.0220095656011049,7.216165511882386e-05,5,0.0005065308667501,0.0004343692116313,ASYM,NET,ASYM,0.1424625029898232
2021-08-11,convective,4,21,160.42857142857142,15,3.403452643593776,0.00014558769924226403,0.0025598238307527952,0.05687410887156616,8.712280377018855,-5.353228730122229e-06,0.8531116330734925,1.0444676169967646e-06,9.72475156580262,-1.11427449879673,0.01463830171386792,0.0609277996013114,0.03858575036579815,-3.699795333648595e-05,3,0.001449760613901,0.0014867585672375,NET,NET,ASYM,-0.025520043089687933
2021-12-11,convective,0,21,159.23809523809524,14,2.9694302747642225,5.996547073391977e-05,0.0014932153589927394,0.040158621710380725,6.188202992557366,-2.097104877239036e-06,0.5622207039453302,1.9455320497555444e-06,7.115122732376094,-2.3230657498125526,0.01041781619815773,0.16274730729690517,0.04602750345154907,6.623711475541634e-06,2,0.0008870971496834,0.0008804734382078,ASYM,NET,ASYM,0.0074667261391896025
2021-12-15,wind,0,21,47.61904761904762,14,3.2641973686823658,0.0001807662327995386,0.0015347653158707599,0.11778102549638321,5.546892458297823,-6.175538786064103e-06,1.648934356949365,-2.9641724503654186e-06,6.746435632315748,0.5265132971692357,0.011718672066031638,0.1845039043564065,0.08430937884344239,8.96534367763285e-06,3,0.001413561035,0.0014045956913224,ASYM,NET,NET,0.006342381726469172
2022-01-16,winter,2,21,190.0,17,1.943905178895166,3.994536112659098e-05,0.000482007421466881,0.08287291719498067,15.804919465251484,-1.5589662913621447e-06,1.4088395923146715,-4.829993080518769e-07,15.570346066298649,-6.3495036040209305,0.005573168790047252,0.23089343463648562,0.02203620853463232,7.700864597995398e-05,5,0.0004585944515287,0.0003815858055487,ASYM,NET,NET,0.1679231960248315
2022-03-12,winter,3,21,154.71428571428572,17,1.3687938533891344,2.4885409978414323e-06,0.00038897023419703756,0.006397767178711242,0.9734128693192018,1.4686348846169987e-09,0.10876204203809113,8.496692089062083e-07,1.995587107849389,-10.038013022963778,0.0017574825232028498,0.17172173331043836,0.013561449168846103,0.0001463899858053,5,0.0004528541467248,0.0003064641609194,ASYM,ASYM,ASYM,0.3232607824484853
2022-04-13,convective,1,21,122.47619047619048,15,2.173063047147172,7.496913530715478e-05,0.0008927087528576722,0.0839793886496231,10.863325628488731,-2.8286764687621135e-06,1.2596908297443463,-6.439674354156939e-07,12.991150558905808,1.8765571246208268,0.00651002880991934,0.24603755615579126,0.02919618006846677,0.0001927759637063,5,0.0007420455231476,0.0005492695594412,ASYM,NET,NET,0.2597899423859943
2022-06-08,convective,2,21,95.47619047619048,17,2.1841154952805084,3.891109073044504e-06,0.0010580360161465251,0.0036776716611371316,0.3756501516422593,2.943409471648799e-07,0.06252041823933124,2.4310959850607073e-06,0.6816728029052291,-3.6610766732384334,0.003978481604649072,0.046754398223047,0.030394466540450353,0.0002234013502512,5,0.0009546476273297,0.0007312462770785,ASYM,ASYM,ASYM,0.23401446131080725
2022-06-17,convective,3,21,246.33333333333334,17,3.4443863204523617,9.54417277930748e-05,0.002875827519394581,0.03318757023827604,8.178371738621168,-3.4955324363371455e-06,0.5641886940506927,3.0718582032164435e-06,8.007678867149611,3.304461802091131,0.009605919633335567,0.030448626598167043,0.06361756433786482,-9.195762888426105e-05,1,0.0014228377502388,0.001514795379123,NET,NET,ASYM,-0.0646297365028637
