event,component,type,realized_winner,NET_path_mse,ASYM_path_mse,delta_cv,loco_signal_to_noise_per_replicate,loco_sigma_x_pp,loco_mean_origin_state,loco_n_counties_mean
2018-01-16,0,winter,ASYM,0.0002607006569854,0.0002346362203157,2.606443666967424e-05,ASYM,ASYM,ASYM,ASYM
2018-10-11,1,tropical,NET,0.0046003667574846,0.006765691050186,-0.0021653242927014,NET,NET,NET,NET
2019-02-20,2,winter,ASYM,0.0002810906002449,0.0002008673489134,8.022325133146959e-05,NET,ASYM,ASYM,NET
2019-02-24,2,wind,NET,0.0015448846494625,0.0017351801531043,-0.0001902955036417,NET,ASYM,NET,NET
2019-11-27,3,wind,ASYM,0.0002873099774137,0.0001742086968224,0.0001131012805912,NET,ASYM,ASYM,NET
2020-02-06,4,flood,ASYM,0.0018370226250057,0.0015567097302824,0.0002803128947232,ASYM,NET,ASYM,NET
2020-08-04,5,tropical,NET,0.0034183148911263,0.0045045948028616,-0.0010862799117353,ASYM,NET,NET,ASYM
2020-10-29,6,tropical,NET,0.004363219701236,0.0065896419142857,-0.0022264222130496,NET,NET,NET,NET
2021-02-15,7,winter,NET,0.0097049580278624,0.0100936248025447,-0.0003886667746823,NET,NET,NET,NET
2021-05-04,8,convective,ASYM,0.001031446455434,0.0010083124894408,2.313396599321004e-05,ASYM,NET,NET,NET
2021-06-21,9,convective,ASYM,0.0005065308667501,0.0004343692116313,7.216165511882386e-05,ASYM,ASYM,ASYM,NET
2021-08-11,10,convective,NET,0.001449760613901,0.0014867585672375,-3.699795333648595e-05,NET,NET,NET,NET
2021-12-11,11,convective,ASYM,0.0008870971496834,0.0008804734382078,6.623711475541634e-06,NET,ASYM,NET,NET
2021-12-15,11,wind,ASYM,0.001413561035,0.0014045956913224,8.96534367763285e-06,NET,ASYM,NET,ASYM
2022-01-16,12,winter,ASYM,0.0004585944515287,0.0003815858055487,7.700864597995398e-05,NET,ASYM,ASYM,NET
2022-03-12,13,winter,ASYM,0.0004528541467248,0.0003064641609194,0.0001463899858053,ASYM,ASYM,ASYM,NET
2022-04-13,14,convective,ASYM,0.0007420455231476,0.0005492695594412,0.0001927759637063,NET,ASYM,ASYM,NET
2022-06-08,15,convective,ASYM,0.0009546476273297,0.0007312462770785,0.0002234013502512,ASYM,ASYM,ASYM,NET
2022-06-17,16,convective,NET,0.0014228377502388,0.001514795379123,-9.195762888426105e-05,NET,ASYM,ASYM,NET
2022-07-23,17,convective,NET,0.0006566686207312,0.0006959492655814,-3.928064485017929e-05,NET,ASYM,ASYM,NET
2024-01-09,18,winter,ASYM,0.001112429752989,0.000761417055035,0.0003510126979539,NET,NET,ASYM,NET
2024-01-12,18,winter,ASYM,0.0009032299672632,0.000773005972256,0.0001302239950072,ASYM,NET,ASYM,NET
2024-05-08,19,convective,ASYM,0.0004541517927535,0.0003812418349269,7.29099578266498e-05,NET,ASYM,ASYM,NET
2024-05-26,20,convective,NET,0.0041899559241833,0.0042661777653566,-7.622184117322145e-05,NET,NET,NET,NET
2024-06-26,21,convective,ASYM,0.00046644880592,0.0004578577211302,8.591084789816154e-06,ASYM,ASYM,ASYM,NET
2024-09-27,22,wind,NET,0.0077902224836716,0.0134229768140081,-0.0056327543303364,NET,NET,NET,ASYM
