feature,held_out_component,orientation_net_if,threshold
signal_to_noise_per_replicate,0,above,0.0200267369393974
signal_to_noise_per_replicate,1,above,0.0200267369393974
signal_to_noise_per_replicate,2,above,0.0200267369393974
signal_to_noise_per_replicate,3,above,0.0200267369393974
signal_to_noise_per_replicate,4,above,0.0200267369393974
signal_to_noise_per_replicate,5,above,0.0284300994761606
signal_to_noise_per_replicate,6,above,0.0200267369393974
signal_to_noise_per_replicate,7,above,0.0200267369393974
signal_to_noise_per_replicate,8,above,0.0200267369393974
signal_to_noise_per_replicate,9,above,0.0200267369393974
signal_to_noise_per_replicate,10,above,0.0200267369393974
signal_to_noise_per_replicate,11,above,0.0200267369393974
signal_to_noise_per_replicate,12,above,0.0200267369393974
signal_to_noise_per_replicate,13,above,0.0200267369393974
signal_to_noise_per_replicate,14,above,0.0200267369393974
signal_to_noise_per_replicate,15,above,0.0200267369393974
signal_to_noise_per_replicate,16,above,0.0200267369393974
signal_to_noise_per_replicate,17,above,0.0200267369393974
signal_to_noise_per_replicate,18,above,0.01974749847244335
signal_to_noise_per_replicate,19,above,0.0200267369393974
signal_to_noise_per_replicate,20,above,0.0200267369393974
signal_to_noise_per_replicate,21,above,0.0200267369393974
signal_to_noise_per_replicate,22,above,0.0200267369393974
sigma_x_pp,0,above,3.370447105428758
sigma_x_pp,1,above,3.370447105428758
sigma_x_pp,2,above,4.783196359976744
sigma_x_pp,3,above,3.370447105428758
sigma_x_pp,4,above,3.370447105428758
sigma_x_pp,5,above,3.370447105428758
sigma_x_pp,6,above,3.370447105428758
sigma_x_pp,7,above,3.370447105428758
sigma_x_pp,8,above,3.333825006138071
sigma_x_pp,9,above,3.370447105428758
sigma_x_pp,10,above,3.3909139438580507
sigma_x_pp,11,above,3.370447105428758
sigma_x_pp,12,above,3.370447105428758
sigma_x_pp,13,above,3.370447105428758
sigma_x_pp,14,above,3.370447105428758
sigma_x_pp,15,above,3.370447105428758
sigma_x_pp,16,above,4.783196359976744
sigma_x_pp,17,above,3.370447105428758
sigma_x_pp,18,above,2.2807874758062385
sigma_x_pp,19,above,3.370447105428758
sigma_x_pp,20,above,3.370447105428758
sigma_x_pp,21,above,3.370447105428758
sigma_x_pp,22,above,3.370447105428758
mean_origin_state,0,above,0.00880666849820495
mean_origin_state,1,above,0.00880666849820495
mean_origin_state,2,above,0.00880666849820495
mean_origin_state,3,above,0.00880666849820495
mean_origin_state,4,above,0.0084083392247429
mean_origin_state,5,above,0.00880666849820495
mean_origin_state,6,above,0.00880666849820495
mean_origin_state,7,above,0.00880666849820495
mean_origin_state,8,above,0.00880666849820495
mean_origin_state,9,above,0.00880666849820495
mean_origin_state,10,above,0.00880666849820495
mean_origin_state,11,above,0.00880666849820495
mean_origin_state,12,above,0.00880666849820495
mean_origin_state,13,above,0.00880666849820495
mean_origin_state,14,above,0.00880666849820495
mean_origin_state,15,above,0.00880666849820495
mean_origin_state,16,above,0.01263304493700535
mean_origin_state,17,above,0.00880666849820495
mean_origin_state,18,above,0.00880666849820495
mean_origin_state,19,above,0.00880666849820495
mean_origin_state,20,above,0.00880666849820495
mean_origin_state,21,above,0.00880666849820495
mean_origin_state,22,above,0.00880666849820495
n_counties_mean,0,above,57.38095238095238
n_counties_mean,1,above,57.38095238095238
n_counties_mean,2,above,57.38095238095238
n_counties_mean,3,above,57.38095238095238
n_counties_mean,4,above,57.38095238095238
n_counties_mean,5,above,84.24642857142857
n_counties_mean,6,above,57.38095238095238
n_counties_mean,7,above,57.38095238095238
n_counties_mean,8,above,57.38095238095238
n_counties_mean,9,above,57.38095238095238
n_counties_mean,10,above,57.38095238095238
n_counties_mean,11,above,52.99450549450549
n_counties_mean,12,above,57.38095238095238
n_counties_mean,13,above,57.38095238095238
n_counties_mean,14,above,57.38095238095238
n_counties_mean,15,above,57.38095238095238
n_counties_mean,16,above,57.38095238095238
n_counties_mean,17,above,57.38095238095238
n_counties_mean,18,above,57.38095238095238
n_counties_mean,19,above,57.38095238095238
n_counties_mean,20,above,57.38095238095238
n_counties_mean,21,above,57.38095238095238
n_counties_mean,22,below,111.30952380952381
