event,t,origin_utc,n,status,g0,forcing_mean,u,r,b_net,mse_dual_fit_to_mean,mse_net_fit_to_mean,sigma2,mean_path_peak,S_plug,nu2_plug,S_hat,nu2_hat,NET,ASYM,n_train_events,delta_cv,lam,net_better,w
2018-01-16,24,2018-01-15 00:00:00,41,OK,0.0008656175476193,0.0020325203252032,0.0146163370460485,0.0778923010098541,-19.999999999683407,3.8569377330895123e-07,3.80629232582751e-07,1.900170313441816e-05,0.0020129895722985,3.020564821989377e-06,3.0089954989168016e-05,4.14984125679969e-07,8.347164365340823e-05,9.570519087680219e-05,3.9606584226756e-05,14,2.606443666967424e-05,0.06960181332528903,0.0,0.07692307692307693
2018-01-16,30,2018-01-15 06:00:00,41,OK,1.1615069524497304e-05,0.0355691056910569,0.0011593726815727,0.999551908823088,-19.985688418906957,4.205524807287334e-07,4.20533287604163e-07,1.4116229906557102e-05,0.0020129895722985,1.8097611315763477e-07,1.4585355454899886e-05,-9.330437978572625e-08,1.0743711508684371e-05,6.450808571343627e-05,1.4184583543122303e-05,14,2.606443666967424e-05,0.0,0.0,0.07692307692307693
2018-01-16,36,2018-01-15 12:00:00,41,OK,2.8924688987748766e-06,0.1219512195121951,0.0006753033436988,0.9926253354369576,-19.84211084158385,4.262074873991503e-07,4.262050801336318e-07,1.44401662648749e-05,0.0020129895722985,6.791433279115121e-08,5.140434418795657e-06,4.455604870549089e-07,9.195270148720443e-06,0.00010764575775189433,1.451694417210124e-05,14,2.606443666967424e-05,0.6783755906983053,0.0,0.07692307692307693
2018-01-16,42,2018-01-15 18:00:00,41,OK,0.0014659051919617,0.1432926829268292,0.0003123009114061,0.3979112573823606,-19.999999999999996,1.77959703426599e-07,1.76172378361257e-07,8.314334511648655e-06,0.0020129895722985,1.0115259888125104e-06,2.0037217062191705e-05,1.073419258828646e-06,4.179896632822862e-05,0.00014288513170996928,5.0437642552652e-05,14,2.606443666967424e-05,0.359527302794856,0.0,0.07692307692307693
2018-01-16,48,2018-01-16 00:00:00,41,OK,1.5962721129916883e-05,0.1534552845528455,0.0001835730563676,0.2039272569066141,3.953228399243815,9.471131752157829e-09,9.471932157817984e-09,7.426065144056924e-07,0.0004198412386378,5.0684585574537614e-11,1.1324932969186566e-06,-1.257985750798195e-08,1.2476310326932114e-06,9.968652466544758e-05,7.505068075612606e-07,14,2.606443666967424e-05,0.0,0.0,0.07692307692307693
2018-01-16,54,2018-01-16 06:00:00,41,OK,0.0001190446031427,0.1260162601626016,0.0001778083023779,4.6099203810342375e-17,19.99999999999802,4.00271511660652e-07,3.718871819455029e-07,1.485671835673344e-05,0.0021546316643236,2.019453424160605e-06,2.807709946897791e-05,1.0423830468257916e-06,2.378526704867462e-05,0.00011702548670447768,1.5072153035554658e-05,14,2.606443666967424e-05,0.6135463026627764,0.0,0.07692307692307693
2018-01-16,60,2018-01-16 12:00:00,41,OK,0.0004198412386378,0.0447154471544715,0.0015220104246152,3.2726892489709994e-16,19.99999999999998,2.0998154918025143e-06,1.6018139887969962e-06,6.088180737465423e-05,0.0067879945899668,1.8520891342050565e-06,5.9736056429746386e-05,6.95221981682836e-07,6.1198853476155e-05,0.00012380218967801942,6.285872873744985e-05,14,2.606443666967424e-05,0.15904068770425622,0.0,0.07692307692307693
2018-01-16,66,2018-01-16 18:00:00,42,OK,6.285155265901984e-05,0.0357142857142857,0.0132974304755386,2.666115387224456e-16,12.934282883571589,1.75567802381582e-05,1.1231257223853204e-05,0.0003847731331556,0.0167181977676243,3.1530471099808135e-08,0.0007896054068953,-6.059107748198029e-06,0.0007772159324062,0.0004627724083853744,0.000432988498789835,14,2.606443666967424e-05,0.0,0.0,0.07692307692307693
2018-01-16,72,2018-01-17 00:00:00,42,OK,3.7117776607896024e-05,0.0376984126984126,0.1296015136883462,1.0,-19.99999804232089,2.8845244059792926e-05,2.82394130536478e-05,0.000438181711712,0.0167181977676243,2.563344485062642e-07,0.0006308130070431,-1.672453813684143e-05,0.0006281705525033,0.0005061553315246977,0.0004899656046001283,14,2.606443666967424e-05,0.0,0.0,0.07692307692307693
2018-01-16,78,2018-01-17 06:00:00,42,OK,0.0021033309104111,0.0327380952380952,0.1333678531674978,1.0,-19.99999345386034,2.8403595421649898e-05,2.7580983978665936e-05,0.0004250446008522,0.0167181977676243,7.515886448086578e-06,0.0003962723693979,-2.5662276633357344e-06,0.0003783581517833,0.0005173654488848891,0.0005174559332807261,14,2.606443666967424e-05,0.0,1.0,0.07692307692307693
2018-01-16,84,2018-01-17 12:00:00,25,OK,0.0071118072353679,0.0466666666666666,0.0933049967918479,0.9999999999999012,-19.999999999909768,2.680946096672767e-05,2.617403106264007e-05,0.0005243295704341,0.0212181010247781,2.525054949628339e-05,0.0004022997528872,5.59815057991237e-05,0.0017188236604953,0.0007597441083418446,0.0008461196714996508,14,2.606443666967424e-05,0.45597526913370934,1.0,0.07692307692307693
2018-01-16,90,2018-01-17 18:00:00,24,OK,0.015119159493469,0.0260416666666666,2.0832440735253204e-08,0.3766993750264878,19.99999268340327,6.193834554447901e-06,6.160536991496211e-06,9.157457721076551e-05,0.0109726775987453,7.030078852880603e-08,5.380831468155838e-05,1.3824047433618237e-07,8.437793750061358e-05,0.0007758598443286514,0.0014568581172971831,14,2.606443666967424e-05,0.022936880161268217,1.0,0.07692307692307693
2018-01-16,144,2018-01-20 00:00:00,43,OK,0.0001347035751318,0.002906976744186,0.1018567140422685,1.0,-19.999999999999996,3.5059806901672924e-06,3.4806090379066317e-06,0.0001109694277137,0.00531102776432,1.8868748159103887e-08,3.544040661040712e-07,4.151384367779216e-06,8.305166483905957e-05,0.00019520302768087256,0.00011195307610058421,14,2.606443666967424e-05,0.6997979060568478,0.0,0.07692307692307693
2018-10-11,24,2018-10-10 00:00:00,108,OK,0.0001485974746677,0.1404320987654321,0.004049999736374,0.9999999999892684,-19.999999999958927,1.8660281358667686e-07,1.8641259386042514e-07,3.653046957900407e-05,0.0017667225179439,9.25310124632641e-08,9.109103143232904e-05,-6.807601088615084e-07,8.64631983530713e-05,0.00019634698808890474,4.0870687699018865e-05,14,-0.0021653242927014,0.0,0.0,0.047619047619047616
2018-10-11,30,2018-10-10 06:00:00,108,OK,0.0004162567170668,0.1844135802469135,0.0007655918281418,1.5033942925655388e-17,19.999999999999996,3.829908503683139e-06,2.8305296777150405e-06,0.0002123772708371,0.0101232696528315,1.3097780863889728e-05,0.0006660802163672,1.0936286098825444e-05,0.0006698739597835,0.00038289845273437083,0.00018035606358516375,14,-0.0021653242927014,0.22856240811784945,0.0,0.047619047619047616
2018-10-11,36,2018-10-10 12:00:00,102,OK,0.0001317110750297,0.2475490196078431,0.0258738652835974,0.9000977271297357,11.168382273648048,3.120797134764176e-05,7.368069913398398e-06,0.0010364975439063,0.0196490617256547,0.0003637808113784,0.0037833485103159,0.0003191391409953,0.0037730643592497,0.0008351430164725316,0.002495841844461661,14,-0.0021653242927014,1.1841695631247282,1.0,0.047619047619047616
2018-10-11,42,2018-10-10 18:00:00,102,OK,0.0014248437042458,0.3909313725490196,0.0025392827640414,1.989301186882681e-16,-2.368445487831933,2.037925615616142e-05,1.9354214031722607e-05,0.001779868276827,0.0206620109337092,0.000341911684837,0.0069011590038452,0.000187919986698,0.0053574129530125,0.0020946784903236415,0.00920098807078824,14,-0.0021653242927014,0.49107280637992323,1.0,0.047619047619047616
2018-10-11,48,2018-10-11 00:00:00,101,OK,0.0010604373905309,0.5222772277227722,0.0058207171466865,6.782925513619555e-17,3.478934097791518,0.000228198464152,6.347048794467186e-05,0.0053018528275651,0.1060431124266954,0.0005516878656799,0.0031933234742748,0.0005189275260815,0.0033385240360332,0.005975641929519648,0.015400382479549488,14,-0.0021653242927014,2.1761069522725918,1.0,0.047619047619047616
2018-10-11,54,2018-10-11 06:00:00,101,OK,0.0107988343471537,0.6002475247524752,0.0076779795500182,1.5550198324817477e-15,0.6376920076601466,0.0004428554529287,0.0002770721571622,0.0150947538823892,0.1284003424405217,0.0012161283192991,0.010341704225384,0.0012822696817708,0.0153457347919962,0.014040662437291967,0.02688506283105108,14,-0.0021653242927014,1.169821829200008,1.0,0.047619047619047616
2018-10-11,60,2018-10-11 12:00:00,101,OK,0.0192484607260401,0.5627062706270628,0.0087132905121108,5.7538716625660086e-18,0.0765912924274282,0.0003538661119759,0.0003434818200252,0.0257878668959888,0.1284003424405217,0.0074532275545576,0.040803440777324,0.0063971630866517,0.0387776690710941,0.02127359914975567,0.02554196236252987,14,-0.0021653242927014,2.309583978576072,1.0,0.047619047619047616
2018-10-11,66,2018-10-11 18:00:00,101,OK,0.0187780640927952,0.3886138613861385,0.0209329712448462,0.0346980902936211,-0.2669572901880034,6.099655196594597e-05,5.4767332803368434e-05,0.0334994506714362,0.1318646868014952,0.000617727621699,0.0173224962495677,0.0002082159508181,0.0180645203023853,0.030877448370710936,0.03524762042748444,14,-0.0021653242927014,0.16136732460415737,1.0,0.047619047619047616
2018-10-11,72,2018-10-12 00:00:00,101,OK,0.1060431124266954,0.1963696369636964,0.0182759986696356,0.0350639487997342,1.08356425537201,3.664105176073056e-05,2.2671562579807667e-05,0.0126658693872792,0.1318646868014952,0.0002436597590674,0.0034317897960593,0.0001817952123646,0.0034657911028474,0.014511737438527197,0.018993824957026045,14,-0.0021653242927014,0.7343584473436346,1.0,0.047619047619047616
2018-10-11,78,2018-10-12 06:00:00,101,OK,0.1255866684406844,0.066006600660066,0.031522350379305,0.0425415548133482,0.0937905706064054,1.8593054731003417e-05,1.8399686745615627e-05,0.00468397024483,0.1318646868014952,5.839958401215839e-06,0.0013502785668441,9.285808255299268e-07,0.0013157695816461,0.002699539801331573,0.004061159384541036,14,-0.0021653242927014,0.009880249352743887,1.0,0.047619047619047616
2018-10-11,84,2018-10-12 12:00:00,107,OK,0.1175232344980546,0.0147975077881619,0.0257907339555956,0.0366699777206998,-0.4575451737120276,3.2061470937168355e-05,1.6083154847212592e-05,0.0022692710332573,0.1244981672663946,0.0006166201093707,0.0024984562925042,0.0006187162515331,0.0026191994273481,0.0018971855347810608,0.002367165569468317,14,-0.0021653242927014,3.307127907489493,1.0,0.047619047619047616
2018-10-11,90,2018-10-12 18:00:00,107,OK,0.1058560146186238,0.0,0.02,0.0362988249183081,-0.4712470949384726,5.566497183516768e-05,2.5363432091915488e-05,0.0016173062071906,0.0939313080695975,0.0011155021756155,0.0043748216952577,0.0011527803502109,0.0046639423027259,0.001979154874662665,0.002646039357625262,14,-0.0021653242927014,3.4603611827530547,1.0,0.047619047619047616
2018-10-11,96,2018-10-13 00:00:00,108,OK,0.0706578793463335,0.0,0.2,0.0199118027895762,1.1554021387439273,8.311639585916896e-06,1.7146964033237189e-06,0.0006271611123271,0.0689836465110752,0.00014413391661,0.0026492820244198,0.0001065232124623,0.0026046045457216,0.0010226828482377429,0.00154380906901471,14,-0.0021653242927014,0.5725725146728683,1.0,0.047619047619047616
2018-10-11,102,2018-10-13 06:00:00,108,OK,0.0644763547944989,0.0,0.05,0.0255121542125463,0.8686005258552796,9.703326653726715e-06,5.904276650584078e-06,0.0006538513714283,0.0641400921139106,9.987830428011268e-05,0.0014315850037179,7.940625221383032e-05,0.0014289290091755,0.000911591890513059,0.0008248563706367532,14,-0.0021653242927014,0.7779865366685182,0.0,0.047619047619047616
