数据名,仓库相对路径,源URL,字节数,SHA256,字段,年份,时间粒度,许可证,核验状态,用途,缺口
EAGLE-I county outage panel (target y),data/interim/panel_2018-01-16.npz,https://doi.org/10.13139/ORNLNCCS/1975202,75245,26845019606113622ee96f6d3b5952546ead3cdecd0ab30f0143a2ba2041fb84,"y,observed,denominator,fips,ts",2018,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,853 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2018-01-16.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1527531,b3d40885f4215c2d64f81625fadbe27afb40bd5a7bb303c3d2777213dd5b5720,"X[C,169,12], channels, fips, ts",2018,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 122/355 counties all-zero in all channels and hours,Task A input x,"122 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2018-10-11.npz,https://doi.org/10.13139/ORNLNCCS/1975202,222527,84bf6614e460de9c67c440047c6157d28ad3f06c37d71410c470206eb28eb01e,"y,observed,denominator,fips,ts",2018,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,450 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2018-10-11.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),839113,f19810fa1f9906f16a3f3bb5350c33791f0978db9e891a2e4e20e705152b22be,"X[C,169,12], channels, fips, ts",2018,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 109/235 counties all-zero in all channels and hours,Task A input x,"109 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2019-02-20.npz,https://doi.org/10.13139/ORNLNCCS/1975202,132956,38340cde34a1de2ff2f50540b2d8c735c3293a031a549e212ce55809ad2719d2,"y,observed,denominator,fips,ts",2019,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,11285 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2019-02-20.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),2209107,cffc449ca2dc2525cd06a9abfd14e3f1d4b3481204addc7712f40e50bfac4094,"X[C,169,12], channels, fips, ts",2019,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 147/474 counties all-zero in all channels and hours,Task A input x,"147 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2019-02-24.npz,https://doi.org/10.13139/ORNLNCCS/1975202,360277,3ede5e9e5f2257814993c13872648414144d7a4d22e65206f519e37fb0059d83,"y,observed,denominator,fips,ts",2019,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,2209 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2019-02-24.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),3067036,1e1a227d2ecfb6a74e693ad348fff6ec34011049f93279ce873d5eea45601f21,"X[C,169,12], channels, fips, ts",2019,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 235/688 counties all-zero in all channels and hours,Task A input x,"235 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2019-11-27.npz,https://doi.org/10.13139/ORNLNCCS/1975202,188105,255bd8af885b32acc39d392be6320c34ec67fd34f01d1187a8dc4752c479accb,"y,observed,denominator,fips,ts",2019,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,2032 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2019-11-27.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1896085,4c315aee4dbdf4b3531e928fb62506162485554fbe4a021da5132c5f027249b0,"X[C,169,12], channels, fips, ts",2019,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 196/480 counties all-zero in all channels and hours,Task A input x,"196 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
