fips,event,n_events
01003,2024-01-09,1
01005,2019-11-27,1
01009,2019-02-20;2020-02-06;2022-01-16;2022-03-12;2024-06-26,5
01011,2020-10-29,1
01013,2020-10-29,1
01017,2020-10-29,1
01019,2020-02-06;2020-10-29;2022-01-16,3
01027,2020-02-06;2020-10-29,2
01035,2020-10-29,1
01039,2024-01-09,1
01041,2020-10-29,1
01047,2020-10-29,1
01053,2020-10-29,1
01057,2019-02-24;2021-02-15,2
01067,2024-09-27,1
01069,2021-02-15;2024-01-09;2024-09-27,3
01075,2021-02-15,1
01081,2020-02-06;2020-10-29,2
01085,2020-10-29,1
01097,2020-10-29;2024-01-09,2
01099,2020-10-29,1
01107,2021-02-15,1
01109,2019-11-27;2020-10-29,2
01111,2020-02-06;2020-10-29,2
01125,2020-02-06;2024-06-26,2
02068,2024-01-12,1
02122,2024-01-12,1
04001,2021-12-15,1
04009,2021-12-15,1
04011,2021-12-15,1
04017,2021-12-15,1
04023,2021-12-15;2024-06-26,2
04025,2021-12-15,1
05005,2020-02-06;2024-05-26,2
05011,2018-01-16;2021-02-15,2
05013,2018-01-16;2021-02-15;2024-01-12,3
05023,2020-02-06;2021-02-15,2
05029,2019-02-20;2020-02-06;2021-02-15;2024-01-12,4
05037,2018-01-16;2021-02-15,2
05049,2021-02-15;2024-05-26,2
05065,2021-02-15,1
05073,2018-01-16;2022-03-12;2024-06-26,3
05091,2018-01-16;2022-03-12;2024-06-26,3
05101,2020-10-29,1
05103,2018-01-16;2021-02-15;2024-05-26,3
05117,2018-01-16;2020-02-06;2022-03-12;2024-01-12,4
06001,2019-11-27,1
06003,2021-12-15,1
06013,2019-11-27,1
06017,2021-12-15,1
06023,2019-11-27;2021-12-15,2
06027,2019-11-27,1
06035,2021-12-15,1
06041,2019-11-27,1
06051,2021-12-15;2024-06-26,2
06053,2019-11-27,1
06055,2019-11-27,1
06057,2021-12-15,1
06061,2021-12-15,1
06063,2021-12-15,1
06069,2019-11-27,1
06075,2019-11-27,1
06081,2019-11-27,1
06085,2019-11-27,1
06087,2019-11-27,1
06089,2019-11-27,1
06091,2021-12-15,1
06093,2019-11-27;2021-12-15;2022-03-12;2024-01-12,4
06097,2019-11-27,1
06103,2019-11-27,1
06105,2019-02-24;2021-12-15,2
08001,2020-08-04;2021-12-15,2
08003,2021-12-15,1
08005,2021-12-15,1
08007,2019-11-27;2020-02-06;2021-02-15;2021-12-15;2024-01-12,5
08014,2021-12-15,1
08015,2020-02-06;2021-12-15,2
08017,2021-12-15,1
08019,2020-02-06;2021-12-15;2024-01-12,3
08021,2021-12-15;2024-01-12,2
08023,2021-12-15,1
08027,2021-12-15;2024-01-12,2
08029,2018-10-11;2020-02-06;2021-12-15;2024-01-12,4
08031,2021-12-15,1
08033,2019-11-27;2020-02-06;2021-02-15;2021-12-15;2024-01-12,5
08035,2020-02-06;2021-12-15,2
