event,split,counties,counties_weather_legal,candidate_windows,legal_states_only,legal_states_and_weather,excluded_by_missing_weather_only,dedup_dropped,final_windows,final_counties
2018-01-16,train,355,233,7455,3633,2523,1110,0,2523,220
2018-10-11,train,235,126,4935,4573,2503,2070,0,2503,125
2019-02-20,train,474,327,9954,8439,5954,2485,0,5954,315
2019-02-24,train,688,453,14448,12588,8724,3864,891,7833,442
2019-11-27,train,480,284,10080,8325,4874,3451,0,4874,282
2020-02-06,train,326,163,6846,5336,2716,2620,0,2716,160
2020-08-04,train,213,89,4473,3955,1615,2340,0,1615,87
2020-10-29,train,240,140,5040,4065,2309,1756,0,2309,140
2021-02-15,train,810,503,17010,14424,9179,5245,0,9179,497
2021-05-04,train,344,344,7224,5547,5547,0,0,5547,339
2021-06-21,train,256,256,5376,5098,5098,0,0,5098,255
2021-08-11,train,253,253,5313,4540,4540,0,0,4540,249
2021-12-11,train,256,256,5376,4611,4611,0,0,4611,247
2021-12-15,train,361,70,7581,6943,1405,5538,0,1405,69
2022-01-16,validation,556,435,11676,11065,8628,2437,0,8628,428
2022-03-12,validation,536,391,11256,10344,7550,2794,0,7550,382
2022-04-13,validation,207,207,4347,3794,3794,0,0,3794,202
2022-06-08,validation,183,183,3843,3256,3256,0,0,3256,178
2022-06-17,validation,356,356,7476,6143,6143,0,0,6143,342
2022-07-23,validation,186,186,3906,3536,3536,0,0,3536,178
2024-01-09,evaluation,240,121,5040,5019,2520,2499,0,2520,120
2024-01-12,evaluation,578,290,12138,11798,6048,5750,81,5967,288
2024-05-08,evaluation,236,166,4956,4951,3481,1470,0,3481,166
2024-05-26,evaluation,339,257,7119,6422,4864,1558,0,4864,256
2024-06-26,evaluation,230,141,4830,4809,2940,1869,0,2940,140
2024-09-27,evaluation,445,270,9345,9312,5658,3654,0,5658,270
