event,n_counties,weather_all_zero_counties,weather_all_zero_fraction,partial_zero_hour_counties,hourly_snapshot_observed_fraction,observed_y_above1,observed_y_max
2018-01-16,355,122,0.3436619718309859,0,0.9500291690974247,0,0.7211394302848576
2018-10-11,235,109,0.46382978723404256,0,0.9768349490117084,0,1.0
2019-02-20,474,147,0.310126582278481,0,0.9566074950690335,0,0.7507411067193676
2019-02-24,688,235,0.34156976744186046,0,0.9549246594192927,0,1.0
2019-11-27,480,196,0.4083333333333333,0,0.9904339250493097,0,1.0
2020-02-06,326,163,0.5,0,0.9780738374414637,0,1.0
2020-08-04,213,124,0.5821596244131455,0,0.9966663888657388,0,0.9700944701847283
2020-10-29,240,100,0.4166666666666667,0,0.9940828402366864,0,0.9901432311720314
2021-02-15,810,307,0.3790123456790123,0,0.9853897289794725,0,1.0
2021-05-04,344,0,0.0,0,0.9879420668776662,0,1.0
2021-06-21,256,0,0.0,0,0.99609375,0,0.8345797720797721
2021-08-11,253,0,0.0,0,0.9937787964543817,0,0.813034188034188
2021-12-11,256,0,0.0,0,0.9715467825443787,0,0.780473714615829
2021-12-15,361,291,0.8060941828254847,0,0.946975036470029,0,1.0
2022-01-16,556,121,0.21762589928057555,0,0.981737686773658,0,0.513874253600281
2022-03-12,536,145,0.27052238805970147,0,0.9773359533692484,0,0.5381917381137958
2022-04-13,207,0,0.0,0,0.9765314581368093,0,0.41360249939918287
2022-06-08,183,0,0.0,0,0.9890387040450093,0,0.714544513457557
2022-06-17,356,0,0.0,0,0.9915730337078652,0,0.8777173913043478
2022-07-23,186,0,0.0,0,0.9977094865432334,0,0.785561725758223
2024-01-09,240,119,0.49583333333333335,0,0.9964497041420118,0,0.6569829741635909
2024-01-12,578,288,0.4982698961937716,0,0.9733011199606888,0,0.8519189589853401
2024-05-08,236,70,0.2966101694915254,0,0.9993731822284625,0,0.40411599625818523
2024-05-26,339,82,0.24188790560471976,0,0.943952802359882,0,0.9990744311608176
2024-06-26,230,89,0.3869565217391304,0,0.9956521739130435,0,0.49612664196699224
2024-09-27,445,175,0.39325842696629215,0,0.9971278505418523,0,1.0
