event,fips,origin_utc,row,t,kept_in_event
2019-02-24,01077,2019-02-23 00:00:00,1068,24,2019-02-20
2019-02-24,01077,2019-02-23 06:00:00,1068,30,2019-02-20
2019-02-24,01077,2019-02-23 12:00:00,1068,36,2019-02-20
2019-02-24,01077,2019-02-23 18:00:00,1068,42,2019-02-20
2019-02-24,01077,2019-02-24 00:00:00,1068,48,2019-02-20
2019-02-24,01103,2019-02-23 00:00:00,1074,24,2019-02-20
2019-02-24,01103,2019-02-23 06:00:00,1074,30,2019-02-20
2019-02-24,01103,2019-02-23 12:00:00,1074,36,2019-02-20
2019-02-24,01103,2019-02-23 18:00:00,1074,42,2019-02-20
2019-02-24,01103,2019-02-24 00:00:00,1074,48,2019-02-20
2019-02-24,18003,2019-02-23 00:00:00,1138,24,2019-02-20
2019-02-24,18003,2019-02-23 06:00:00,1138,30,2019-02-20
2019-02-24,18003,2019-02-23 12:00:00,1138,36,2019-02-20
2019-02-24,18003,2019-02-23 18:00:00,1138,42,2019-02-20
2019-02-24,18003,2019-02-24 00:00:00,1138,48,2019-02-20
2019-02-24,18017,2019-02-23 00:00:00,1141,24,2019-02-20
2019-02-24,18017,2019-02-23 06:00:00,1141,30,2019-02-20
2019-02-24,18017,2019-02-23 12:00:00,1141,36,2019-02-20
2019-02-24,18017,2019-02-23 18:00:00,1141,42,2019-02-20
2019-02-24,18017,2019-02-24 00:00:00,1141,48,2019-02-20
2019-02-24,18033,2019-02-23 00:00:00,1142,24,2019-02-20
2019-02-24,18033,2019-02-23 06:00:00,1142,30,2019-02-20
2019-02-24,18033,2019-02-23 12:00:00,1142,36,2019-02-20
2019-02-24,18033,2019-02-23 18:00:00,1142,42,2019-02-20
2019-02-24,18033,2019-02-24 00:00:00,1142,48,2019-02-20
2019-02-24,18049,2019-02-23 00:00:00,1144,24,2019-02-20
2019-02-24,18049,2019-02-23 06:00:00,1144,30,2019-02-20
2019-02-24,18049,2019-02-23 12:00:00,1144,36,2019-02-20
2019-02-24,18049,2019-02-23 18:00:00,1144,42,2019-02-20
2019-02-24,18049,2019-02-24 00:00:00,1144,48,2019-02-20
2019-02-24,18053,2019-02-23 00:00:00,1146,24,2019-02-20
2019-02-24,18053,2019-02-23 06:00:00,1146,30,2019-02-20
2019-02-24,18053,2019-02-23 12:00:00,1146,36,2019-02-20
2019-02-24,18053,2019-02-23 18:00:00,1146,42,2019-02-20
2019-02-24,18053,2019-02-24 00:00:00,1146,48,2019-02-20
2019-02-24,18069,2019-02-23 00:00:00,1147,24,2019-02-20
2019-02-24,18069,2019-02-23 06:00:00,1147,30,2019-02-20
2019-02-24,18069,2019-02-23 12:00:00,1147,36,2019-02-20
2019-02-24,18069,2019-02-23 18:00:00,1147,42,2019-02-20
2019-02-24,18069,2019-02-24 00:00:00,1147,48,2019-02-20
2019-02-24,18075,2019-02-23 00:00:00,1149,24,2019-02-20
2019-02-24,18075,2019-02-23 06:00:00,1149,30,2019-02-20
2019-02-24,18075,2019-02-23 12:00:00,1149,36,2019-02-20
2019-02-24,18075,2019-02-23 18:00:00,1149,42,2019-02-20
2019-02-24,18075,2019-02-24 00:00:00,1149,48,2019-02-20
2019-02-24,18099,2019-02-23 00:00:00,1152,24,2019-02-20
2019-02-24,18099,2019-02-23 06:00:00,1152,30,2019-02-20
2019-02-24,18099,2019-02-23 12:00:00,1152,36,2019-02-20
2019-02-24,18099,2019-02-23 18:00:00,1152,42,2019-02-20
2019-02-24,18099,2019-02-24 00:00:00,1152,48,2019-02-20
2019-02-24,18103,2019-02-23 00:00:00,1153,24,2019-02-20
2019-02-24,18103,2019-02-23 06:00:00,1153,30,2019-02-20
2019-02-24,18103,2019-02-23 12:00:00,1153,36,2019-02-20
