variant,seed,group,company,NET_mse_path,NET_mse_1h,NET_mse_6h,NET_mse_24h,NET_out_of_bounds_fraction,ASYM_mse_path,ASYM_mse_1h,ASYM_mse_6h,ASYM_mse_24h,ASYM_out_of_bounds_fraction,delta_mse_path,delta_mse_1h,delta_mse_6h,delta_mse_24h,delta_out_of_bounds_fraction
raw,5101.0,42,2,0.0001832759594810119,0.0001242897859958352,0.00018078123685292521,0.0001964459482376115,0.005208333333333333,0.00018603843694369796,0.00013684103020861885,0.0001835213135869022,0.0001971357501926296,0.0,-2.762477462686072e-06,-1.2551244212783644e-05,-2.740076733976992e-06,-6.898019550180784e-07,0.005208333333333333
raw,5101.0,46,2,0.00021951704116665076,0.00011209464666945248,0.0002089391151865288,0.00024367888660249682,0.0005969593410445146,0.00022327584990615275,0.00011962820070323794,0.00020923004457753364,0.0002476315132445668,0.0,-3.75880873950199e-06,-7.533554033785453e-06,-2.909293910048421e-07,-3.952626642069986e-06,0.0005969593410445146
raw,5101.0,117,3,4.127965332814825e-05,3.516394195420504e-05,4.115563581023892e-05,4.25133268709224e-05,0.010904092183666315,4.1865241664139214e-05,3.768674458349866e-05,4.1536381738607525e-05,4.2737557251797645e-05,0.0,-5.855883359909638e-07,-2.522802629293622e-06,-3.8074592836860604e-07,-2.2423038087524168e-07,0.010904092183666315
raw,5101.0,199,4,1.6310669085546653e-05,1.3386681823584614e-05,1.6065268076180367e-05,1.730952062356969e-05,0.13626555380301436,1.6134757179780096e-05,1.4450403733287691e-05,1.5539091797458135e-05,1.680848496064616e-05,0.0,1.7591190576655695e-07,-1.0637219097030774e-06,5.261762787222318e-07,5.010356629235293e-07,0.13626555380301436
raw,5101.0,250,4,4.644763946864024e-06,2.663952221770186e-06,4.614121595691483e-06,5.269572119114929e-06,0.2561065106905012,4.9609001008107445e-06,2.7056363112576993e-06,4.9325520391315935e-06,5.149012019738371e-06,0.0,-3.1613615394672067e-07,-4.1684089487513356e-08,-3.184304434401105e-07,1.205600993765582e-07,0.2561065106905012
raw,5101.0,492,7,0.0011878365190309157,0.0007166617957700444,0.0012106322235458456,0.0012252040388295788,0.0784152646337189,0.0011821520636643283,0.0007110555139440594,0.0012244209709452235,0.0012142682040849953,0.0,5.684455366587477e-06,5.60628182598498e-06,-1.3788747399377885e-05,1.0935834744583463e-05,0.0784152646337189
raw,5101.0,1087,22,3.525767826332699e-05,2.7897881053276008e-05,3.573073373987841e-05,3.532686550263587e-05,0.03569707325622152,3.562392743212848e-05,2.8729101314689964e-05,3.6317250132996155e-05,3.538180512301391e-05,0.0,-3.6624916880148675e-07,-8.312202614139555e-07,-5.865163931177442e-07,-5.4939620378042066e-08,0.03569707325622152
raw,5101.0,1113,22,4.7824269718210767e-05,4.0282546553826514e-05,4.871868851249333e-05,4.45428860214271e-05,0.09065566947073256,4.8075826202144354e-05,4.10978785073114e-05,4.923672743885583e-05,4.489381807858684e-05,0.0,-2.515564839335879e-07,-8.153319534848872e-07,-5.18038926362497e-07,-3.5093205715973943e-07,0.09065566947073256
raw,5101.0,1219,23,1.059744749679499e-05,6.964838144474325e-06,1.029943337660482e-05,1.1351405434089845e-05,0.4441541798107255,1.0100013932400345e-05,7.148269647493408e-06,9.84724112637709e-06,1.0580380789751109e-05,0.0,4.974335643946444e-07,-1.8343150301908306e-07,4.521922502277292e-07,7.71024644338736e-07,0.4441541798107255
raw,5101.0,1231,23,2.405093483341417e-05,1.2797019901977496e-05,2.3856906414171035e-05,2.5856540796513685e-05,0.1294470732562215,2.4396669261843012e-05,1.3050401860189397e-05,2.4163674322956928e-05,2.584902726485554e-05,0.0,-3.4573442842884334e-07,-2.5338195821190135e-07,-3.0676790878589265e-07,7.513531658144166e-09,0.1294470732562215
raw,5101.0,1319,25,0.0006101858589620101,0.00038041420068980595,0.0006059019088936387,0.0006328024326039427,0.0038720206799859797,0.0006108879107723137,0.0003997359998213035,0.0005999745676472917,0.000637899870220769,0.0,-7.020518103036544e-07,-1.932179913149756e-05,5.927341246347016e-06,-5.097437616826263e-06,0.0038720206799859797
raw,5101.0,1348,25,0.00032351001677979354,0.00026313082101082333,0.0003271773147657474,0.00032412456795516946,0.007486636873466526,0.00033058755926689747,0.00030511187731554584,0.0003408850250814864,0.00032583142313628947,0.0,-7.077542487103931e-06,-4.198105630472251e-05,-1.3707710315739017e-05,-1.7068551811200107e-06,0.007486636873466526
raw,5101.0,1389,26,5.1021206948764953e-05,2.7273115546614294e-05,4.9249426005655017e-05,5.574593469216821e-05,0.008078119523308797,5.109256301822259e-05,2.7727992155762973e-05,4.967598153576691e-05,5.540605620389265e-05,0.0,-7.135606945763714e-08,-4.548766091486795e-07,-4.2655553011189444e-07,3.398784882755574e-07,0.008078119523308797
raw,5101.0,1498,27,0.00010367865893887085,4.737379263870638e-05,9.659262220623131e-05,0.00011838490623273166,0.08966986505432878,0.00010184457458359049,4.641175123390943e-05,9.511685254723584e-05,0.0001164956558685407,0.0,1.8340843552803663e-06,9.620414047969514e-07,1.4757696589954672e-06,1.8892503641909625e-06,0.08966986505432878
raw,5101.0,1603,28,2.331769887262107e-05,1.1518110095191651e-05,2.1798808114426674e-05,2.6569991088659274e-05,0.3180971784086926,2.3093913380080507e-05,1.0911493084356052e-05,2.181638031173185e-05,2.6328418830221047e-05,0.0,2.2378549254056348e-07,6.066170108355996e-07,-1.7572197305176118e-08,2.415722584382272e-07,0.3180971784086926
raw,5101.0,1635,28,3.186276097251869e-05,1.865381935407252e-05,2.9110865554517776e-05,3.6172288919512316e-05,0.032066026989134244,3.185997782286927e-05,1.8977610143398172e-05,2.916680520802072e-05,3.6386258963445096e-05,0.0,2.7831496494167365e-09,-3.2379078932565084e-07,-5.5939653502944787e-08,-2.1397004393277963e-07,0.032066026989134244
raw,5101.0,1926,36,0.0001306420302131665,6.273367578600693e-05,0.00013005202515053594,0.000141668920490205,0.00521928671573782,0.00013262875494196845,6.209297913467064e-05,0.00013412677615878916,0.00014171332846742399,0.0,-1.9867247288019453e-06,6.406966513362893e-07,-4.074751008253214e-06,-4.440797721899908e-08,0.00521928671573782
raw,5101.0,1962,37,1.7417065980485252e-05,1.4836986698008975e-05,1.9059297268232973e-05,1.5511908380267986e-05,0.1663271118121276,1.7561655139747265e-05,1.5664489178866452e-05,1.919770339802806e-05,1.5302775564314434e-05,0.0,-1.4458915926201314e-07,-8.275024808574775e-07,-1.3840612979508518e-07,2.0913281595355196e-07,0.1663271118121276
raw,5101.0,2001,37,0.00010743742759263453,0.00010991480865290849,0.00010643006343699505,0.00010860322383072703,0.10728290396074308,0.0001067484117686521,0.00010835466438986253,0.00010617693416210739,0.0001076594313164747,0.0,6.890158239824303e-07,1.560144263045959e-06,2.531292748876552e-07,9.437925142523243e-07,0.10728290396074308
raw,5101.0,2055,38,0.00023652131326365813,0.00021622584629042154,0.00023407497685223075,0.00024361121703633538,0.02943173852085524,0.0002360755411165552,0.00022089744559390063,0.0002332262675022795,0.00024202310460200526,0.0,4.457721471029432e-07,-4.671599303479086e-06,8.487093499512442e-07,1.588112434330115e-06,0.02943173852085524
raw,5101.0,2075,38,7.407785808782119e-05,5.4462030410759565e-05,7.375922424495165e-05,7.778978864398938e-05,0.01983109884332282,7.385383198513114e-05,5.5593590294560154e-05,7.298779639405094e-05,7.70739352982737e-05,0.0,2.2402610269005394e-07,-1.1315598838005899e-06,7.714278509007145e-07,7.158533457156868e-07,0.01983109884332282
raw,5101.0,2242,41,4.999616637741904e-05,2.908461509706389e-05,4.8649456969801606e-05,5.488381652022428e-05,0.05251599193831055,5.016969110455216e-05,2.995854672919528e-05,4.90794451271968e-05,5.447935245156228e-05,0.0,-1.735247271331228e-07,-8.739316321313881e-07,-4.299881573951962e-07,4.044640686620026e-07,0.05251599193831055
raw,5101.0,2512,42,0.00011762002338123105,8.256294937067481e-05,0.00012005767892977424,0.00011638132861095286,0.03609139502278304,0.00011794030969898227,8.481000071736402e-05,0.00012078014764861427,0.0001158572877217329,0.0,-3.202863177512161e-07,-2.24705134668921e-06,-7.224687188400378e-07,5.240408892199583e-07,0.03609139502278304
raw,5101.0,2543,43,4.7082172504402094e-05,3.531797751255728e-05,4.7791541681986955e-05,4.711980719577432e-05,0.3087648966000701,4.698251736271094e-05,3.743056480324261e-05,4.7781134660417205e-05,4.702465039194994e-05,0.0,9.965514169115505e-08,-2.112587290685331e-06,1.0407021569749822e-08,9.515680382437869e-08,0.3087648966000701
raw,5102.0,42,2,0.0001846630308361382,0.00013019906034316921,0.00018215697658748847,0.00019717922924124417,0.0009858044164037854,0.0001857170644313152,0.0001360195773707164,0.00018335576743606124,0.00019919581869816267,0.0,-1.0540335951769947e-06,-5.820517027547181e-06,-1.1987908485727706e-06,-2.0165894569185e-06,0.0009858044164037854
raw,5102.0,46,2,0.0002197085642528959,0.00011503964333788918,0.00020716929543582684,0.0002433692016586611,0.0006407728706624606,0.0002201981100402477,0.00011948939610202152,0.0002053592227135401,0.0002465375906804872,0.0,-4.895457873518112e-07,-4.449752764132343e-06,1.8100727222867272e-06,-3.168389021826072e-06,0.0006407728706624606
raw,5102.0,117,3,4.210381994810033e-05,3.7226693293544284e-05,4.195044260392686e-05,4.3013648925975336e-05,0.003795347003154574,4.162497138895904e-05,3.7050802188607166e-05,4.1171229670561496e-05,4.2991899532473914e-05,0.0,4.78848559141286e-07,1.7589110493711766e-07,7.792129333653646e-07,2.174939350142155e-08,0.003795347003154574
raw,5102.0,199,4,1.6137156401819526e-05,1.4128298065717362e-05,1.59957261748675e-05,1.698970390748102e-05,0.01662175779880827,1.5912652804165606e-05,1.386169394265664e-05,1.5367828087006105e-05,1.6900937601171565e-05,0.0,2.2450359765392082e-07,2.6660412306072204e-07,6.278980878613951e-07,8.87663063094536e-08,0.01662175779880827
raw,5102.0,250,4,4.798708657485964e-06,2.783133285818763e-06,4.8693745172316924e-06,5.613386727025632e-06,0.11133017875920084,5.044098130943208e-06,2.8184363223491015e-06,4.9036485784933406e-06,5.46117719901449e-06,0.0,-2.453894734572441e-07,-3.5303036530338664e-08,-3.427406126164812e-08,1.5220952801114255e-07,0.11133017875920084
raw,5102.0,492,7,0.0011794579067805077,0.0006783571913054553,0.0012081604847665754,0.001221833530658886,0.05293222046968104,0.0011812907393957143,0.0007083500499444619,0.0012204140158571402,0.0012200543330940416,0.0,-1.832832615206604e-06,-2.9992858639006637e-05,-1.2253531090564802e-05,1.7791975648444053e-06,0.05293222046968104
raw,5102.0,1087,22,3.625592897739508e-05,2.9152972001266474e-05,3.67425169627866e-05,3.628451597927189e-05,0.010044251664914126,3.54891238899913e-05,2.8162355894832263e-05,3.591661823499092e-05,3.562024353497621e-05,0.0,7.668050874037793e-07,9.906161064342103e-07,8.258987277956817e-07,6.64272444295679e-07,0.010044251664914126
raw,5102.0,1113,22,4.83646025659159e-05,4.193467398327235e-05,4.9152493569988875e-05,4.477125765800583e-05,0.02203820539782685,4.792721562581064e-05,4.05274079580901e-05,4.88013438480036e-05,4.480298683004714e-05,0.0,4.3738694010525813e-07,1.4072660251822518e-06,3.511497219852748e-07,-3.1729172041310215e-08,0.02203820539782685
raw,5102.0,1219,23,1.040823499117365e-05,7.083957814442528e-06,1.0280284582636597e-05,1.1183255267199434e-05,0.13885602874167544,1.0119749459067939e-05,7.294942343303871e-06,9.908260529452213e-06,1.0610538274104353e-05,0.0,2.884855321057109e-07,-2.1098452886134268e-07,3.720240531843837e-07,5.727169930950809e-07,0.13885602874167544
raw,5102.0,1231,23,2.4063910549135867e-05,1.2850850713774513e-05,2.4126022383891076e-05,2.605326607570904e-05,0.014633718892393972,2.426296422041591e-05,1.3005866987184517e-05,2.3913798214292233e-05,2.601883154761662e-05,0.0,-1.9905367128004233e-07,-1.5501627341000402e-07,2.122241695988423e-07,3.443452809241885e-08,0.014633718892393972
raw,5102.0,1319,25,0.000611806714710566,0.0003832559506466279,0.0005975954254367487,0.0006368244585000149,0.00520285664213109,0.0006112261157499555,0.00039308050972414486,0.0006028064568166863,0.0006378950217205032,0.0,5.805989606105181e-07,-9.82455907751694e-06,-5.211031379937577e-06,-1.0705632204883022e-06,0.00520285664213109
raw,5102.0,1348,25,0.00032308733816253617,0.0002739263127672309,0.0003260734491538991,0.00032392033368062204,0.0057833859095688745,0.00032776457871011,0.0002875370965350117,0.000336301627696815,0.00032370741335721256,0.0,-4.6772405475738535e-06,-1.3610783767780766e-05,-1.0228178542915896e-05,2.1292032340947207e-07,0.0057833859095688745
raw,5102.0,1389,26,5.1081011835206244e-05,2.7108111733948444e-05,4.939584748341242e-05,5.6146033912319744e-05,0.005197379950928847,5.121451085077544e-05,2.745218467818362e-05,4.952089468925993e-05,5.591518017246509e-05,0.0,-1.3349901556919597e-07,-3.4407294423517777e-07,-1.2504720584751035e-07,2.3085373985465263e-07,0.005197379950928847
raw,5102.0,1498,27,0.00010125385121947937,4.602804886945422e-05,9.291507653963337e-05,0.00011696664720057547,0.022103925692253768,0.00010247868899472487,4.6402908328753746e-05,9.62825093893683e-05,0.00011652211840514208,0.0,-1.224837775245499e-06,-3.748594592995261e-07,-3.3674328497349334e-06,4.4452879543339637e-07,0.022103925692253768
