variant,company,NET_mse_path,ASYM_mse_path,delta_seed_mean,seeds_delta_positive,rel_gain_asym_vs_net
output_clip_01,2,0.00020215198988857998,0.00020789489102750002,-5.742901138917162e-06,0,-0.028408828140080875
output_clip_01,7,0.00117980683877118,0.0011847601756961,-4.953336924939716e-06,2,-0.004198430422796317
output_clip_01,25,0.00046611872954216004,0.00046915835800982004,-3.0396284676661394e-06,0,-0.0065211463839817034
output_clip_01,36,0.00013088350809536002,0.00013230249696314001,-1.4189888677963963e-06,0,-0.010841617010648438
output_clip_01,41,5.02589010334253e-05,5.047383637488095e-05,-2.149353414556554e-07,0,-0.004276562699067068
output_clip_01,38,0.00015559501042038002,0.00015579325432792,-1.98243907514531e-07,2,-0.0012741019586962644
output_clip_01,4,1.0562726992686974e-05,1.0681820385394856e-05,-1.1909339270788137e-07,1,-0.011274871800656764
output_clip_01,42,0.00011792269737096,0.00011791145643342001,1.1240937541068794e-08,2,9.53246303773767e-05
output_clip_01,3,4.2056704037563e-05,4.2011713544525374e-05,4.4990493037624737e-08,3,0.0010697579391253326
output_clip_01,26,5.145759456721648e-05,5.135108559632931e-05,1.0650897088716966e-07,2,0.002069839676396836
output_clip_01,28,2.7665113765190543e-05,2.754808983448002e-05,1.1702393071053114e-07,3,0.00423001805464357
output_clip_01,23,1.7479129542319654e-05,1.7277356799504883e-05,2.0177274281477378e-07,4,0.011543637932669834
output_clip_01,43,4.7187848718365085e-05,4.692919028158258e-05,2.586584367825077e-07,4,0.005481462787724757
output_clip_01,22,4.225800878706581e-05,4.1784530353724396e-05,4.73478433341412e-07,4,0.011204466252236998
output_clip_01,27,0.0001030818458088,0.00010240725334605999,6.745924627441673e-07,4,0.006544241204132818
output_clip_01,37,6.281871428593947e-05,6.212626145572519e-05,6.924528302142894e-07,5,0.011023034108313064
raw,2,0.00020217102897752,0.00020789489102750002,-5.723862050001529e-06,0,-0.028311979609187608
raw,7,0.00118129511523916,0.0011847601756961,-3.4650604569632423e-06,2,-0.0029332724839368518
raw,25,0.00046647238416788,0.00046915835800982004,-2.6859738419474827e-06,0,-0.005758055424291443
raw,36,0.00013093696041032002,0.00013230249696314001,-1.3655365527794506e-06,0,-0.010428961757938953
raw,41,5.02727374200725e-05,5.047383637488095e-05,-2.0109895480845487e-07,0,-0.004000159233981935
raw,4,1.0611158296886965e-05,1.0681820385394856e-05,-7.066208850789083e-08,1,-0.006659224801935264
raw,38,0.00015574548676566,0.00015579325432792,-4.7767562250838134e-08,2,-0.0003067027061391608
raw,3,4.2076060635935585e-05,4.2011713544525374e-05,6.434709141020658e-08,3,0.001529304084975441
raw,26,5.147500185379299e-05,5.135108559632931e-05,1.2391625746367967e-07,3,0.002407309431782904
raw,42,0.00011805024992945999,0.00011791145643342001,1.387934960156705e-07,4,0.00117571539342711
raw,28,2.7716874852124433e-05,2.754808983448002e-05,1.6878501764442044e-07,4,0.00608961214223895
raw,23,1.7595565319849404e-05,1.7277356799504883e-05,3.182085203445235e-07,5,0.0180845863466264
raw,43,4.730292426979028e-05,4.692919028158258e-05,3.737339882077027e-07,5,0.007900864354096268
raw,22,4.228270202820868e-05,4.1784530353724396e-05,4.981716744842783e-07,4,0.011781926191753982
raw,27,0.00010310388002372,0.00010240725334605999,6.966266776600282e-07,4,0.006756551523567725
raw,37,6.299814890850016e-05,6.212626145572519e-05,8.71887452774973e-07,5,0.013839890026631154
