variant,seed,company,NET_mse_path,NET_mse_1h,NET_mse_6h,NET_mse_24h,NET_out_of_bounds_fraction,ASYM_mse_path,ASYM_mse_1h,ASYM_mse_6h,ASYM_mse_24h,ASYM_out_of_bounds_fraction,delta_mse_path,delta_mse_1h,delta_mse_6h,delta_mse_24h,delta_out_of_bounds_fraction
raw,5101.0,2,0.0002013965003238313,0.00011819221633264384,0.000194860176019727,0.00022006241742005418,0.002902646337188924,0.00020465714342492535,0.0001282346154559284,0.0001963756790822179,0.0002223836317185982,0.0,-3.2606431010940445e-06,-1.0042399123284562e-05,-1.515503062490917e-06,-2.321214298544032e-06,0.002902646337188924
raw,5101.0,3,4.127965332814825e-05,3.516394195420504e-05,4.115563581023892e-05,4.25133268709224e-05,0.010904092183666315,4.1865241664139214e-05,3.768674458349866e-05,4.1536381738607525e-05,4.2737557251797645e-05,0.0,-5.855883359909638e-07,-2.522802629293622e-06,-3.8074592836860604e-07,-2.2423038087524168e-07,0.010904092183666315
raw,5101.0,4,1.0477716516205338e-05,8.0253170226774e-06,1.0339694835935925e-05,1.128954637134231e-05,0.1961860322467578,1.0547828640295421e-05,8.578020022272695e-06,1.0235821918294864e-05,1.0978748490192266e-05,0.0,-7.011212409008355e-08,-5.52702999595295e-07,1.0387291764106067e-07,3.1079788115004415e-07,0.1961860322467578
raw,5101.0,7,0.0011878365190309157,0.0007166617957700444,0.0012106322235458456,0.0012252040388295788,0.0784152646337189,0.0011821520636643283,0.0007110555139440594,0.0012244209709452235,0.0012142682040849953,0.0,5.684455366587477e-06,5.60628182598498e-06,-1.3788747399377885e-05,1.0935834744583463e-05,0.0784152646337189
raw,5101.0,22,4.154097399076888e-05,3.409021380355126e-05,4.222471112618587e-05,3.9934875762031484e-05,0.06317637136347704,4.184987681713642e-05,3.491348991100068e-05,4.277698878592599e-05,4.013781160080037e-05,0.0,-3.0890282636753734e-07,-8.232761074494197e-07,-5.522776597401206e-07,-2.0293583876888736e-07,0.06317637136347704
raw,5101.0,23,1.7324191165104578e-05,9.880929023225911e-06,1.7078169895387928e-05,1.8603973115301763e-05,0.2868006265334735,1.7248341597121678e-05,1.0099335753841402e-05,1.700545772466701e-05,1.8214704027303326e-05,0.0,7.584956798290052e-08,-2.1840673061549136e-07,7.271217072091657e-08,3.8926908799843756e-07,0.2868006265334735
raw,5101.0,25,0.0004668479378709018,0.00032177251085031464,0.000466539611829693,0.0004784635002795561,0.005679328776726253,0.0004707377350196056,0.0003524239385684247,0.000470429796364389,0.00048186564667852924,0.0,-3.889797148703793e-06,-3.0651427718110036e-05,-3.890184534696001e-06,-3.4021463989731366e-06,0.005679328776726253
raw,5101.0,26,5.1021206948764953e-05,2.7273115546614294e-05,4.9249426005655017e-05,5.574593469216821e-05,0.008078119523308797,5.109256301822259e-05,2.7727992155762973e-05,4.967598153576691e-05,5.540605620389265e-05,0.0,-7.135606945763714e-08,-4.548766091486795e-07,-4.2655553011189444e-07,3.398784882755574e-07,0.008078119523308797
raw,5101.0,27,0.00010367865893887085,4.737379263870638e-05,9.659262220623131e-05,0.00011838490623273166,0.08966986505432878,0.00010184457458359049,4.641175123390943e-05,9.511685254723584e-05,0.0001164956558685407,0.0,1.8340843552803663e-06,9.620414047969514e-07,1.4757696589954672e-06,1.8892503641909625e-06,0.08966986505432878
raw,5101.0,28,2.759022992256988e-05,1.5085964724632086e-05,2.5454836834472225e-05,3.1371140004085793e-05,0.17508160269891343,2.7476945601474888e-05,1.4944551613877112e-05,2.5491592759876286e-05,3.135733889683307e-05,0.0,1.132843210949918e-07,1.414131107549744e-07,-3.675592540406045e-08,1.3801107252720403e-08,0.17508160269891343
raw,5101.0,36,0.0001306420302131665,6.273367578600693e-05,0.00013005202515053594,0.000141668920490205,0.00521928671573782,0.00013262875494196845,6.209297913467064e-05,0.00013412677615878916,0.00014171332846742399,0.0,-1.9867247288019453e-06,6.406966513362893e-07,-4.074751008253214e-06,-4.440797721899908e-08,0.00521928671573782
raw,5101.0,37,6.242724678655989e-05,6.237589767545873e-05,6.2744680352614e-05,6.205756610549751e-05,0.13680500788643535,6.215503345419969e-05,6.200957678436449e-05,6.268731878006772e-05,6.148110344039457e-05,0.0,2.722133323602001e-07,3.6632089109424413e-07,5.736157254627994e-08,5.764626651029415e-07,0.13680500788643535
raw,5101.0,38,0.00015529958567573967,0.00013534393835059054,0.0001539171005485912,0.0001607005028401624,0.02463141868208903,0.00015496468655084317,0.0001382455179442304,0.00015310703194816523,0.00015954851995013947,0.0,3.3489912489649857e-07,-2.9015795936398515e-06,8.100686004259726e-07,1.1519828900229145e-06,0.02463141868208903
raw,5101.0,41,4.999616637741904e-05,2.908461509706389e-05,4.8649456969801606e-05,5.488381652022428e-05,0.05251599193831055,5.016969110455216e-05,2.995854672919528e-05,4.90794451271968e-05,5.447935245156228e-05,0.0,-1.735247271331228e-07,-8.739316321313881e-07,-4.299881573951962e-07,4.044640686620026e-07,0.05251599193831055
raw,5101.0,42,0.00011762002338123105,8.256294937067481e-05,0.00012005767892977424,0.00011638132861095286,0.03609139502278304,0.00011794030969898227,8.481000071736402e-05,0.00012078014764861427,0.0001158572877217329,0.0,-3.202863177512161e-07,-2.24705134668921e-06,-7.224687188400378e-07,5.240408892199583e-07,0.03609139502278304
raw,5101.0,43,4.7082172504402094e-05,3.531797751255728e-05,4.7791541681986955e-05,4.711980719577432e-05,0.3087648966000701,4.698251736271094e-05,3.743056480324261e-05,4.7781134660417205e-05,4.702465039194994e-05,0.0,9.965514169115505e-08,-2.112587290685331e-06,1.0407021569749822e-08,9.515680382437869e-08,0.3087648966000701
raw,5102.0,2,0.00020218579754451704,0.0001226193518405292,0.00019466313601165764,0.00022027421544995265,0.000813288643533123,0.00020295758723578146,0.00012775448673636895,0.0001943574950748007,0.0002228667046893249,0.0,-7.717896912644165e-07,-5.135134895839749e-06,3.056409368569512e-07,-2.592489239372259e-06,0.000813288643533123
raw,5102.0,3,4.210381994810033e-05,3.7226693293544284e-05,4.195044260392686e-05,4.3013648925975336e-05,0.003795347003154574,4.162497138895904e-05,3.7050802188607166e-05,4.1171229670561496e-05,4.2991899532473914e-05,0.0,4.78848559141286e-07,1.7589110493711766e-07,7.792129333653646e-07,2.174939350142155e-08,0.003795347003154574
raw,5102.0,4,1.0467932529652746e-05,8.455715675768063e-06,1.0432550346049597e-05,1.1301545317253326e-05,0.06397596827900456,1.0478375467554407e-05,8.340065132502871e-06,1.0135738332749723e-05,1.1181057400093027e-05,0.0,-1.0442937901661642e-08,1.156505432651919e-07,2.9681201329987393e-07,1.204879171602985e-07,0.06397596827900456
raw,5102.0,7,0.0011794579067805077,0.0006783571913054553,0.0012081604847665754,0.001221833530658886,0.05293222046968104,0.0011812907393957143,0.0007083500499444619,0.0012204140158571402,0.0012200543330940416,0.0,-1.832832615206604e-06,-2.9992858639006637e-05,-1.2253531090564802e-05,1.7791975648444053e-06,0.05293222046968104
raw,5102.0,22,4.231026577165549e-05,3.5543822992269415e-05,4.294750526638774e-05,4.0527886818638855e-05,0.016041228531370487,4.1708169757900975e-05,3.4344881926461183e-05,4.2358981041497256e-05,4.0211615182511674e-05,0.0,6.020960137545153e-07,1.198941065808231e-06,5.885242248904817e-07,3.16271636127181e-07,0.016041228531370487
raw,5102.0,23,1.723607277015476e-05,9.96740426410852e-06,1.7203153483263836e-05,1.8618260671454237e-05,0.07674487381703471,1.7191356839741924e-05,1.0150404665244194e-05,1.6911029371872225e-05,1.8314684910860487e-05,0.0,4.471593041283512e-08,-1.830004011356742e-07,2.921241113916113e-07,3.0357576059374987e-07,0.07674487381703471
raw,5102.0,25,0.0004674470264365511,0.0003285911317069294,0.0004618344372953239,0.0004803723960903185,0.005493121275849982,0.00046949534723003276,0.00034030880312957824,0.0004695540422567506,0.0004808012175388579,0.0,-2.0483207934816677e-06,-1.1717671422648826e-05,-7.71960496142671e-06,-4.2882144853941505e-07,0.005493121275849982
raw,5102.0,26,5.1081011835206244e-05,2.7108111733948444e-05,4.939584748341242e-05,5.6146033912319744e-05,0.005197379950928847,5.121451085077544e-05,2.745218467818362e-05,4.952089468925993e-05,5.591518017246509e-05,0.0,-1.3349901556919597e-07,-3.4407294423517777e-07,-1.2504720584751035e-07,2.3085373985465263e-07,0.005197379950928847
raw,5102.0,27,0.00010125385121947937,4.602804886945422e-05,9.291507653963337e-05,0.00011696664720057547,0.022103925692253768,0.00010247868899472487,4.6402908328753746e-05,9.62825093893683e-05,0.00011652211840514208,0.0,-1.224837775245499e-06,-3.748594592995261e-07,-3.3674328497349334e-06,4.4452879543339637e-07,0.022103925692253768
raw,5102.0,28,2.7325787511863412e-05,1.532028030346005e-05,2.4879797581184844e-05,3.1458993735750876e-05,0.053003417455310196,2.7546537043555267e-05,1.4910980421032103e-05,2.5668574818631413e-05,3.119103352940158e-05,0.0,-2.2074953169185445e-07,4.092998824279488e-07,-7.887772374465696e-07,2.6796020634929657e-07,0.053003417455310196
raw,5102.0,36,0.00013094010182079796,6.179196136812231e-05,0.00012999160223886773,0.00014260571230882753,0.005865536277602524,0.00013157642352307653,6.158219733739813e-05,0.00013204194043005024,0.00014261233046267006,0.0,-6.363217022785708e-07,2.0976403072418294e-07,-2.0503381911825193e-06,-6.618153842525209e-09,0.005865536277602524
raw,5102.0,37,6.304231584170717e-05,6.767042330997997e-05,6.311019943031567e-05,6.242644162168772e-05,0.03754819488257974,6.192704382713088e-05,5.952126208253326e-05,6.244191655119214e-05,6.153699294937966e-05,0.0,1.1152720145762878e-06,8.14916122744671e-06,6.682828791235282e-07,8.894486723080581e-07,0.03754819488257974
raw,5102.0,38,0.0001554858234687104,0.0001436063329240844,0.00015299673137094354,0.000160391644373344,0.013595885909568874,0.0001555765724936055,0.0001392267077335862,0.000154129055565392,0.00015966410250576484,0.0,-9.074902489509423e-08,4.379625190498214e-06,-1.1323241944484561e-06,7.275418675791628e-07,0.013595885909568874
raw,5102.0,41,4.9947674310643674e-05,2.976281317941897e-05,4.865480606843915e-05,5.465939539908123e-05,0.017755432877672624,5.011033054477466e-05,2.9875693478458764e-05,4.892991183334187e-05,5.456141126904696e-05,0.0,-1.6265623413098306e-07,-1.1288029903979362e-07,-2.7510576490272226e-07,9.798413003426966e-08,0.017755432877672624
raw,5102.0,42,0.00011830175997572678,8.24534660187425e-05,0.00012079310358219861,0.00011712951225138044,0.014086049772169646,0.00011801106689533009,8.6581591407306e-05,0.00012076173854634591,0.00011586913713160365,0.0,2.9069308039668916e-07,-4.128125388563504e-06,3.136503585270101e-08,1.2603751197767918e-06,0.014086049772169646
raw,5102.0,43,4.710800893809e-05,3.643462816821893e-05,4.767774098607869e-05,4.737316114446315e-05,0.04987075008762706,4.686971859735247e-05,3.6843368408851826e-05,4.7564800950266215e-05,4.6857097249866026e-05,0.0,2.382903407375294e-07,-4.087402406328965e-07,1.129400358124781e-07,5.160638945971257e-07,0.04987075008762706
raw,5103.0,2,0.00020247467218232728,0.00012168716830024356,0.0001942934658146715,0.0002231055571655843,0.00015060900806168945,0.00022308925559887019,0.0001280060172497549,0.00021611462104154832,0.00024626780593599057,0.0,-2.0614583416542903e-05,-6.318848949511346e-06,-2.182115522687681e-05,-2.316224877040626e-05,0.00015060900806168945
raw,5103.0,3,4.2763088024200996e-05,3.677968623351595e-05,4.2239731429377094e-05,4.4464232959333884e-05,0.0014677532422011916,4.3875964581721337e-05,3.752306575684389e-05,4.430651194419267e-05,4.562896280012709e-05,0.0,-1.1128765575203403e-06,-7.433795233279422e-07,-2.066780514815577e-06,-1.1647298407932064e-06,0.0014677532422011916
raw,5103.0,4,1.0879336814051835e-05,8.250783202720139e-06,1.0279602950218605e-05,1.1513327772043144e-05,0.0034640071854188576,1.141732451550491e-05,8.622642223708157e-06,1.2273809381168562e-05,1.2224842820352936e-05,0.0,-5.379877014530745e-07,-3.7185902098801797e-07,-1.994206430949957e-06,-7.115150483097915e-07,0.0034640071854188576
raw,5103.0,7,0.0011793486335065194,0.0006820343413145046,0.0012054694455789464,0.0012191858161637705,0.0013417893445495969,0.0011997639145593984,0.0008240673197566393,0.001230728846880997,0.0012384196293560947,0.0,-2.0415281052879077e-05,-0.00014203297844213466,-2.5259401302050533e-05,-1.9233813192324253e-05,0.0013417893445495969
raw,5103.0,22,4.299469257176986e-05,3.512209734736395e-05,4.354200754543414e-05,4.157262245110535e-05,0.003510559060637925,4.257971872781159e-05,3.467375159086189e-05,4.3689875863620476e-05,4.1515040669387344e-05,0.0,4.149738439582733e-07,4.483457565020559e-07,-1.4786831818633915e-07,5.758178171800523e-08,0.003510559060637925
raw,5103.0,23,1.7983972659319387e-05,9.873912950094743e-06,1.738870500686994e-05,1.8913715189338534e-05,0.14404793200140203,1.7700752808664103e-05,1.0224109105281835e-05,1.7990689013881214e-05,1.895098136253568e-05,0.0,2.832198506552832e-07,-3.501961551870928e-07,-6.019840070112728e-07,-3.726617319714401e-08,0.14404793200140203
raw,5103.0,25,0.0004650721993752789,0.0003266827866574896,0.00046430459971978833,0.00047863332877194295,0.002932768138801262,0.00046587387450319566,0.0003392560643774624,0.0004636193126159921,0.0004800921916921002,0.0,-8.016751279167687e-07,-1.2573277719972822e-05,6.852871037962469e-07,-1.4588629201572304e-06,0.002932768138801262
raw,5103.0,26,5.219189724534841e-05,2.703583768312632e-05,5.045093689564908e-05,5.620589533601852e-05,0.0027657290571328425,5.2137630324915587e-05,2.7593877461779646e-05,5.094246400470214e-05,5.787258885286309e-05,0.0,5.426692043282189e-08,-5.580397786533263e-07,-4.915271090530601e-07,-1.6666935168445658e-06,0.0027657290571328425
raw,5103.0,27,0.00010403256688000528,4.6260791343327944e-05,9.646350135771435e-05,0.00011931616735336479,0.03803562039957939,0.00010289375791420547,4.610754552519653e-05,9.544176965763616e-05,0.000118735945575289,0.0,1.1388089657998128e-06,1.5324581813141086e-07,1.021731700078188e-06,5.802217780757874e-07,0.03803562039957939
raw,5103.0,28,2.8236240629340677e-05,1.5307210240630143e-05,2.575768570710079e-05,3.2071033796756645e-05,0.03948694356817385,2.7409571005218285e-05,1.4924199752572281e-05,2.556885350007422e-05,3.129616156718718e-05,0.0,8.26669624122392e-07,3.83010488057862e-07,1.8883220702656998e-07,7.748722295694644e-07,0.03948694356817385
raw,5103.0,36,0.0001317471909181655,6.156933250074502e-05,0.0001300605324420138,0.00014289302153685485,0.0009365141955835962,0.00013293415594450058,6.268297547260792e-05,0.00013295140578478912,0.00014547865898695,0.0,-1.1869650263350725e-06,-1.1136429718629004e-06,-2.890873342775317e-06,-2.58563745009514e-06,0.0009365141955835962
raw,5103.0,37,6.328237158451772e-05,6.651557578744201e-05,6.308258622927362e-05,6.224101772984736e-05,0.03683074833508587,6.262894647956547e-05,6.126043694348392e-05,6.337791854138904e-05,6.245053922750465e-05,0.0,6.534251049522522e-07,5.255138843958089e-06,-2.9533231211541656e-07,-2.0952149765728382e-07,0.03683074833508587
raw,5103.0,38,0.0001560470529221455,0.0001419624796046171,0.00015358925933648567,0.00016132269754622536,0.0031764808973010865,0.00015697228134591175,0.0001384828046256526,0.00015572048325289433,0.00016238172709974656,0.0,-9.252284237662391e-07,3.4796749789644838e-06,-2.1312239164086595e-06,-1.0590295535212017e-06,0.0031764808973010865
raw,5103.0,41,5.0778467254828356e-05,2.9644092553308367e-05,4.912158306807197e-05,5.530773932922688e-05,0.039591000701016475,5.116614412551783e-05,3.0215382528944628e-05,5.058395379243611e-05,5.555948683728252e-05,0.0,-3.8767687068947705e-07,-5.712899756362612e-07,-1.4623707243641376e-06,-2.5174750805563866e-07,0.039591000701016475
raw,5103.0,42,0.00011842888546920074,8.210412409062281e-05,0.0001209362797814217,0.00011701487439904165,0.009584209603925692,0.0001178305517044619,8.466841742823108e-05,0.00012081881519269942,0.00011648905584179506,0.0,5.983337647388388e-07,-2.5642933376082705e-06,1.174645887222828e-07,5.258185572465878e-07,0.009584209603925692
raw,5103.0,43,4.760857227151609e-05,3.596909648109785e-05,4.830809361697561e-05,4.749733545605422e-05,0.08877168769716089,4.701499124574574e-05,3.67022970317978e-05,4.793553175396614e-05,4.697630072058059e-05,0.0,5.935810257703559e-07,-7.332005506999496e-07,3.725618630094697e-07,5.210347354736296e-07,0.08877168769716089
raw,5104.0,2,0.0002028952196520896,0.00011960945499792124,0.00019421597202825478,0.00022358298201196743,0.0006489879074658254,0.00020526772382801356,0.00012677000376744806,0.00019880971618359652,0.0002250946810495585,0.0,-2.3725041759239615e-06,-7.160548769526815e-06,-4.593744155341733e-06,-1.5116990375910698e-06,0.0006489879074658254
raw,5104.0,3,4.214349334520509e-05,3.5946652514417354e-05,4.158797614577226e-05,4.34495779115639e-05,0.023117113564668768,4.1376641363450045e-05,3.67520601320985e-05,4.129262394801371e-05,4.252361519869223e-05,0.0,7.668519817550422e-07,-8.054076176811483e-07,2.9535219775855007e-07,9.259627128716701e-07,0.023117113564668768
raw,5104.0,4,1.08589615749056e-05,8.16648040180777e-06,1.06342558152903e-05,1.1138532140880068e-05,0.04431464686295128,1.0450163069712725e-05,8.315598911532965e-06,1.0323576487178284e-05,1.1049272683086457e-05,0.0,4.0879850519287553e-07,-1.4911850972519413e-07,3.1067932811201653e-07,8.925945779361051e-08,0.04431464686295128
raw,5104.0,7,0.001182017159238771,0.000692161410163733,0.001207327783843324,0.0012204394621797335,0.0039486943568173855,0.0011867392026712596,0.0008687317889597988,0.0012057423915030016,0.0012155105132307042,0.0,-4.722043432488481e-06,-0.00017657037879606583,1.5853923403224678e-06,4.928948949029345e-06,0.0039486943568173855
raw,5104.0,22,4.2353964438178115e-05,3.449443129734385e-05,4.3184951072176565e-05,4.078033414137959e-05,0.04738707062740974,4.1394021892116636e-05,3.429944884026459e-05,4.2247116098828214e-05,3.962155939664284e-05,0.0,9.599425460614792e-07,1.9498245707926453e-07,9.37834973348351e-07,1.1587747447367532e-06,0.04738707062740974
raw,5104.0,23,1.7944787568542727e-05,9.91942649386259e-06,1.7779701955121603e-05,1.8782118264187164e-05,0.16226066859446198,1.7050454161747334e-05,1.0247342342405201e-05,1.6920315915854563e-05,1.799661468488009e-05,0.0,8.943334067953922e-07,-3.2791584854261075e-07,8.593860392670403e-07,7.855035793070756e-07,0.16226066859446198
raw,5104.0,25,0.0004653890764197541,0.0003240049729975068,0.00046665148973476565,0.0004792453204030497,0.0036228312302839117,0.0004711347003375603,0.00033281021209788803,0.0004702779895953404,0.00048382063907426414,0.0,-5.74562391780618e-06,-8.805239100381226e-06,-3.6264998605747617e-06,-4.57531867121446e-06,0.0036228312302839117
raw,5104.0,26,5.197870116043785e-05,2.7215958283349214e-05,5.0922107052808266e-05,5.6478212895742306e-05,0.012158254468980022,5.1230816247329265e-05,2.7869140260189738e-05,4.9798686759975426e-05,5.564976207621727e-05,0.0,7.478849131085878e-07,-6.531819768405233e-07,1.1234202928328405e-06,8.284508195250344e-07,0.012158254468980022
raw,5104.0,27,0.00010430263437783682,4.711023900023377e-05,9.761233622178303e-05,0.00012040871305614762,0.05852939887837364,0.00010352833016922452,4.6299888466764676e-05,9.745109636934915e-05,0.00011783444617174504,0.0,7.743042086122968e-07,8.103505334690935e-07,1.6123985243388116e-07,2.5742668844025776e-06,0.05852939887837364
raw,5104.0,28,2.7985631552947025e-05,1.5332542806057475e-05,2.6170156067803973e-05,3.174806094604374e-05,0.11476954083420961,2.7897960905252517e-05,1.5108239010692328e-05,2.6107067097417377e-05,3.151401103138469e-05,0.0,8.767064769450768e-08,2.2430379536514745e-07,6.308897038659588e-08,2.3404991465904692e-07,0.11476954083420961
raw,5104.0,36,0.00013112640525558342,6.20109105925993e-05,0.0001301439107446016,0.00014202886386961442,0.002448080967402734,0.00013231393242033255,6.222340126599873e-05,0.00013428628429214097,0.00014236954417778494,0.0,-1.1875271647491235e-06,-2.124906733994307e-07,-4.142373547539365e-06,-3.4068030817051547e-07,0.002448080967402734
raw,5104.0,37,6.323949924056012e-05,6.42492412521336e-05,6.36378614932017e-05,6.24972556439304e-05,0.10771282422011919,6.200619048840553e-05,5.656089880003113e-05,6.292316866495905e-05,6.155088904263737e-05,0.0,1.233308752154587e-06,7.688342452102474e-06,7.146928282426461e-07,9.463666012930381e-07,0.10771282422011919
raw,5104.0,38,0.00015617982186403996,0.00013819265867898883,0.00015428546572745608,0.00016141166825930377,0.005846367858394672,0.00015645930574392818,0.0001382392373149436,0.00015532088959115337,0.00016008664000027802,0.0,-2.794838798882268e-07,-4.6578635954763054e-08,-1.0354238636972937e-06,1.3250282590257533e-06,0.005846367858394672
raw,5104.0,41,5.054343304720098e-05,2.9235891080892396e-05,4.907193822522148e-05,5.555254870906796e-05,0.04593300911321416,5.05626335704729e-05,3.0326353218577485e-05,4.9237886633964405e-05,5.491348343912878e-05,0.0,-1.920052327192474e-08,-1.0904621376850889e-06,-1.6594840874292733e-07,6.390652699391847e-07,0.04593300911321416
raw,5104.0,42,0.00011791520195555784,8.211131755143082e-05,0.0001207261525699992,0.00011699004459665772,0.0433425341745531,0.00011787974882187305,8.323028606048003e-05,0.00012076781012978908,0.00011622495783762497,0.0,3.545313368478553e-08,-1.1189685090492166e-06,-4.165755978987077e-08,7.650867590327484e-07,0.0433425341745531
raw,5104.0,43,4.748011885030504e-05,3.559048432047939e-05,4.848438748991459e-05,4.765229480881739e-05,0.15985366281107605,4.7001943595894305e-05,3.660915885210309e-05,4.777207860988453e-05,4.709692015685177e-05,0.0,4.781752544107332e-07,-1.0186745316237018e-06,7.123088800300629e-07,5.55374651965617e-07,0.15985366281107605
raw,5105.0,2,0.00020190295518500683,0.00012239963332188748,0.00019552771000219031,0.00022071839718542947,0.0007420916579039608,0.00020350274505018915,0.00012348185682516116,0.00019569130798569183,0.00022323724417224096,0.0,-1.5997898651823165e-06,-1.082223503273683e-06,-1.6359798350152016e-07,-2.5188469868114892e-06,0.0007420916579039608
raw,5105.0,3,4.209024853402327e-05,3.702727864737058e-05,4.183827943526641e-05,4.3152636958263175e-05,0.005361680686996145,4.131574872435726e-05,3.589186429635252e-05,4.123892284421308e-05,4.2448044851679646e-05,0.0,7.744998096660089e-07,1.135414351018064e-06,5.993565910533287e-07,7.045921065835294e-07,0.005361680686996145
raw,5105.0,4,1.0371844049619305e-05,8.431964607635439e-06,1.0325375152566246e-05,1.1221212591688702e-05,0.08236943568173853,1.0515410233906815e-05,8.002743508455303e-06,1.0516635649321979e-05,1.0961691031988574e-05,0.0,-1.4356618428751002e-07,4.292210991801364e-07,-1.91260496755733e-07,2.5952155970012755e-07,0.08236943568173853
raw,5105.0,7,0.0011778153576392585,0.0006798000551339703,0.0012064514090671138,0.001218442451829276,0.004468980021030494,0.001173854958190088,0.0006935857871677464,0.001209057261010631,0.0012151560098196525,0.0,3.960399449170473e-06,-1.3785732033776035e-05,-2.605851943517177e-06,3.286442009623478e-06,0.004468980021030494
raw,5105.0,22,4.221361336867103e-05,3.5344171052790034e-05,4.283694968331469e-05,4.069077037516826e-05,0.015701673676831403,4.139086457365637e-05,3.3815558436128896e-05,4.2246058673700584e-05,3.984980656007368e-05,0.0,8.227487950146611e-07,1.5286126166611381e-06,5.908910096141053e-07,8.409638150945803e-07,0.015701673676831403
raw,5105.0,23,1.7488802436125575e-05,9.943809002528853e-06,1.7265461031928977e-05,1.8909083941903258e-05,0.12315435506484403,1.719587859024937e-05,1.0243208683711458e-05,1.7139866199749412e-05,1.8139732125040412e-05,0.0,2.9292384587620664e-07,-2.993996811826051e-07,1.2559483217956506e-07,7.693518168628457e-07,0.12315435506484403
raw,5105.0,25,0.0004676056807371515,0.0003303562140976314,0.0004646533007473564,0.00048137908248263616,0.006070912197686646,0.0004685501329589805,0.00032265733961679406,0.0004713568962174811,0.0004816554414785329,0.0,-9.444522218290041e-07,7.698874480837345e-06,-6.7035954701247e-06,-2.763589958967665e-07,0.006070912197686646
raw,5105.0,26,5.110219207920747e-05,2.694675128616835e-05,4.937821828259843e-05,5.598157773438608e-05,0.020581405538030145,5.107990754040365e-05,2.832424695900663e-05,4.967611722672358e-05,5.5600280610486795e-05,0.0,2.2284538803821782e-08,-1.3774956728382783e-06,-2.978989441251463e-07,3.812971238992846e-07,0.020581405538030145
