variant,company,NET_mse_path,NET_mse_1h,NET_mse_6h,NET_mse_24h,NET_out_of_bounds_fraction,ASYM_mse_path,ASYM_mse_1h,ASYM_mse_6h,ASYM_mse_24h,ASYM_out_of_bounds_fraction,delta_mse_path,delta_mse_1h,delta_mse_6h,delta_mse_24h,delta_out_of_bounds_fraction
output_clip_01,2,0.0002021519898886388,0.00012089903198340061,0.00019469795799947673,0.00022151451815705298,0.0,0.00020789489102755596,0.0001268493960069323,0.00020026976387357105,0.00022797001351314265,0.0,-5.742901138917162e-06,-5.950364023531678e-06,-5.571805874094344e-06,-6.455495356089651e-06,0.0
output_clip_01,3,4.2056704037563e-05,3.642652719309236e-05,4.1736274537165504e-05,4.328861001488204e-05,0.0,4.2011713544525374e-05,3.698090739148015e-05,4.19091340291177e-05,4.326601592695411e-05,0.0,4.4990493037624737e-08,-5.543801983877851e-07,-1.7285949195219382e-07,2.2594087927934594e-08,0.0
output_clip_01,4,1.0562726992686974e-05,8.260550494483428e-06,1.0348686392748205e-05,1.123181607989913e-05,0.0,1.0681820385394856e-05,8.371813959694398e-06,1.0697116353742682e-05,1.1279122485142652e-05,0.0,-1.1909339270788137e-07,-1.1126346521096933e-07,-3.484299609944773e-07,-4.7306405243520404e-08,0.0
output_clip_01,7,0.001179806838771218,0.0006897869247566818,0.0012067848072263693,0.0012191501104348982,0.0,0.0011847601756961577,0.0007611580919545412,0.0012180726972393985,0.0012206817379170978,0.0,-4.953336924939716e-06,-7.13711671978594e-05,-1.1287890013029393e-05,-1.5316274821996351e-06,0.0
output_clip_01,22,4.225800878706581e-05,3.491707726537523e-05,4.2918808049824275e-05,4.0678273483733936e-05,0.0,4.1784530353724396e-05,3.440942614094345e-05,4.2663804092714506e-05,4.026716668188318e-05,0.0,4.73478433341412e-07,5.076511244317771e-07,2.5500395710977357e-07,4.1110680185075626e-07,0.0
output_clip_01,23,1.7479129542319654e-05,9.906678306629469e-06,1.725098820626373e-05,1.8636255062956408e-05,0.0,1.7277356799504883e-05,1.0192880110096818e-05,1.7193471645204882e-05,1.8323343422123998e-05,0.0,2.0177274281477378e-07,-2.8620180346734967e-07,5.751656105884418e-08,3.129116408324098e-07,0.0
output_clip_01,25,0.00046611872954220883,0.00032626805295992264,0.00046463714095861615,0.00047905972203063086,0.0,0.00046915835800987496,0.0003374912715580295,0.0004690476074099907,0.0004816470272924569,0.0,-3.0396284676661394e-06,-1.122321859810684e-05,-4.410466451374459e-06,-2.5873052618260593e-06,0.0
output_clip_01,26,5.145759456721648e-05,2.7114731162345324e-05,4.98632678883327e-05,5.609045106311985e-05,0.0,5.135108559632931e-05,2.7793488302984523e-05,4.992282884328559e-05,5.608877358318498e-05,0.0,1.0650897088716966e-07,-6.787571406391971e-07,-5.956095495289649e-08,1.6774799348778681e-09,0.0
output_clip_01,27,0.00010308184580884458,4.65746815436664e-05,9.553486138568806e-05,0.00011862811761681898,0.0,0.00010240725334610042,4.6217543538042125e-05,9.599540399695601e-05,0.00011700431910305544,0.0,6.745924627441673e-07,3.5713800562427805e-07,-4.6054261126794846e-07,1.6237985137635287e-06,0.0
output_clip_01,28,2.7665113765190543e-05,1.5283973751186278e-05,2.5418542906763924e-05,3.1577377872103195e-05,0.0,2.754808983448002e-05,1.4962836583874717e-05,2.569537611096467e-05,3.12785470578563e-05,0.0,1.1702393071053114e-07,3.2113716731156315e-07,-2.7683320420074056e-07,2.988308142468931e-07,0.0
output_clip_01,36,0.00013088350809538539,6.18792171003016e-05,0.00012976657520122757,0.00014217647413577718,0.0,0.00013230249696318178,6.249800877495251e-05,0.0001333193697666533,0.00014287801053253896,0.0,-1.4189888677963963e-06,-6.187916746509109e-07,-3.55279456542572e-06,-7.015363967617627e-07,0.0
output_clip_01,37,6.281871428593947e-05,6.57750555102209e-05,6.292729714245379e-05,6.21035100558466e-05,0.0,6.212626145572519e-05,5.94517103942484e-05,6.282568642240719e-05,6.169964358685389e-05,0.0,6.924528302142894e-07,6.323345115972501e-06,1.0161072004660386e-07,4.038664689927086e-07,0.0
output_clip_01,38,0.0001555950104204385,0.00014073267354135837,0.00015354513922254085,0.00016063570042616104,0.0,0.00015579325432795306,0.00013808001020387963,0.00015440914011102813,0.00016024500912038166,0.0,-1.9824390751453106e-07,2.6526633374787645e-06,-8.640008884872789e-07,3.906913057793895e-07,0.0
output_clip_01,41,5.02589010334253e-05,2.9510906524444595e-05,4.88170545699264e-05,5.506116692630368e-05,0.0,5.047383637488095e-05,3.011780015949726e-05,4.949638051614715e-05,5.472584221730076e-05,0.0,-2.149353414556554e-07,-6.068936350526645e-07,-6.793259462207593e-07,3.353247090029135e-07,0.0
output_clip_01,42,0.00011792269737101356,8.217662943824653e-05,0.00012052539053495374,0.00011671489907714725,0.0,0.0001179114564334725,8.550229318536678e-05,0.00012071340967724441,0.00011604647761215795,0.0,1.1240937541068794e-08,-3.325663747120246e-06,-1.880191422906825e-07,6.684214649893121e-07,0.0
output_clip_01,43,4.7187848718365085e-05,3.584920662814452e-05,4.791635699687798e-05,4.725768688118083e-05,0.0,4.692919028158258e-05,3.700633702598091e-05,4.768668937057939e-05,4.696371872784257e-05,0.0,2.586584367825077e-07,-1.1571303978363884e-06,2.296676262985911e-07,2.9396815333826335e-07,0.0
raw,2,0.00020217102897755442,0.00012090156495864505,0.00019471209197530025,0.0002215487138465976,0.0010515247108307045,0.00020789489102755596,0.0001268493960069323,0.00020026976387357105,0.00022797001351314265,0.0,-5.723862050001529e-06,-5.9478310482872314e-06,-5.557671898270805e-06,-6.421299666545022e-06,0.0010515247108307045
raw,3,4.2076060635935585e-05,3.642885052861064e-05,4.175441308491631e-05,4.331868472521174e-05,0.008929197336137399,4.2011713544525374e-05,3.698090739148015e-05,4.19091340291177e-05,4.326601592695411e-05,0.0,6.434709141020658e-08,-5.520568628695062e-07,-1.54720944201388e-07,5.26687982576346e-08,0.008929197336137399
raw,4,1.0611158296886965e-05,8.266052182121763e-06,1.0402295820012135e-05,1.1292832838641511e-05,0.07806201805117421,1.0681820385394856e-05,8.371813959694398e-06,1.0697116353742682e-05,1.1279122485142652e-05,0.0,-7.066208850789083e-08,-1.0576177757263575e-07,-2.948205337305478e-07,1.3710353498857833e-08,0.07806201805117421
raw,7,0.0011812951152391944,0.0006898029587375416,0.001207608269360361,0.001221021059932249,0.028221389765159484,0.0011847601756961577,0.0007611580919545412,0.0012180726972393985,0.0012206817379170978,0.0,-3.4650604569632423e-06,-7.135513321699963e-05,-1.0464427879037586e-05,3.3932201515128776e-07,0.028221389765159484
