gamma,law,n_per_scene,seed,calibration_delta_mean,calibration_delta_se,near_tie_abs_delta_below_2se,selected,test_selected,test_always_NET,test_always_ASYM,test_better_of_two,selected_equals_test_better
0.0,0,128,7201,1.629252673810792e-06,2.6762029325100907e-07,False,ASYM,0.00011617752230060924,0.00011790572953916027,0.00011617752230060924,0.00011617752230060924,True
0.0,0,128,7202,6.627780469633157e-07,8.934794686490584e-07,True,ASYM,0.00011611338512164427,0.00011690919345206604,0.00011611338512164427,0.00011611338512164427,True
0.0,0,128,7203,-1.133867947681703e-07,1.655008237412334e-07,True,NET,0.00011214356941036047,0.00011214356941036047,0.00011246213265033717,0.00011214356941036047,True
0.0,0,128,7204,-3.745431715884706e-07,3.5586299433564937e-07,True,NET,0.00011637171722699904,0.00011637171722699904,0.0001162902175168779,0.0001162902175168779,False
0.0,0,128,7205,3.5204232178287498e-06,5.611353463332522e-07,False,ASYM,0.00011400356083594489,0.00011683826247785145,0.00011400356083594489,0.00011400356083594489,True
0.0,1,128,7201,-1.5370537901423138e-05,2.1945044512045496e-06,False,NET,0.00036554703127789095,0.00036554703127789095,0.00038078545033259524,0.00036554703127789095,True
0.0,1,128,7202,2.6019460663088503e-06,1.208504269967816e-06,False,ASYM,0.00033495604164572617,0.0003387315585855458,0.00033495604164572617,0.00033495604164572617,True
0.0,1,128,7203,-1.4650809993336604e-06,2.1312232513251855e-06,True,NET,0.00040702992744857063,0.00040702992744857063,0.00041139083139828526,0.00040702992744857063,True
0.0,1,128,7204,-1.2901717939920825e-06,2.8109260241724784e-06,True,NET,0.00037783318097625785,0.00037783318097625785,0.0003812906897081656,0.00037783318097625785,True
0.0,1,128,7205,-6.010769237896341e-06,2.018356662912965e-06,False,NET,0.000396284084890139,0.000396284084890139,0.00040156609047454513,0.000396284084890139,True
0.0,2,128,7201,5.678279659804275e-06,9.455594203025022e-06,True,ASYM,0.0034139496765769953,0.0034002503206442512,0.0034139496765769953,0.0034002503206442512,False
0.0,2,128,7202,-3.6210785442728857e-06,1.644842416322311e-05,True,NET,0.0035049245159647067,0.0035049245159647067,0.0034766680536817266,0.0034766680536817266,False
0.0,2,128,7203,2.1907074126303883e-05,9.39709569351036e-06,False,ASYM,0.003358184432356129,0.0033678395258120697,0.003358184432356129,0.003358184432356129,True
0.0,2,128,7204,4.8766363012949414e-06,1.4726009918357325e-05,True,ASYM,0.0033654714887755652,0.0033510990205259258,0.0033654714887755652,0.0033510990205259258,False
0.0,2,128,7205,-8.367570446902542e-07,5.300427466745481e-06,True,NET,0.0032659293355835027,0.0032659293355835027,0.0032731417697396243,0.0032659293355835027,True
0.04,0,32,7201,-6.32558448880142e-07,6.937036581679435e-07,True,NET,0.00012323968123773165,0.00012323968123773165,0.00012474945445310664,0.00012323968123773165,True
0.04,0,32,7202,3.2010854245830465e-06,9.592936326756734e-07,False,ASYM,0.00012454497644011621,0.0001272106958777751,0.00012454497644011621,0.00012454497644011621,True
0.04,0,32,7203,1.991888632109825e-06,2.762162735729639e-07,False,ASYM,0.00012101661756994304,0.00012282440816134018,0.00012101661756994304,0.00012101661756994304,True
0.04,0,32,7204,6.588450923790863e-06,6.318071525765608e-07,False,ASYM,0.00012844070876935395,0.00013492123522655167,0.00012844070876935395,0.00012844070876935395,True
0.04,0,32,7205,-1.0120168501733435e-06,2.582391818242642e-07,False,NET,0.00011840757144270326,0.00011840757144270326,0.00011904585790841545,0.00011840757144270326,True
0.04,0,128,7201,2.876852856085558e-06,3.815245129612887e-07,False,ASYM,0.00012068626832085131,0.00012352402200561027,0.00012068626832085131,0.00012068626832085131,True
0.04,0,128,7202,3.856316377337521e-08,4.955444802104935e-07,True,ASYM,0.00012208815806843702,0.000122539852217409,0.00012208815806843702,0.00012208815806843702,True
0.04,0,128,7203,-6.569978543424781e-07,8.561132406106184e-07,True,NET,0.00012144763567090875,0.00012144763567090875,0.00012174896493803555,0.00012144763567090875,True
0.04,0,128,7204,3.887024854284012e-06,7.470950699874077e-07,False,ASYM,0.00012347754074185452,0.0001273999258553045,0.00012347754074185452,0.00012347754074185452,True
