gamma,law,n_per_scene,times_ASYM_selected,near_ties,test_selected,test_always_NET,test_always_ASYM,selection_matched_test_better
0.0,0,128,3,3,0.00011496195097911158,0.00011603369442128746,0.00011500936368508268,4
0.0,1,128,1,2,0.0003763300532477169,0.0003770851566356808,0.00038199782071186345,5
0.0,2,128,3,4,0.00338169188985138,0.003378008543706091,0.003377483084226008,2
0.04,0,32,3,1,0.00012312991109196964,0.00012532071838922037,0.00012355952302818706,5
0.04,0,128,4,2,0.00012103876317293587,0.00012271379078565618,0.00012109902902636123,5
0.04,0,512,2,2,0.0001212617813229814,0.00012148951548551944,0.00012290818446952927,5
0.04,1,32,2,2,0.00040107003233539045,0.00040308527202064946,0.00040204416843517656,5
0.04,1,128,3,2,0.0003968189660530291,0.0003983473101542949,0.0003973352521080673,4
0.04,1,512,4,3,0.0003951865852941311,0.00039742086679630563,0.0003960421381295718,5
0.04,2,32,4,1,0.0036185488305061956,0.0036446726865069974,0.0036173585139828617,4
0.04,2,128,3,3,0.003549435004139159,0.0035616782866090277,0.0035586432012586536,3
0.04,2,512,3,4,0.0035445917133630476,0.003554282101622516,0.003550213003915184,4
