gamma,law,c,rho,n_per_scene,actual_path_sd_mean_over_scenes,noise_variance_per_training_event_over_n,NET_test_path_mse,ASYM_test_path_mse,delta_test_mean,delta_test_sd_over_seeds,seeds_delta_test_positive,NET_vs_mu0_path_mse,ASYM_vs_mu0_path_mse,delta_vs_mu0_mean,delta_vs_mu0_sd_over_seeds,seeds_delta_vs_mu0_positive,exact_signflip_p_vs_mu0_over_seeds,delta_vs_mu0_scene4h_mean,delta_vs_mu0_scene8h_mean,delta_vs_mu0_scene12h_mean
0.0,0,0.03264817594231698,0.0014432783920691435,128,0.01062808474406108,8.82470197866749e-07,0.00011603369442128746,0.00011500936368508268,1.02433073620476e-06,1.2764601454532337e-06,4,2.9517283303303946e-06,2.0656029642584093e-06,8.861253660719851e-07,1.3114964815324687e-06,3,0.25,9.270464345900946e-07,4.2204496860326397e-07,1.309284695022598e-06
0.0,1,0.10792785435476689,0.0791513335275013,128,0.019323790443747418,2.917256852452063e-06,0.0003770851566356808,0.00038199782071186345,-4.912664076182633e-06,6.794557283335604e-06,1,4.3821957365228564e-06,1.0070654934166762e-05,-5.688459197643905e-06,7.924513589691745e-06,1,0.1875,4.887178516786884e-07,-6.513057222433668e-06,-1.1041038222176737e-05
0.0,2,0.971350689192902,0.970426517876544,128,0.05797137133124226,2.6255311672068567e-05,0.0033780085437060915,0.003377483084226008,5.254594800831528e-07,1.827927347490645e-05,2,3.605648986180089e-05,3.347163432225798e-05,2.5848555395429043e-06,1.2647336342804803e-05,2,0.6875,1.9630407715657006e-06,4.677926623322731e-06,1.1135992237402838e-06
0.04,0,0.03264817594231698,0.0014432783920691435,32,0.01093447751777684,3.7363374558364736e-06,0.00012532071838922037,0.00012355952302818706,1.7611953610333146e-06,3.144406517160465e-06,3,5.336758844362541e-06,3.3853671120667364e-06,1.9513917322958044e-06,3.0648258057820543e-06,3,0.25,7.772834114145703e-07,2.906107898064642e-06,2.1707838874082e-06
0.04,0,0.03264817594231698,0.0014432783920691435,128,0.01093447751777684,9.340843639591184e-07,0.00012271379078565618,0.00012109902902636123,1.614761759294943e-06,1.735567557205971e-06,4,2.5605628068255417e-06,1.0419514869568835e-06,1.5186113198686582e-06,1.741059305907005e-06,4,0.125,5.620682783127476e-07,5.360302764713162e-07,3.4577354048219104e-06
0.04,0,0.03264817594231698,0.0014432783920691435,512,0.01093447751777684,2.335210909897796e-07,0.00012148951548551944,0.00012290818446952925,-1.4186689840098283e-06,3.228709767605419e-06,2,1.5781587661387225e-06,2.588233752368644e-06,-1.0100749862299216e-06,2.922881538602817e-06,3,0.75,-1.1314777857115471e-06,2.923694231879619e-07,-2.1911165961661787e-06
0.04,1,0.10792785435476689,0.0791513335275013,32,0.01988086821413971,1.2351528779624707e-05,0.00040308527202064946,0.00040204416843517656,1.0411035854729117e-06,3.828750435672314e-06,2,9.350975724048655e-06,8.302268115566722e-06,1.0487076084819337e-06,3.785868617305715e-06,2,0.75,-2.184637126399548e-06,1.4741117152500662e-06,3.856648236595286e-06
0.04,1,0.10792785435476689,0.0791513335275013,128,0.01988086821413971,3.0878821949061767e-06,0.0003983473101542949,0.0003973352521080673,1.0120580462276408e-06,2.93635111506745e-06,2,4.013991034367596e-06,3.1707606047806823e-06,8.432304295869136e-07,2.6892795598526156e-06,2,0.75,8.051418472838164e-07,1.0586483195088338e-06,6.659011219680897e-07
0.04,1,0.10792785435476689,0.0791513335275013,512,0.01988086821413971,7.719705487265442e-07,0.00039742086679630574,0.0003960421381295718,1.378728666733887e-06,4.062428716953651e-06,4,3.249269870305885e-06,2.4862510499150675e-06,7.630188203908176e-07,3.7522554361926693e-06,3,0.6875,-3.0511055887995883e-07,1.133666048946374e-06,1.4605009711060372e-06
0.04,2,0.971350689192902,0.970426517876544,32,0.05964260464241913,0.00011116375901662236,0.0036446726865069965,0.0036173585139828617,2.7314172524135152e-05,1.7745017011519462e-05,5,0.00011511073526453037,8.598373514733689e-05,2.9127000117193484e-05,1.5296891228432868e-05,5,0.0625,3.301397835331844e-05,-1.8514386335106775e-07,5.455216586161306e-05
0.04,2,0.971350689192902,0.970426517876544,128,0.05964260464241913,2.779093975415559e-05,0.003561678286609027,0.0035586432012586536,3.035085350373834e-06,3.61788082999301e-05,3,3.015633463294634e-05,2.7918204354914964e-05,2.2381302780313713e-06,3.931491916384144e-05,4,0.625,-2.445722646130025e-06,-4.452669297030234e-06,1.361278277725437e-05
0.04,2,0.971350689192902,0.970426517876544,512,0.05964260464241913,6.9477349385388975e-06,0.003554282101622516,0.003550213003915184,4.069097707331843e-06,2.2431819823945305e-05,4,2.0441937281588263e-05,1.796811934930974e-05,2.473817932278521e-06,2.1939255632490092e-05,4,0.8125,1.1921145749107618e-07,5.385820510157072e-06,1.91642182918741e-06
