gamma,law,n_per_scene,seed,model,update,val_path_mse,train_loss_ema
0.04,0,32,7201,NET,0,0.01018247392012512,
0.04,0,32,7201,NET,250,0.00011865543329622756,0.0225240358795524
0.04,0,32,7201,NET,500,0.0001218834529787807,0.013452119290795761
0.04,0,32,7201,NET,750,0.00011789680039925775,0.013211943977386592
0.04,0,32,7201,NET,1000,0.00012158559373485784,0.013283091170691947
0.04,0,32,7201,NET,1250,0.00012711814862082592,0.013189934777995477
0.04,0,32,7201,NET,1500,0.00011937447570671866,0.013167033492519355
0.04,0,32,7201,NET,1750,0.0001196131183262769,0.013203469114997738
0.04,0,32,7201,NET,2000,0.00011902456326550236,0.013183930004903562
0.04,0,32,7201,NET,2250,0.00011823081287953326,0.01312356618988261
0.04,0,32,7201,NET,2500,0.00011948181844909187,0.013124951155009801
0.04,0,128,7201,NET,0,0.010181540190415672,
0.04,0,128,7201,NET,250,0.00011849269009169862,0.0209948615971329
0.04,0,128,7201,NET,500,0.00011616526148093647,0.01219216555309024
0.04,0,128,7201,NET,750,0.00012343912991552876,0.012013080921374444
0.04,0,128,7201,NET,1000,0.00011909779189302968,0.012244553078710266
0.04,0,128,7201,NET,1250,0.00012785638224398864,0.012050687857667487
0.04,0,128,7201,NET,1500,0.00011703543680155507,0.012441947341577452
0.04,0,128,7201,NET,1750,0.00011809190441298034,0.011991878988464315
0.04,0,128,7201,NET,2000,0.00011634503109576837,0.01195788942693109
0.04,0,128,7201,NET,2250,0.00011564288739689046,0.011894018958615912
0.04,0,128,7201,NET,2500,0.0001187506441376643,0.012127418816473638
0.04,0,512,7201,NET,0,0.010180394857769351,
0.04,0,512,7201,NET,250,0.00011693692332565704,0.020578057985473113
0.04,0,512,7201,NET,500,0.00012214853651317903,0.012912864531261094
0.04,0,512,7201,NET,750,0.00011708337660857114,0.012015084471818644
0.04,0,512,7201,NET,1000,0.00011707426459715972,0.011857528203268937
0.04,0,512,7201,NET,1250,0.00011758928461421791,0.011914931705139048
0.04,0,512,7201,NET,1500,0.00012096544795032076,0.011813865532055642
0.04,0,512,7201,NET,1750,0.00011672328560614117,0.011965157466041317
0.04,0,512,7201,NET,2000,0.00011789331220879769,0.01193932852265671
0.04,0,512,7201,NET,2250,0.00011635339335567568,0.0119477246278984
0.04,0,512,7201,NET,2500,0.00011757670728663844,0.012002131789866536
0.04,1,32,7201,NET,0,0.010311320167646404,
0.04,1,32,7201,NET,250,0.0004016304765016817,0.04286963438751353
0.04,1,32,7201,NET,500,0.00040143117516362774,0.034684358867292944
0.04,1,32,7201,NET,750,0.0004035327302169293,0.033778826025574374
0.04,1,32,7201,NET,1000,0.0004029285552271486,0.03338927226132148
0.04,1,32,7201,NET,1250,0.00041083378975847426,0.03332089111347391
0.04,1,32,7201,NET,1500,0.00040437131647407085,0.03373237788890194
0.04,1,32,7201,NET,1750,0.0004128729845794188,0.032970209729690135
0.04,1,32,7201,NET,2000,0.00040148434303192065,0.03355036844572994
0.04,1,32,7201,NET,2250,0.00040205831690735594,0.03346831674796934
0.04,1,32,7201,NET,2500,0.0004050066522460445,0.033044187829139024
0.04,1,128,7201,NET,0,0.010312976809612058,
0.04,1,128,7201,NET,250,0.0004037174676228646,0.04981452898060091
0.04,1,128,7201,NET,500,0.00040343302398474076,0.041087476220543095
0.04,1,128,7201,NET,750,0.00040562071752327347,0.03968292586866928
0.04,1,128,7201,NET,1000,0.000401729752600234,0.04146550561999694
0.04,1,128,7201,NET,1250,0.0004007788404332283,0.04078097144059295
0.04,1,128,7201,NET,1500,0.00039571469579460853,0.04124268135208271
0.04,1,128,7201,NET,1750,0.0003969656191421445,0.04107901401709526
0.04,1,128,7201,NET,2000,0.00039286558408370653,0.04033116221114705
