gamma,law,n_per_scene,seed,delta_test_path_mse,delta_test_path_mse_scene4h,delta_test_path_mse_scene8h,delta_test_path_mse_scene12h,delta_test_mse_1h,delta_test_mse_6h,delta_test_mse_24h,delta_test_mse_32h,delta_vs_mu0_path_mse,delta_vs_mu0_path_mse_scene4h,delta_vs_mu0_path_mse_scene8h,delta_vs_mu0_path_mse_scene12h,delta_vs_mu0_mse_1h,delta_vs_mu0_mse_6h,delta_vs_mu0_mse_24h,delta_vs_mu0_mse_32h,delta_calibration_path_mse
0.0,0,128,7201,1.7282072385510348e-06,-7.033331837340984e-07,3.2474903882183186e-07,5.563205860565371e-06,2.5204810539622316e-08,2.3912844260842725e-06,1.2956806803723374e-06,2.470079611399873e-06,1.7743435034290875e-06,-6.240356059213346e-07,3.0658294653001004e-07,5.640483169678592e-06,-1.2892698097399396e-07,2.722043777313228e-06,1.1637964362383618e-06,2.4087341449880403e-06,1.6292527537300897e-06
0.0,0,128,7202,7.958083304217712e-07,2.061254640350397e-06,-5.125731852562143e-07,8.387435361711037e-07,-1.9699785344662324e-07,3.4745828109509222e-06,2.6694945618688115e-06,7.305469751526365e-07,6.799941462971235e-07,1.8284993460265737e-06,-1.2347223345318962e-06,1.4462054273966928e-06,-3.890797719833489e-07,1.3728567625746874e-06,2.693874701927404e-06,6.858986669805507e-07,6.627782138441838e-07
0.0,0,128,7203,-3.185632399767052e-07,-1.1583655732852986e-06,-1.0520739232438312e-07,3.078832456795391e-07,2.261753043648906e-08,-1.6810608069277029e-06,-1.9146143750503786e-07,1.1993687210630352e-06,-3.822772043086779e-07,-1.3048637797817623e-06,-9.918941136270285e-08,2.5722157821843135e-07,9.225377036940302e-08,-1.983372579430201e-06,-1.8384352450644572e-07,1.1710606407758625e-06,-1.1338699540779638e-07
0.0,0,128,7204,8.149971012114349e-08,1.0625393158497079e-06,2.4730824199730155e-06,-3.2911226054592793e-06,2.086047994111635e-07,-1.0992206463389387e-06,1.8829416842241573e-06,2.553427756080267e-07,-2.815286438180803e-07,1.0592605888687544e-06,2.144860159470069e-06,-4.0487066797930635e-06,2.092647208086905e-07,-2.8315414594116983e-06,1.8060047354625457e-06,2.505505577799137e-07,-3.745432328740013e-07
0.0,0,128,7205,2.834701641906556e-06,4.0914264888671295e-06,9.374957215453096e-07,3.475182715307202e-06,1.0368905849683424e-08,3.076490594888792e-06,1.7820212996360467e-06,2.9748723172778035e-06,2.6400950287604726e-06,3.6763716237582416e-06,9.9269348291084e-07,3.251219979612338e-06,2.1078011274335316e-08,1.6386005079527714e-06,1.7801777241527895e-06,2.991612202933193e-06,3.5204229763624925e-06
0.0,1,128,7201,-1.5238419054704286e-05,-2.2336850591976327e-06,-1.5707581337578015e-05,-2.7773990767337347e-05,-6.183403100980538e-07,-2.333643184471157e-05,-2.5400757539076763e-06,6.520160201481596e-07,-1.792804074750449e-05,-2.723754150901148e-06,-2.1708365020766515e-05,-2.9352003070845813e-05,-1.075498888610955e-06,-2.6532300596826364e-05,-2.7404556247699028e-06,6.716201522949975e-07,-1.5370536272500755e-05
0.0,1,128,7202,3.775516939819642e-06,3.305140908950384e-06,9.032232203968257e-07,7.118186690111689e-06,8.038035690646761e-06,-1.4986925424934636e-06,3.5127521193176417e-06,2.8539183409530933e-06,4.021095035146754e-06,4.079401891547282e-06,9.686631614177321e-07,7.015220052475248e-06,8.060369164952311e-06,-1.7700226130712162e-06,3.2699178441887144e-06,2.7554584060456185e-06,2.6019468192179968e-06
0.0,1,128,7203,-4.360903949714634e-06,-1.8559014115879658e-06,1.013818289014143e-07,-1.1328192266457215e-05,-3.764586184821779e-07,-1.7071068574292525e-06,2.661640661541647e-06,1.9657998802996187e-06,-3.037788572023912e-06,-1.6511808052643858e-06,1.019856900201721e-07,-7.564170600827523e-06,-4.282523146170595e-07,1.307998343027656e-06,2.905601265192169e-06,2.0120298517680818e-06,-1.465080570335045e-06
0.0,1,128,7204,-3.457508731907733e-06,1.0494594495284813e-06,-5.0058279502293015e-06,-6.41615769502227e-06,-1.288791339519146e-06,-2.5747674924728745e-06,-1.314408191161659e-06,3.833932911345168e-06,-5.943113618291843e-06,8.97299230830413e-07,-7.243901213095954e-06,-1.1482738872609986e-05,-6.363141597254078e-07,-4.6356655322305965e-06,-1.3759402942397079e-06,3.840927542126363e-06,-1.2901725937986106e-06
0.0,1,128,7205,-5.282005584406155e-06,1.3193835428949592e-06,-5.727544164205037e-06,-1.1437856131908631e-05,1.3899288310354808e-05,7.384132936956184e-07,-7.210873441754199e-06,-2.8892252667550335e-07,-5.554448085546037e-06,1.8418230921812805e-06,-4.683668729743775e-06,-1.3821498619075618e-05,1.2316344375586135e-05,1.1867678007324483e-06,-8.449755625207941e-06,-3.7101432650676134e-07,-6.0107704211333885e-06
