variant,event,component,n_windows,n_counties,NET_path_mse,NET_mse_1h,NET_mse_6h,NET_mse_24h,NET_oob_fraction,ASYM_path_mse,ASYM_mse_1h,ASYM_mse_6h,ASYM_mse_24h,ASYM_oob_fraction,delta_path_seed_mean,delta_path_seed_sd,seeds_delta_positive
raw,2024-01-09,0,2520,120,0.0010816851289459448,0.00028331184150120136,0.0006665310311718057,0.0020572665673233596,0.3921792328042327,0.0007869657568324882,0.00011756672729429154,0.000545768347245958,0.0012248954235068543,0.0,0.0002947193721134566,0.00027043454973036714,4
raw,2024-01-12,0,5967,288,0.0005381077864926392,0.00026892978165062953,0.000431938685867131,0.000767800920145888,0.4025507743606701,0.0004444373085909249,5.089565182820614e-05,0.00029466379657155646,0.0006789462873828219,0.0,9.367047790171418e-05,5.535433491487567e-05,5
raw,2024-05-08,1,3481,166,0.00038689145974385084,0.0002595968465976324,0.0003570453386354456,0.0005056228161715399,0.3042696081946835,0.0002687605256692257,0.00011052065481323715,0.0002022285063638483,0.00035535533549478995,0.0,0.00011813093407462522,0.00012792062935469911,4
raw,2024-05-26,2,4864,256,0.003416382299278351,0.000534244266984392,0.002549784100019831,0.005205200572254594,0.29792180646929806,0.0032521114696936458,0.00033196859624548607,0.0021203168755355084,0.005128734922301771,0.0,0.00016427082958470513,0.00016634262506957695,4
raw,2024-06-26,3,2940,140,0.0003584403411806588,0.00019572550551104503,0.0003858497221576095,0.0005608494802040229,0.5092517006802721,0.00025918914108714875,8.414051644731772e-05,0.00027354306919524204,0.0004211268542909902,0.0,9.925120009351005e-05,3.501037810278831e-05,5
raw,2024-09-27,4,5658,270,0.009048999414209283,0.0008270050819727988,0.005980574974729408,0.015396476342823012,0.12850137174211246,0.00788393061521989,0.00042689300558962476,0.004383312569885973,0.014510981513161278,0.0,0.001165068798989392,0.0013217997554671255,4
output_clip_01,2024-01-09,0,2520,120,0.0010574481824774263,0.00023558748417647825,0.0006463149518912832,0.0020427644458331493,0.0,0.0007869657568324882,0.00011756672729429154,0.000545768347245958,0.0012248954235068543,0.0,0.00027048242564493814,0.00028218656885187947,4
output_clip_01,2024-01-12,0,5967,288,0.0005054793293241781,0.00019893523113768095,0.0004133822074473896,0.0007464278827393626,0.0,0.0004444373085909249,5.089565182820614e-05,0.00029466379657155646,0.0006789462873828219,0.0,6.104202073325317e-05,5.933923844110441e-05,4
output_clip_01,2024-05-08,1,3481,166,0.0003765763959574493,0.00024093150896572552,0.0003492161094163105,0.0004955044278211533,0.0,0.0002687605256692257,0.00011052065481323715,0.0002022285063638483,0.00035535533549478995,0.0,0.0001078158702882236,0.0001272816244813838,4
output_clip_01,2024-05-26,2,4864,256,0.003395007212639916,0.00050914092344747,0.002533559084803172,0.005172652630579288,0.0,0.0032521114696936458,0.00033196859624548607,0.0021203168755355084,0.005128734922301771,0.0,0.00014289574294627013,0.0001592132808594876,4
output_clip_01,2024-06-26,3,2940,140,0.00032006022371464365,0.00012941724597070417,0.0003541252152320664,0.0005253238047394012,0.0,0.00025918914108714875,8.414051644731772e-05,0.00027354306919524204,0.0004211268542909902,0.0,6.0871082627494935e-05,2.5419799115151392e-05,5
output_clip_01,2024-09-27,4,5658,270,0.009037475415657446,0.0008125756246624164,0.005973258207172657,0.015378758584765645,0.0,0.00788393061521989,0.00042689300558962476,0.004383312569885973,0.014510981513161278,0.0,0.001153544800437556,0.0013201423786713782,4
