variant,model,seed,event,lead_h,mse
raw,NET,8201,2024-01-09,1,0.0002594754729845761
raw,NET,8201,2024-01-09,2,0.00034109230781540726
raw,NET,8201,2024-01-09,3,0.0004327970305360934
raw,NET,8201,2024-01-09,4,0.0006210609458549126
raw,NET,8201,2024-01-09,5,0.0006608301462011517
raw,NET,8201,2024-01-09,6,0.0006989839955225982
raw,NET,8201,2024-01-09,7,0.0006588515346461373
raw,NET,8201,2024-01-09,8,0.0007377012091195699
raw,NET,8201,2024-01-09,9,0.0007868161270772588
raw,NET,8201,2024-01-09,10,0.0009946140691439501
raw,NET,8201,2024-01-09,11,0.0010994570828840855
raw,NET,8201,2024-01-09,12,0.0011945014235487368
raw,NET,8201,2024-01-09,13,0.0012526356316088136
raw,NET,8201,2024-01-09,14,0.0014067562135570886
raw,NET,8201,2024-01-09,15,0.0014505615794742602
raw,NET,8201,2024-01-09,16,0.0016947471575191795
raw,NET,8201,2024-01-09,17,0.001806351896527103
raw,NET,8201,2024-01-09,18,0.001853703661460947
raw,NET,8201,2024-01-09,19,0.001782467008418237
raw,NET,8201,2024-01-09,20,0.00180048643449762
raw,NET,8201,2024-01-09,21,0.0017654292763886587
raw,NET,8201,2024-01-09,22,0.0019164347478246421
raw,NET,8201,2024-01-09,23,0.0018731176233872933
raw,NET,8201,2024-01-09,24,0.001911225468623243
raw,NET,8201,2024-01-12,1,0.0002796027288173006
raw,NET,8201,2024-01-12,2,0.00023468366304271333
raw,NET,8201,2024-01-12,3,0.0003838856377106305
raw,NET,8201,2024-01-12,4,0.00041462187730868447
raw,NET,8201,2024-01-12,5,0.00046250078304670747
raw,NET,8201,2024-01-12,6,0.00043695905481831336
raw,NET,8201,2024-01-12,7,0.00045335163209876965
raw,NET,8201,2024-01-12,8,0.0004929692398004861
raw,NET,8201,2024-01-12,9,0.0005161722238202904
raw,NET,8201,2024-01-12,10,0.0005588325189558523
raw,NET,8201,2024-01-12,11,0.0005411695595037369
raw,NET,8201,2024-01-12,12,0.0005150093986029361
raw,NET,8201,2024-01-12,13,0.0005086683939704831
raw,NET,8201,2024-01-12,14,0.0005553523229491803
raw,NET,8201,2024-01-12,15,0.0005671375461196956
raw,NET,8201,2024-01-12,16,0.0006086198863344413
raw,NET,8201,2024-01-12,17,0.0005963747880422635
raw,NET,8201,2024-01-12,18,0.0006055987286437027
raw,NET,8201,2024-01-12,19,0.0006070433477563257
raw,NET,8201,2024-01-12,20,0.000653739409658212
raw,NET,8201,2024-01-12,21,0.0006528190474626217
raw,NET,8201,2024-01-12,22,0.0007276793950182678
raw,NET,8201,2024-01-12,23,0.000716120120168999
raw,NET,8201,2024-01-12,24,0.0007306867705846567
raw,NET,8201,2024-05-08,1,0.0002706871307971235
raw,NET,8201,2024-05-08,2,0.00026013729863365336
raw,NET,8201,2024-05-08,3,0.0003300833476599868
raw,NET,8201,2024-05-08,4,0.00032094646987131017
raw,NET,8201,2024-05-08,5,0.0003074734995374479
raw,NET,8201,2024-05-08,6,0.00034264691534108266
raw,NET,8201,2024-05-08,7,0.0004082920178148219
raw,NET,8201,2024-05-08,8,0.00036045122212798687
raw,NET,8201,2024-05-08,9,0.0003892305862602271
raw,NET,8201,2024-05-08,10,0.0003980976677275777
raw,NET,8201,2024-05-08,11,0.00041186519689617154
raw,NET,8201,2024-05-08,12,0.0004763250574095954
raw,NET,8201,2024-05-08,13,0.0005432795038293165
raw,NET,8201,2024-05-08,14,0.0005117334883296152
raw,NET,8201,2024-05-08,15,0.000549761306286524
raw,NET,8201,2024-05-08,16,0.0005443084588641025
raw,NET,8201,2024-05-08,17,0.0005531231691781311
