event,family,available,n,source_one_mse,source_two_mse,observed_diff,target_oracle_one_mse,target_oracle_two_mse,oracle_gap,transfer_one,transfer_two,transfer_penalty_diff,decomposition_error,active_clusters,branch_mismatch,target_two_boundary
2022-01-16,winter,True,26231.0,5.259474963277899e-05,5.2646104567615536e-05,-5.1354934836543554e-08,5.118907210259682e-05,5.102389338232275e-05,1.651787202740698e-07,1.40567753018217e-06,1.6222111852927834e-06,-2.1653365511061336e-07,0.0,7.0,2.0,1.0
2022-03-12,winter,True,25139.0,3.879575624948851e-05,3.896986643147585e-05,-1.7411018198733563e-07,3.5970209631547895e-05,3.5884797344780313e-05,8.541228676758205e-08,2.825546617940616e-06,3.0850690866955337e-06,-2.595224687549177e-07,0.0,7.0,2.0,1.0
2022-04-13,convective,True,9696.0,0.00015298356796036104,0.00015228641213757527,6.971558227857695e-07,0.00014607331146870918,0.0001441276709302316,1.9456405384775876e-06,6.910256491651865e-06,8.158741207343683e-06,-1.248484715691818e-06,0.0,6.0,2.0,1.0
2022-06-08,convective,False,,,,,,,,,,,,,,
2022-06-17,convective,True,16944.0,0.0003422927447296504,0.0003412915011603402,1.0012435693102146e-06,0.0003370682651857679,0.00033598243095591713,1.085834229850788e-06,5.224479543882484e-06,5.309070204423058e-06,-8.459066054057347e-08,0.0,6.0,2.0,1.0
2022-07-23,convective,True,8881.0,0.0001658477250689054,0.000165085221812142,7.62503256763401e-07,0.00016365648989165684,0.00016283679751771896,8.196923739378799e-07,2.191235177248545e-06,2.248424294423024e-06,-5.718911717447891e-08,0.0,6.0,2.0,0.0
2024-01-09,winter,True,11472.0,0.00016688369993526694,0.0001664608954251876,4.2280451007932723e-07,0.0001584645952099695,0.00015739216548049946,1.0724297294700455e-06,8.419104725297433e-06,9.068729944688151e-06,-6.496252193907183e-07,0.0,7.0,3.0,0.0
2024-01-12,winter,True,27024.0,8.220499754298973e-05,8.230030442096814e-05,-9.530687797841032e-08,8.073820971547192e-05,8.041304091606797e-05,3.251687994039465e-07,1.4667878275178116e-06,1.8872635049001685e-06,-4.204756773823568e-07,0.0,8.0,2.0,2.0
2024-05-08,convective,True,11328.0,9.868001301271194e-05,9.831327278612277e-05,3.6674022658917435e-07,9.346905375464294e-05,9.2863087067312e-05,6.05966687330944e-07,5.210959258069e-06,5.45018571881077e-06,-2.3922646074176965e-07,0.0,7.0,3.0,0.0
2024-05-26,convective,True,16224.0,0.000604697572964801,0.0006019380297701347,2.759543194666295e-06,0.0005990506049652093,0.0005952544034768267,3.79620148838254e-06,5.646967999591718e-06,6.683626293307963e-06,-1.036658293716245e-06,0.0,7.0,2.0,1.0
2024-06-26,convective,True,10992.0,2.1014506794415498e-05,2.1324063540256154e-05,-3.0955674584065614e-07,1.804505454265094e-05,1.8015140007001407e-05,2.9914535649533896e-08,2.9694522517645563e-06,3.3089235332547463e-06,-3.3947128149019003e-07,0.0,7.0,2.0,1.0
2024-09-27,wind,True,21281.0,0.0015817336490522175,0.00159097852700065,-9.244877948432536e-06,0.0015641756853861095,0.0015641757331405568,-4.775444731493217e-11,1.7557963666107925e-05,2.6802793860093146e-05,-9.244830193985221e-06,0.0,5.0,0.0,1.0
