gamma,rho,n,validation_n,design,rule,replications,delta,MC_halfwidth,MC_dof,common_component_difference,NET_excluded_component_error,structural_signal,partition_identity_error,max_ASYM_affine_residual,NET_common_bias_squared,NET_common_variance,ASYM_common_bias_squared,ASYM_common_variance,NET_excluded_bias_squared,NET_excluded_variance,common_bias_difference,common_variance_difference,component_ensemble_partition_error,NET_risk,NET_ensemble_bias_squared,NET_ensemble_variance,NET_oob_fraction,ASYM_risk,ASYM_ensemble_bias_squared,ASYM_ensemble_variance,ASYM_oob_fraction
0.0,0.0,32,8,training_support,original_early_stop,30,1.9402993703977645e-06,2.0336772178703818e-06,25.110897297295438,1.6706883829584666e-06,2.696109874392962e-07,5.558599319878379e-34,6.522153693858113e-20,4.8535210711575516e-08,9.175201374582665e-07,5.928869594886441e-06,1.3415660936505998e-06,3.834135255666003e-06,1.299525345962334e-07,1.3965845284306282e-07,-4.2404595619233327e-07,2.0947343392204376e-06,6.963627265967054e-17,7.1160007197840026e-06,1.0474726720544967e-06,6.068528047729505e-06,0.0,5.175701349386236e-06,1.3415660936521041e-06,3.834135255734135e-06,0.0
0.0,0.0,32,8,training_support,fixed_3000_ablation,30,5.7332559862590625e-06,1.011856754381548e-05,24.336303169245024,5.52878627010262e-06,2.04469716156438e-07,5.558599319878379e-34,1.2874900798265365e-19,4.640647341402904e-08,1.550332152543263e-06,1.6724763589861708e-05,7.418877382401255e-07,1.2004421733987844e-05,4.239891820262592e-08,1.620707979538121e-07,8.084444143031375e-07,4.720341855873864e-06,7.43762690325056e-17,1.847956545856141e-05,1.5927310707458913e-06,1.6886834387815518e-05,0.001388888888888889,1.2746309472302349e-05,7.41887738242206e-07,1.2004421734060139e-05,0.0
0.0,0.0,32,8,initial_state_interpolation,original_early_stop,30,2.3336573118400903e-06,2.116161808529936e-06,26.097877550857152,2.2999145750508053e-06,3.3742736789248745e-08,7.092909402974666e-33,5.30242624981192e-19,5.2280345302913034e-08,1.2317673755647763e-06,5.677248593981342e-06,1.0793623344009781e-06,3.529739060009183e-06,1.4307094121285709e-08,1.943564266796303e-08,1.5240504116379816e-07,2.1475095339721587e-06,8.511537625426925e-17,6.942758706335366e-06,1.2460744696860692e-06,5.696684236649301e-06,0.0,4.6091013944952765e-06,1.079362334405354e-06,3.529739060089924e-06,0.0
0.0,0.0,32,8,initial_state_interpolation,fixed_3000_ablation,30,5.832444867700316e-06,1.032604286568223e-05,23.799573650628304,5.805313640823844e-06,2.713122687649023e-08,7.092909402974666e-33,1.145188544687814e-18,5.329059332703778e-08,1.4096808834571367e-06,1.6636069943075137e-05,5.348673512159468e-07,1.1705569834400593e-05,3.990871384151509e-09,2.3140355492338723e-08,8.748135322411899e-07,4.930500108674544e-06,9.190730994182786e-17,1.807288205340875e-05,1.4136717548412932e-06,1.6659210298567457e-05,0.001388888888888889,1.224043718570843e-05,5.348673512176266e-07,1.1705569834490804e-05,0.0
0.0,0.0,128,32,training_support,original_early_stop,30,2.0845266627227737e-06,2.0114107003954227e-06,17.97527399437299,1.940838259216973e-06,1.4368840350580047e-07,5.558599319878379e-34,2.583450489125616e-20,4.7257968371905434e-08,1.3082767659390285e-06,3.0019397395237593e-06,1.0621270442376694e-06,1.30725120192346e-06,1.019185217778168e-07,4.1769881727983666e-08,2.4614972170135907e-07,1.6946885376002993e-06,8.468508351706407e-17,4.453904908968586e-06,1.4101952877168415e-06,3.043709621251743e-06,0.0,2.3693782462458117e-06,1.062127044239224e-06,1.3072512020065878e-06,0.0
0.0,0.0,128,32,training_support,fixed_3000_ablation,30,-1.4692137924983464e-06,9.726009394152095e-06,16.085319242816958,-1.543581752604446e-06,7.436796010609238e-08,5.558599319878379e-34,1.3552527156068805e-19,5.534717018029767e-08,4.3155544474833055e-07,1.0905096898769097e-05,6.494441185763152e-07,1.223078997746231e-05,2.4402595201037738e-08,4.996536490505462e-08,-2.1788867382798466e-07,-1.3256930786932138e-06,8.324025706728504e-17,1.1411020303623516e-05,4.559580399493658e-07,1.0955062263674152e-05,0.0,1.2880234096121865e-05,6.494441185799204e-07,1.2230789977541947e-05,0.0
0.0,0.0,128,32,initial_state_interpolation,original_early_stop,30,2.5680506799589497e-06,2.10291353493651e-06,18.44643893785171,2.5512105542290176e-06,1.6840125729924744e-08,7.092909402974666e-33,3.1382570695771828e-19,5.657390003688256e-08,1.7015973473424935e-06,2.918848481393425e-06,8.465963918698188e-07,1.2226388825580018e-06,1.0927021466883926e-08,5.913104263040819e-09,8.550009554726747e-07,1.6962095988354233e-06,7.907349024150433e-17,4.637285954465835e-06,1.7125243688093692e-06,2.9247615856564635e-06,0.0,2.069235274506885e-06,8.465963918715289e-07,1.222638882635357e-06,0.0
0.0,0.0,128,32,initial_state_interpolation,fixed_3000_ablation,30,-1.3502320605763117e-06,9.805213807369079e-06,16.055179184382467,-1.3594661472845785e-06,9.23408670830882e-09,7.092909402974666e-33,1.328147661294743e-18,4.899703837102365e-08,4.474242904828007e-07,1.0902692813507742e-05,4.999280449290813e-07,1.2209655206254165e-05,1.9681354337418254e-09,7.265951274566995e-09,-5.2503754446280576e-08,-1.3069623927464235e-06,9.191641554601084e-17,1.1359351190698842e-05,4.493924259165426e-07,1.09099587647823e-05,0.0,1.2709583251275152e-05,4.999280449318568e-07,1.2209655206343299e-05,0.0
0.0,0.0,512,128,training_support,original_early_stop,30,2.4813369039474174e-07,1.2744910778393213e-06,20.157145447931953,6.173768774308043e-08,1.8639600265166057e-07,5.558599319878379e-34,2.0328790734103208e-20,4.768371580921027e-08,7.580293576503735e-07,1.8132772515050053e-06,1.2872935656950104e-06,1.2222753556329926e-06,1.293212077107085e-07,5.7074794940952014e-08,-5.29264208044637e-07,5.910018958720127e-07,8.429454838882063e-17,2.7577026118070413e-06,8.873505653610834e-07,1.8703520464459576e-06,0.0,2.5095689214122995e-06,1.287293565696853e-06,1.2222753557154466e-06,0.0
0.0,0.0,512,128,training_support,fixed_3000_ablation,30,2.690916464333236e-06,5.783522633492074e-06,26.544991656737608,2.6247513964327544e-06,6.616506790048001e-08,5.558599319878379e-34,9.486769009248164e-20,5.1089695474182406e-08,5.113289192796654e-07,9.864888630397447e-06,5.763864524658603e-07,7.175079700700878e-06,4.9351619083513695e-08,1.681344881696631e-08,-6.505753318619491e-08,2.689808929696569e-06,7.761871115459507e-17,1.0442382617577593e-05,5.606805383631799e-07,9.881702079214414e-06,0.0,7.75146615324436e-06,5.763864524689105e-07,7.175079700775448e-06,0.0
