regime,period,region,season,N_h
convective,P1,central,core,679
convective,P1,central,shoulder,231
convective,P1,northeast,core,406
convective,P1,northeast,shoulder,88
convective,P1,pacific,core,39
convective,P1,pacific,shoulder,9
convective,P1,plains_mountain,core,699
convective,P1,plains_mountain,shoulder,248
convective,P1,southeast,core,1320
convective,P1,southeast,shoulder,468
convective,P2,central,core,1492
convective,P2,central,shoulder,506
convective,P2,northeast,core,745
convective,P2,northeast,shoulder,191
convective,P2,pacific,core,73
convective,P2,pacific,shoulder,37
convective,P2,plains_mountain,core,2172
convective,P2,plains_mountain,shoulder,864
convective,P2,southeast,core,2864
convective,P2,southeast,shoulder,1127
heavy_rain,P1,central,core,193
heavy_rain,P1,central,shoulder,134
heavy_rain,P1,northeast,core,121
heavy_rain,P1,northeast,shoulder,71
heavy_rain,P1,pacific,core,11
heavy_rain,P1,pacific,shoulder,34
heavy_rain,P1,plains_mountain,core,145
heavy_rain,P1,plains_mountain,shoulder,73
heavy_rain,P1,southeast,core,377
heavy_rain,P1,southeast,shoulder,183
heavy_rain,P2,central,core,370
heavy_rain,P2,central,shoulder,129
heavy_rain,P2,northeast,core,245
heavy_rain,P2,northeast,shoulder,151
heavy_rain,P2,pacific,core,36
heavy_rain,P2,pacific,shoulder,63
heavy_rain,P2,plains_mountain,core,772
heavy_rain,P2,plains_mountain,shoulder,186
heavy_rain,P2,southeast,core,1134
heavy_rain,P2,southeast,shoulder,346
synoptic_wind,P1,central,core,16
synoptic_wind,P1,central,shoulder,5
synoptic_wind,P1,northeast,core,24
synoptic_wind,P1,northeast,shoulder,15
synoptic_wind,P1,pacific,core,39
synoptic_wind,P1,pacific,shoulder,19
synoptic_wind,P1,plains_mountain,core,38
synoptic_wind,P1,plains_mountain,shoulder,27
synoptic_wind,P1,southeast,core,16
synoptic_wind,P1,southeast,shoulder,3
synoptic_wind,P2,central,core,17
synoptic_wind,P2,central,shoulder,7
synoptic_wind,P2,northeast,core,41
synoptic_wind,P2,northeast,shoulder,14
synoptic_wind,P2,pacific,core,118
synoptic_wind,P2,pacific,shoulder,25
synoptic_wind,P2,plains_mountain,core,162
synoptic_wind,P2,plains_mountain,shoulder,109
synoptic_wind,P2,southeast,core,28
synoptic_wind,P2,southeast,shoulder,3
tropical,P1,central,core,1
tropical,P1,central,shoulder,1
tropical,P1,northeast,core,3
tropical,P1,northeast,shoulder,1
tropical,P1,plains_mountain,core,2
tropical,P1,southeast,core,9
tropical,P1,southeast,shoulder,5
tropical,P2,central,shoulder,1
tropical,P2,northeast,core,4
tropical,P2,northeast,shoulder,1
tropical,P2,pacific,core,2
tropical,P2,plains_mountain,core,3
tropical,P2,plains_mountain,shoulder,1
tropical,P2,southeast,core,12
tropical,P2,southeast,shoulder,8
winter,P1,central,core,58
winter,P1,central,shoulder,36
winter,P1,northeast,core,30
winter,P1,northeast,shoulder,35
winter,P1,pacific,core,20
winter,P1,pacific,shoulder,17
winter,P1,plains_mountain,core,35
winter,P1,plains_mountain,shoulder,41
winter,P1,southeast,core,15
winter,P1,southeast,shoulder,4
winter,P2,central,core,129
winter,P2,central,shoulder,89
winter,P2,northeast,core,109
winter,P2,northeast,shoulder,42
winter,P2,pacific,core,55
winter,P2,pacific,shoulder,38
winter,P2,plains_mountain,core,119
winter,P2,plains_mountain,shoulder,89
winter,P2,southeast,core,52
winter,P2,southeast,shoulder,5
