day,pool,window_start_utc,window_end_utc,prefix_wind_counties,fc_wind_counties,fc_wind_states,fc_convective_counties,fc_relevant_counties,fc_wind_county_share,prefix_to_fc_ratio,fc_span_5_95_h,fc_wind_counties_by_day,first_peak_day,second_wind_wave,wetcold_counties_after_peak,fc_top_types,F5_data,F1_gust_driven,F2_scale,F3_calm_prefix,F4_multiday,R1_second_wave,passes,reason,selected
2018-03-02,catalogue wind,2018-02-27 00:00:00,2018-03-07 23:00:00,43,433,29,5,860,0.503,0.099,111.0,"[266, 10, 4, 72, 110, 3]",0,True,438,"High Wind,Winter Storm,Winter Weather,Heavy Snow",True,False,True,True,True,True,False,"not gust-driven with convection (wind share 0.50, convective counties 5)",False
2019-02-24,catalogue wind,2019-02-21 00:00:00,2019-03-01 23:00:00,63,601,31,18,1025,0.586,0.105,73.0,"[428, 141, 10, 17, 5, 7]",0,True,313,"High Wind,Flood,Winter Weather,Strong Wind",True,False,True,True,True,True,False,"not gust-driven with convection (wind share 0.59, convective counties 18)",False
2019-02-25,catalogue wind,2019-02-22 00:00:00,2019-03-02 23:00:00,489,182,23,14,508,0.358,2.687,116.44999999999999,"[141, 10, 17, 5, 7, 11]",0,False,363,"Winter Weather,High Wind,Heavy Snow,Flood",True,False,True,False,True,True,False,"not gust-driven with convection (wind share 0.36, convective counties 14); active prefix (prefix/forecast wind counties 2.69)",False
2019-03-13,catalogue wind,2019-03-10 00:00:00,2019-03-18 23:00:00,41,400,25,177,768,0.521,0.102,45.0,"[170, 206, 34, 2, 1, 0]",1,False,109,"Flood,High Wind,Thunderstorm Wind,Blizzard",True,True,True,True,True,True,True,selected: passes F1-F5 and R1,True
2019-11-01,catalogue wind,2019-10-29 00:00:00,2019-11-06 23:00:00,161,190,19,91,270,0.704,0.847,12.0,"[185, 4, 0, 0, 2, 0]",0,False,55,"Thunderstorm Wind,High Wind,Flood,Strong Wind",True,False,True,False,False,True,False,"not gust-driven with convection (wind share 0.70, convective counties 91); active prefix (prefix/forecast wind counties 0.85); single burst (wind span 12 h)",False
2019-11-27,catalogue wind,2019-11-24 00:00:00,2019-12-02 23:00:00,87,528,35,37,1107,0.477,0.165,106.0,"[354, 14, 31, 130, 26, 8]",0,True,558,"High Wind,Winter Storm,Heavy Snow,Winter Weather",True,False,True,True,True,True,False,"not gust-driven with convection (wind share 0.48, convective counties 37)",False
2020-06-09,catalogue wind,2020-06-06 00:00:00,2020-06-14 23:00:00,260,466,33,294,590,0.79,0.558,92.24999999999955,"[184, 199, 67, 7, 27, 16]",1,True,26,"Thunderstorm Wind,High Wind,Hail,Heavy Rain",True,True,True,False,True,True,False,active prefix (prefix/forecast wind counties 0.56),False
2020-11-15,catalogue wind,2020-11-12 00:00:00,2020-11-20 23:00:00,149,393,31,206,416,0.945,0.379,59.0,"[286, 72, 28, 18, 3, 0]",0,True,24,"Thunderstorm Wind,High Wind,Strong Wind,Winter Storm",True,True,True,False,True,True,False,active prefix (prefix/forecast wind counties 0.38),False
2020-12-25,catalogue wind,2020-12-22 00:00:00,2020-12-30 23:00:00,277,135,22,30,532,0.254,2.052,92.0,"[105, 4, 19, 2, 1, 7]",0,False,349,"Heavy Snow,Winter Weather,Winter Storm,High Wind",True,False,True,False,True,True,False,"not gust-driven with convection (wind share 0.25, convective counties 30); active prefix (prefix/forecast wind counties 2.05)",False
2021-01-14,catalogue wind,2021-01-11 00:00:00,2021-01-19 23:00:00,125,277,13,0,498,0.556,0.451,136.04999999999995,"[205, 30, 1, 3, 19, 39]",0,False,212,"High Wind,Strong Wind,Winter Weather,Blizzard",True,False,True,False,True,True,False,"not gust-driven with convection (wind share 0.56, convective counties 0); active prefix (prefix/forecast wind counties 0.45)",False
2021-03-26,catalogue wind,2021-03-23 00:00:00,2021-03-31 23:00:00,71,651,42,203,796,0.818,0.109,120.39999999999998,"[194, 34, 145, 207, 86, 34]",3,True,28,"High Wind,Thunderstorm Wind,Hail,Flash Flood",True,True,True,True,True,True,True,selected: passes F1-F5 and R1,True
2021-03-29,catalogue wind,2021-03-26 00:00:00,2021-04-03 23:00:00,363,320,29,39,372,0.86,1.134,67.0,"[207, 86, 34, 3, 0, 0]",0,True,48,"High Wind,Thunderstorm Wind,Flash Flood,Strong Wind",True,False,True,False,True,True,False,"not gust-driven with convection (wind share 0.86, convective counties 39); active prefix (prefix/forecast wind counties 1.13)",False
