contrast,cluster,change,ci_lo,ci_hi
GCRK-S vs W,county,-0.0016410475696760907,-0.015382684810036889,0.011279359847082416
GCRK-S vs W,event x state,-0.0016410475696760907,-0.01668774063963252,0.012069604997840494
GCRK-S vs W,event,-0.0016410475696760907,-0.012150340401140094,0.013720588087303007
GCRK vs GCRK-S,county,0.006543135398152433,-0.006283894196940653,0.020610886280461253
GCRK vs GCRK-S,event x state,0.006543135398152433,-0.006912460662678637,0.01833482466377156
GCRK vs GCRK-S,event,0.006543135398152433,-0.013174854193982661,0.017549168134845042
W+Cin vs W,county,-0.02357179932399278,-0.03801704798113685,-0.008945590400754436
W+Cin vs W,event x state,-0.02357179932399278,-0.03602278269017055,-0.011076468023835382
W+Cin vs W,event,-0.02357179932399278,-0.034098757553605585,-0.005097027860795982
W+Cin vs W+C,county,-0.015508569274874096,-0.028934651577382314,-0.0008117483049009628
W+Cin vs W+C,event x state,-0.015508569274874096,-0.03638216312849701,0.009038737294012798
W+Cin vs W+C,event,-0.015508569274874096,-0.03410100410568684,-0.001454872665486633
GCRK vs W,county,0.004891350232032909,-0.011728179922517542,0.021467449942728412
GCRK vs W,event x state,0.004891350232032909,-0.01490712482869851,0.021415858160104176
GCRK vs W,event,0.004891350232032909,-0.014924419107359024,0.02460416588565439
W+C vs W,county,-0.008190249094580437,-0.02497694770253294,0.00820022834684499
W+C vs W,event x state,-0.008190249094580437,-0.03269479057682239,0.012922726252826094
W+C vs W,event,-0.008190249094580437,-0.024698369759549834,0.019785177973237943
