arm,fold,rmse,t_star
W,1,0.024945278246104645,890
W,2,0.024448535376323778,850
W,3,0.02621499773603637,1050
W,4,0.026431968779436325,880
W,5,0.026632359065934686,780
GCRK,1,0.024344764774267155,440
GCRK,2,0.025295045323039562,610
GCRK,3,0.02624662051458111,410
GCRK,4,0.026740756661885526,410
GCRK,5,0.026697295560617722,410
GCRK-S,1,0.02468043929109828,650
GCRK-S,2,0.024788373550916218,510
GCRK-S,3,0.026392656801370918,500
GCRK-S,4,0.026245984635293984,580
GCRK-S,5,0.02637365981224502,570
W+C,1,0.02426565743299742,750
W+C,2,0.024662926172804273,850
W+C,3,0.026417484576857487,430
W+C,4,0.025741320368307855,830
W+C,5,0.026542682130713858,570
W+G,1,0.02475804748554017,390
W+G,2,0.024378731027702192,460
W+G,3,0.026425066476814165,410
W+G,4,0.026623336726304635,430
W+G,5,0.026290305565792184,350
W+Cin,1,0.023773355064725433,740
W+Cin,2,0.024100025578730328,680
W+Cin,3,0.026157560266720985,740
W+Cin,4,0.025557846598411302,760
W+Cin,5,0.026048232302310258,710
