design,model,pred_lo,pred_hi,n_cells,pred_mean,obs_mean,obs_zero_share,obs_above_pred_x3
main,W,0.0,0.001,469426,0.00037875380346587376,0.0008675218003073712,0.6711217529493466,0.06300460562474171
main,W,0.001,0.003,193033,0.001766574498653201,0.0020117992900746595,0.5822942191231552,0.05227085524236789
main,W,0.003,0.01,130104,0.005482867000672098,0.005762715087344082,0.4447518907950563,0.07309536985795978
main,W,0.01,0.03,61921,0.016983821741125782,0.016463454418486182,0.2790006621340095,0.08426866491174238
main,W,0.03,0.1,23198,0.04925434904009057,0.0502842920134159,0.1228123114061557,0.09035261660487973
main,W,0.1,1.01,3202,0.14897125209684597,0.12540415384245623,0.04934415990006246,0.04778263585259213
main,GCRK,0.0,0.001,358770,0.0004639777326694204,0.0008340923393783059,0.6944421216935641,0.04670959110293503
main,GCRK,0.001,0.003,247119,0.0017895890176143827,0.0015725363747781458,0.6071852022709706,0.040081903860083604
main,GCRK,0.003,0.01,180340,0.005450802172047281,0.005126493457086192,0.46458910945990906,0.060053232782521906
main,GCRK,0.01,0.03,71836,0.016477335059736947,0.015425066781057385,0.28137702544685117,0.08132412717857342
main,GCRK,0.03,0.1,20098,0.048304138630899204,0.051211796629505604,0.11762364414369589,0.09209871629017813
main,GCRK,0.1,1.01,2721,0.1626461023318991,0.14079873263557996,0.01396545387725101,0.05806688717383315
event,W,0.0,0.001,313677,0.00044762679039447514,0.0013339820723246476,0.6608868358215617,0.0654941229353762
event,W,0.001,0.003,267229,0.001840817267362842,0.0033192662003722006,0.5853219523330178,0.06666192666215119
event,W,0.003,0.01,217481,0.005336449032722591,0.006426614603281301,0.5230893733245663,0.0697440236158561
event,W,0.01,0.03,66546,0.016636482422315288,0.01575416724359098,0.3625011270399423,0.0802001622937517
event,W,0.03,0.1,15919,0.04038403669997139,0.02353542644405793,0.25039261260129403,0.0465481500094227
event,W,0.1,1.01,32,0.1906996441539377,0.2080741575846332,0.0,0.03125
event,GCRK,0.0,0.001,340761,0.00044084075579697585,0.001391648648249501,0.6631333984816338,0.071422492597451
event,GCRK,0.001,0.003,236478,0.0018348069027225881,0.003169498687498347,0.5908202877223251,0.0615152360896151
event,GCRK,0.003,0.01,217944,0.005447789683388456,0.006375296097454704,0.511567191572147,0.06837536247843483
event,GCRK,0.01,0.03,70772,0.016383162236136666,0.016452205333153943,0.3458853783982366,0.08371955010456113
event,GCRK,0.03,0.1,14539,0.040815636358806195,0.023303598061727913,0.2692757411101176,0.04594538826604306
event,GCRK,0.1,1.01,390,0.18677852803315872,0.04216814390833511,0.046153846153846156,0.002564102564102564
