design,model,bin,n,pred_peak,obs_peak,obs_below_1pct,obs_above_10pct,obs_peak_median,obs_peak_p90
main,W,0,613,0.00232511873301544,0.017269893399127635,0.6737357259380098,0.03588907014681892,0.004273577593266964,0.04879902377724656
main,W,1,612,0.005730187863543679,0.026050529265352323,0.5571895424836601,0.06209150326797386,0.007510090013965964,0.06278742738068101
main,W,2,612,0.009117843930189516,0.032831520282485926,0.5179738562091504,0.08660130718954248,0.009219491388648748,0.08968845531344412
main,W,3,612,0.012724572010460048,0.038301495151744365,0.36764705882352944,0.08660130718954248,0.017223955132067204,0.0884512297809124
main,W,4,612,0.017301088643375956,0.04222905516610874,0.3545751633986928,0.10784313725490197,0.017620226368308067,0.1019877679646015
main,W,5,612,0.022659189481702115,0.05019463111547535,0.32516339869281047,0.14052287581699346,0.022814780473709106,0.1323797523975372
main,W,6,612,0.03001643880726952,0.05859977211218625,0.2875816993464052,0.1715686274509804,0.026594039052724838,0.1504967927932739
main,W,7,612,0.03938494231308402,0.07250449992767434,0.25163398692810457,0.20915032679738563,0.030826903879642487,0.17547556161880487
main,W,8,612,0.05480407527191382,0.09346139182307643,0.1781045751633987,0.28921568627450983,0.04470892809331417,0.25837037265300733
main,W,9,613,0.11639706800170668,0.15730169221623377,0.09951060358890701,0.499184339314845,0.09986409544944763,0.38206853866577173
main,GCRK,0,613,0.0036856180936596424,0.020963126589308104,0.6606851549755302,0.05057096247960848,0.003947257995605469,0.05085493698716167
main,GCRK,1,612,0.007729163242723136,0.027808797779703038,0.5522875816993464,0.06372549019607843,0.007728900294750929,0.07242953777313232
main,GCRK,2,612,0.01072325211267894,0.034039986213030796,0.46405228758169936,0.08333333333333333,0.011668712832033634,0.08951757252216337
main,GCRK,3,612,0.01383211932698983,0.037375034881876545,0.4084967320261438,0.08660130718954248,0.014699067920446396,0.08411482647061345
main,GCRK,4,612,0.01748585577421134,0.0409030314514858,0.36437908496732024,0.11601307189542484,0.016632174141705036,0.1075975753366947
main,GCRK,5,612,0.02202017977529394,0.049343045869261234,0.3431372549019608,0.15196078431372548,0.017989144660532475,0.1429626822471617
main,GCRK,6,612,0.027787046415694787,0.054457504849041966,0.3104575163398693,0.15522875816993464,0.024411490187048912,0.13170974254608153
main,GCRK,7,612,0.034855267626470794,0.07383039530873693,0.24183006535947713,0.21568627450980393,0.03091914113610983,0.21288824677467347
main,GCRK,8,612,0.044646267919174205,0.09052148750819161,0.1830065359477124,0.2630718954248366,0.04423132538795471,0.2560198545455932
main,GCRK,9,613,0.11042773684708562,0.1594924556352846,0.08482871125611746,0.5024469820554649,0.10151003301143646,0.3926523804664612
event,W,0,613,0.0023057325361655464,0.0332699254663752,0.5285481239804242,0.09135399673735727,0.008472822606563568,0.09344186931848548
event,W,1,612,0.0049151378315477785,0.06295503938316174,0.35947712418300654,0.1781045751633987,0.019710322842001915,0.17179899662733075
event,W,2,612,0.007247818468041183,0.06487875070904005,0.33169934640522875,0.20915032679738563,0.023079671896994114,0.18853250592947005
event,W,3,612,0.009849950750327968,0.06535041730340214,0.35130718954248363,0.18790849673202614,0.019626013934612274,0.1771985322237014
event,W,4,612,0.01358551601422768,0.04961110876265474,0.41830065359477125,0.14869281045751634,0.014956613071262836,0.1435814306139946
event,W,5,612,0.01884077146369355,0.053669499013855836,0.3709150326797386,0.14052287581699346,0.017858712933957577,0.13607959896326058
event,W,6,612,0.02480951350584042,0.059256922305073255,0.33169934640522875,0.16013071895424835,0.022835184819996357,0.15106393247842784
event,W,7,612,0.03118812698517847,0.07611968240141079,0.315359477124183,0.22712418300653595,0.028573060408234596,0.19698632061481475
event,W,8,612,0.03856381383158412,0.06262645721179462,0.2957516339869281,0.1715686274509804,0.02384999953210354,0.16891825050115586
event,W,9,613,0.05442102963247657,0.061137664823163775,0.3099510603588907,0.17455138662316477,0.02698185294866562,0.15959442257881173
event,GCRK,0,613,0.0033462032418224057,0.035539435025759965,0.5921696574225123,0.09624796084828711,0.006407765671610832,0.0917276367545131
event,GCRK,1,612,0.0067006418332335805,0.050127667024949626,0.38562091503267976,0.1388888888888889,0.016431356780231,0.1342009529471397
event,GCRK,2,612,0.0090183253701338,0.05429635695666732,0.38562091503267976,0.16176470588235295,0.016198713332414627,0.15136211514472958
event,GCRK,3,612,0.011557098007852248,0.06465021572770924,0.3382352941176471,0.19117647058823528,0.021031880751252174,0.17575023323297498
event,GCRK,4,612,0.014967975145802389,0.05423083277754712,0.36764705882352944,0.17973856209150327,0.019095917232334614,0.14788123071193696
event,GCRK,5,612,0.019107381667138313,0.06398127610962286,0.3088235294117647,0.1781045751633987,0.02618090808391571,0.1691752210259437
event,GCRK,6,612,0.024182713322731014,0.05864410943344458,0.3349673202614379,0.1454248366013072,0.02196965552866459,0.1322206676006317
event,GCRK,7,612,0.03022870155404401,0.07063610055804638,0.2875816993464052,0.2042483660130719,0.02676345594227314,0.18295970857143384
event,GCRK,8,612,0.03807478020077243,0.07504836119226763,0.30392156862745096,0.20915032679738563,0.025921599939465523,0.20990369915962198
event,GCRK,9,613,0.060916652377287675,0.061716458483688834,0.3083197389885807,0.18433931484502447,0.02713175117969513,0.15916952490806585
