target,features,rmse,r2
window mean,all (no geography),0.011386955637527535,0.2925400457899605
window mean,without forecast max,0.011284722410463252,0.30518631258552253
window mean,without forecast mean,0.011361938994120677,0.29564514829420174
window mean,without prefix weather,0.01142407177819632,0.2879205533280761
window mean,without neighbours,0.011352895429788916,0.29676596813958134
window mean,without county context,0.011643978844258586,0.2602424271771645
window mean,without prefix outage,0.011461294043402785,0.28327275513904826
window mean,weather only,0.011851547929416126,0.2336330651707318
window mean,prefix outage + context only,0.013011463630166642,0.0762830593577074
peak,all (no geography),0.08648002830469179,0.3086823315917281
peak,without forecast max,0.08630882684610781,0.31141677662579237
peak,without forecast mean,0.0863179654292154,0.31127095125925863
peak,without prefix weather,0.08708044914940477,0.2990495301651416
peak,without neighbours,0.08643845892323421,0.3093467795942677
peak,without county context,0.09028977083919758,0.24643084808440918
peak,without prefix outage,0.08748891536709415,0.2924582437269283
peak,weather only,0.09111560402240326,0.2325828023080574
peak,prefix outage + context only,0.09912992923169042,0.09164501766866706
