event,model,n_units,rmse,mae,rmse_sd,gcrk_lower_seeds
2019-03-13,all-zero,321,0.025344439228374628,0.0043489671888420345,,
2019-03-13,persistence,321,0.025276718466715913,0.004452544075954037,,
2019-03-13,TimesFM,321,0.025288276455985643,0.004495165019542849,,
2019-03-13,TimesFM (history only),321,0.025331058604720378,0.004374440548597646,,
2019-03-13,W,321,0.036239067862928784,0.011868592759032461,0.005080574506349316,
2019-03-13,GCRK,321,0.029987352717528965,0.010752133555678823,0.002661798562840041,
2019-03-13,GCRK - W,321,-0.006251715145399825,,0.005915509733747381,4.0
2021-03-26,all-zero,544,0.010593562893771002,0.0013970546807055082,,
2021-03-26,persistence,544,0.010944297031983964,0.0016841290629669942,,
2021-03-26,TimesFM,544,0.01068095243611572,0.0014692538910991962,,
2021-03-26,TimesFM (history only),544,0.01097055564303112,0.001524927627485554,,
2021-03-26,W,544,0.012971145238140688,0.00351453944212253,0.0009991953308757654,
2021-03-26,GCRK,544,0.011421247155791318,0.0033075378005821615,0.0009260589634119855,
2021-03-26,GCRK - W,544,-0.00154989808234937,,0.000811903660435577,5.0
2021-12-11,all-zero,991,0.04407919281941493,0.008109565827359265,,
2021-12-11,persistence,991,0.04691962963837786,0.009016677591640987,,
2021-12-11,TimesFM,991,0.04473713057079773,0.008408937659714946,,
2021-12-11,TimesFM (history only),991,0.04485698565368649,0.00841312212351272,,
2021-12-11,W,991,0.04232970739461961,0.008552232240685164,0.0003223118748267103,
2021-12-11,GCRK,991,0.04191998939105836,0.008630597469140053,0.0004660264723366969,
2021-12-11,GCRK - W,991,-0.0004097180035612588,,0.0006891624649825481,4.0
2022-06-08,all-zero,385,0.01756069321071389,0.002189461052533966,,
2022-06-08,persistence,385,0.017548665117516415,0.0023253522693004102,,
2022-06-08,TimesFM,385,0.017673454517410626,0.002305558118309755,,
2022-06-08,TimesFM (history only),385,0.017556751551053653,0.0022217173798205147,,
2022-06-08,W,385,0.020907512532174894,0.006250449291959548,0.003486127231039958,
2022-06-08,GCRK,385,0.0216356910107423,0.006987833245777069,0.0041221195883325975,
2022-06-08,GCRK - W,385,0.000728178478567406,,0.0010224478665631755,1.0
2024-02-27,all-zero,419,0.019708625843679703,0.002370649505821518,,
2024-02-27,persistence,419,0.019889649240356317,0.0026839443528200264,,
2024-02-27,TimesFM,419,0.01997745566898478,0.0025800550738390897,,
2024-02-27,TimesFM (history only),419,0.019735747299906386,0.002465103177257247,,
2024-02-27,W,419,0.019767833380334374,0.004297832761002227,0.0008706536854499042,
2024-02-27,GCRK,419,0.021903653325459967,0.005076054969738166,0.00562439062220782,
2024-02-27,GCRK - W,419,0.002135819945125591,,0.005985265361729473,4.0
