seed,fold,W_best,GCRK_best,W_step,GCRK_step
0,1,0.0007087688114038,0.0007271872731555,620,260
0,2,0.0008708147818122,0.000891663419269,330,410
0,3,0.0002848018335046,0.0002787372539979,470,580
0,4,0.0008426290223984,0.000796409914271,220,240
0,5,0.0008111268417022,0.0007850005593501,330,220
1,1,0.0007101429092694,0.0006821978336484,320,360
1,2,0.000867921930566,0.000868449363614,320,350
1,3,0.0002838773150937,0.0002837298611002,740,470
1,4,0.0007850165212399,0.0007731059812326,400,330
1,5,0.0007517898733963,0.0007845948719549,430,310
2,1,0.0006996036506911,0.0006917074483914,560,360
2,2,0.0008876603692462,0.0008699309084053,420,400
2,3,0.000269968220819,0.0002920252109643,1160,420
2,4,0.0007881747047713,0.000775544404226,350,360
2,5,0.0007721955427079,0.0007655377794631,400,280
3,1,0.0006974765329578,0.0007661862414412,830,550
3,2,0.0008742725855174,0.0008744005438348,830,650
3,3,0.0002910746615172,0.0002957523899913,1280,750
3,4,0.0007758404685366,0.0007714338877847,740,520
3,5,0.0007818482287457,0.0008041429781736,740,570
4,1,0.0006795282936856,0.0007103432319873,820,580
4,2,0.0008156180762699,0.0008556882382627,850,510
4,3,0.0002818037838383,0.0002819263710589,700,690
4,4,0.0007572806558126,0.000791664300216,710,650
4,5,0.0007350788547435,0.0007553135655551,850,620
