seed,fold,W_best,GCRK_best,W_step,GCRK_step
0,1,0.0006282102623037,0.0006236370114011,470,290
0,2,0.0007306458004413,0.0007200518109672,350,280
0,3,0.0007858674898722,0.0007872415272907,360,260
0,4,0.0007998354460385,0.0008032525199223,540,230
0,5,0.0006856112612874,0.0007197293308369,620,240
1,1,0.000604203953458,0.0005846463488364,460,430
1,2,0.0007037844738149,0.0007043731723923,360,280
1,3,0.0007531429494646,0.0007473839320365,340,330
1,4,0.0007952108034122,0.0007677057160119,370,320
1,5,0.0007023837721987,0.0006775299471695,350,330
2,1,0.0006006930314561,0.0006015779953852,720,380
2,2,0.0007126246002354,0.0007194056468244,410,280
2,3,0.0007317251011038,0.0007452502622019,530,360
2,4,0.0007917187762469,0.0007927296662331,370,330
2,5,0.0006564979810628,0.0006672506026154,630,340
3,1,0.000617540461355,0.0006198016946332,930,580
3,2,0.0007298306881772,0.0007134500659992,730,640
3,3,0.0007745228911865,0.0007700699423127,770,520
3,4,0.0007889313096469,0.000785841417904,790,640
3,5,0.0006931515673355,0.0007329657598905,810,470
4,1,0.0005902420690536,0.0006053211268716,850,620
4,2,0.0007210637787503,0.0007206184920769,730,570
4,3,0.0007218055990416,0.000732762427171,830,520
4,4,0.0007753460016924,0.0008159338733527,730,450
4,5,0.0006665620962142,0.0007211005041015,720,440
