seed,fold,variant,n_units,mean_dlogit,mean_abs_dlogit,mean_dlogit_h72_95,mean_dlogit_h168_215,mean_dp,max_dp,share_units_dp_gt_1pp,mean_p_open,mean_p_closed
0,1,path from hour 72 (as trained),542,-0.0071235294453799725,0.010950683616101742,-0.0018709496362134814,-0.00964747928082943,-1.5744237771286862e-06,0.0007623285055160522,0.0,0.0019289865158498287,0.0019305613823235035
0,1,path from hour 0,542,-0.0006155648152343929,0.0034892181865870953,-0.00039233709685504436,-0.0006411055219359696,7.176532790253987e-07,0.00015104562044143677,0.0,0.0021239195484668016,0.0021232019644230604
0,2,path from hour 72 (as trained),511,0.002255314029753208,0.00676298514008522,-4.606120910466416e-06,0.0036160892341285944,5.87320346312481e-06,0.0028942562639713287,0.0,0.001335197128355503,0.0013293238589540124
0,2,path from hour 0,511,0.00010394946002634242,0.001514134113676846,-8.722480561118573e-05,0.00031052090344019234,1.8102751937476569e-06,0.0003025294281542301,0.0,0.0015083333710208535,0.0015065233455970883
0,3,path from hour 72 (as trained),546,-0.00046774547081440687,0.006376040633767843,-0.000489291560370475,-0.0005507636815309525,3.481270596239483e-06,0.0016785673797130585,0.0,0.0016695261001586914,0.0016660448163747787
0,3,path from hour 0,546,-0.0007011766429059207,0.0024988693185150623,-0.00040816733962856233,-0.0010399440070614219,1.856111907727609e-06,0.0002691838890314102,0.0,0.0018349505262449384,0.0018330946331843734
0,4,path from hour 72 (as trained),529,-0.0014581155264750123,0.004702845122665167,-0.0007110963924787939,-0.0016564251855015755,1.6904079984669806e-06,0.001733977347612381,0.0,0.002068726811558008,0.002067035995423794
0,4,path from hour 0,529,-0.00025717701646499336,0.0016147347632795572,-0.0002701581397559494,-0.0002609191869851202,1.7615587921682163e-06,0.00033368542790412903,0.0,0.0023751489352434874,0.002373387571424246
0,5,path from hour 72 (as trained),532,-0.000239718850934878,0.003184754867106676,-0.00036499203997664154,-5.620269803330302e-05,2.851036015272257e-06,0.0008367635309696198,0.0,0.00136324274353683,0.0013603916158899665
0,5,path from hour 0,532,-9.692447201814502e-05,0.0011868211440742016,-0.00014416904014069587,-4.434376387507655e-05,1.7869317616714397e-06,0.000286296010017395,0.0,0.0014998954720795155,0.0014981087297201157
