seed,model,n_rise,n_big_rise,unreachable_share,unreachable_share_big,unreachable_rise_mass_share,gate_limited_share,mean_gate_rise,mean_gate_big_rise,mean_sigma_big_rise,mean_u_over_ureq_big
0,W,12496,3929,0.01656530089628681,0.04504963094935098,0.1673434067793483,0.00952304737516005,0.5929820430792974,0.6250452431263466,0.005475155249562882,0.06150939171220004
0,GCRK,12496,3929,0.015925096030729835,0.04301348943751591,0.1632136653248384,0.008882842509603073,0.580494540570621,0.6115607615265418,0.0061715821805031785,0.05860781508290257
0,GCRK closed,12496,3929,0.015925096030729835,0.04301348943751591,0.1632136653248384,0.008882842509603073,0.580494540570621,0.6115607615265418,0.00439823254795641,0.055954142551963
1,W,12496,3929,0.011283610755441742,0.02926953423262917,0.10886339465966535,0.004001280409731114,0.6639369322957707,0.7477151881453038,0.005362636470756923,0.06008686810572874
1,GCRK,12496,3929,0.011843790012804098,0.03054212267752609,0.11064344283725168,0.00456145966709347,0.6653800083112053,0.7507073663442485,0.00440610288463769,0.07502229551372708
1,GCRK closed,12496,3929,0.011843790012804098,0.03054212267752609,0.11064344283725168,0.00456145966709347,0.6653800083112053,0.7507073663442485,0.003813270223825086,0.07388652395217439
2,W,12496,3929,0.008162612035851472,0.02265207431916518,0.10342499907971704,0.0044014084507042256,0.6350897724564913,0.7062051646822917,0.008003142834763617,0.027367623947214557
2,GCRK,12496,3929,0.016965428937259924,0.04606770170526851,0.15060796230423334,0.010403329065300896,0.5632672593928874,0.6020272496369966,0.007180124187897759,0.075741983961768
2,GCRK closed,12496,3929,0.016965428937259924,0.04606770170526851,0.15060796230423334,0.010403329065300896,0.5632672593928874,0.6020272496369966,0.005918308863123057,0.07253516174249412
3,W,12496,3929,0.018485915492957746,0.05497582081954696,0.19759384635701757,0.015604993597951344,0.5194894479928722,0.5248263867704217,0.009569337102818699,0.03156834601022754
3,GCRK,12496,3929,0.05345710627400768,0.14609315347416646,0.3302101731933959,0.04713508322663252,0.41996823224714847,0.38031970876247473,0.015904035202924792,0.060728164689952145
3,GCRK closed,12496,3929,0.05345710627400768,0.14609315347416646,0.3302101731933959,0.04713508322663252,0.41996823224714847,0.38031970876247473,0.007379538545321957,0.0556800441413434
4,W,12496,3929,0.024727912932138284,0.06973784678035123,0.231042219776667,0.018806017925736235,0.5297747116938959,0.5274153007301067,0.006125666641603374,0.033813877745977675
4,GCRK,12496,3929,0.026088348271446862,0.07381012980402138,0.24917814366115273,0.02000640204865557,0.48283087768772004,0.47053820492505843,0.009634360750371704,0.052369831524251655
4,GCRK closed,12496,3929,0.026088348271446862,0.07381012980402138,0.24917814366115273,0.02000640204865557,0.48283087768772004,0.47053820492505843,0.006841731092862508,0.04795820078722229
