seed,model,n_rise,n_big_rise,unreachable_share,unreachable_share_big,unreachable_rise_mass_share,gate_limited_share,mean_gate_rise,mean_gate_big_rise,mean_sigma_big_rise,mean_u_over_ureq_big
0,W,12496,3929,0.011763764404609476,0.03054212267752609,0.12260031566428493,0.00528169014084507,0.6381084600465895,0.7056394127162245,0.019076552973737396,0.11302326333219725
0,GCRK,12496,3929,0.014564660691421255,0.038432171035886996,0.1512659171077167,0.0076824583866837385,0.5781439383002654,0.6122172833566115,0.03383555684838176,0.1296976313963512
0,GCRK closed,12496,3929,0.014564660691421255,0.038432171035886996,0.1512659171077167,0.0076824583866837385,0.5781439383002654,0.6122172833566115,0.016145706847097784,0.10526189254644068
1,W,12496,3929,0.011443661971830986,0.029524051921608552,0.10776601485915173,0.004241357234314981,0.6648120194382574,0.7504738545214502,0.028906863883713618,0.11645971536053194
1,GCRK,12496,3929,0.011283610755441742,0.029015016543649783,0.10728695574753337,0.004161331626120359,0.6640097733477319,0.749493593438705,0.02518639879970466,0.12539131342816712
1,GCRK closed,12496,3929,0.011283610755441742,0.029015016543649783,0.10728695574753337,0.004161331626120359,0.6640097733477319,0.749493593438705,0.017373717503661307,0.11335784551492026
2,W,12496,3929,0.008882842509603073,0.02443369814202087,0.10146129357123128,0.0044014084507042256,0.6370716185634538,0.7123856243133909,0.020894409287496002,0.09397124426654074
2,GCRK,12496,3929,0.012884122919334186,0.03410537032323747,0.12052274111590701,0.006402048655569782,0.6014084511248111,0.6611250123034211,0.02369674090073458,0.12128099346971934
2,GCRK closed,12496,3929,0.012884122919334186,0.03410537032323747,0.12052274111590701,0.006402048655569782,0.6014084511248111,0.6611250123034211,0.018618780622533616,0.11206486800421991
3,W,12496,3929,0.009763124199743917,0.027742428098752863,0.12180206770297956,0.005921895006402049,0.5694082739062979,0.6172850511097732,0.021602860933480753,0.0858870574570212
3,GCRK,12496,3929,0.03297055057618438,0.09340799185543396,0.2563227437706347,0.02736875800256082,0.4574467202627056,0.43969842038629586,0.04344365172967889,0.11300602398275082
3,GCRK closed,12496,3929,0.03297055057618438,0.09340799185543396,0.2563227437706347,0.02736875800256082,0.4574467202627056,0.43969842038629586,0.013805365780969744,0.08228519945698413
4,W,12496,3929,0.007202304737516005,0.020106897429371343,0.09614650293042161,0.004481434058898848,0.6273860269501595,0.702856537183146,0.016790305230365312,0.04596301764504398
4,GCRK,12496,3929,0.019526248399487835,0.05497582081954696,0.20915927647160787,0.014644686299615878,0.4738477840912308,0.47260332905129643,0.033772972946020094,0.11275096519651466
4,GCRK closed,12496,3929,0.019526248399487835,0.05497582081954696,0.20915927647160787,0.014644686299615878,0.4738477840912308,0.47260332905129643,0.020256767666854646,0.09012051577905526
