seed,fold,event,arm,rmse,best,rmse_closed,beta,ratio_to_median
0,1,2019-03-13,W,0.0351665432466424,620,,,1.0
0,1,2019-03-13,GCRK,0.02870450640200116,260,0.025628932736282105,0.6262654066085815,1.0
0,2,2021-03-26,W,0.012717090189449666,330,,,1.0
0,2,2021-03-26,GCRK,0.010941706837479208,410,0.010328471959596387,0.6707896590232849,0.9512356029115233
0,3,2021-12-11,W,0.04206559128636634,470,,,0.9973505495714187
0,3,2021-12-11,GCRK,0.04259653861289082,580,0.04252081974117641,0.7386741042137146,1.0190535492500836
0,4,2022-06-08,W,0.017956270971059403,220,,,0.8562800231214456
0,4,2022-06-08,GCRK,0.01801778551387706,240,0.0180173385583678,0.5411805510520935,0.8527833602489842
0,5,2024-02-27,W,0.02119670352316379,330,,,1.0767875568435403
0,5,2024-02-27,GCRK,0.02063225399786451,220,0.020336324858357218,0.586882472038269,1.0554574751237025
1,1,2019-03-13,W,0.030685353890626762,320,,,0.8725723673041565
1,1,2019-03-13,GCRK,0.028668952467002285,360,0.028645325869530922,-0.7898296117782593,0.9987613814186195
1,2,2021-03-26,W,0.012615009318861179,320,,,0.991972938064623
1,2,2021-03-26,GCRK,0.010313166348746865,350,0.01082418432013996,-0.6492279171943665,0.8965923831987058
1,3,2021-12-11,W,0.04254615488092733,740,,,1.0087444311378655
1,3,2021-12-11,GCRK,0.04180009837975383,470,0.041811213485115205,0.6175124645233154,1.0
1,4,2022-06-08,W,0.02097009212664147,400,,,1.0
1,4,2022-06-08,GCRK,0.021128209523948113,330,0.021128775552421163,-0.7381901144981384,1.0
1,5,2024-02-27,W,0.019116110050390683,430,,,0.971093897455244
1,5,2024-02-27,GCRK,0.018339197300537444,310,0.019816636223357997,-0.6767030358314514,0.9381545458205435
2,1,2019-03-13,W,0.041636445918180526,560,,,1.1839789207077056
2,1,2019-03-13,GCRK,0.02696416509800028,360,0.026918063959905546,-0.7170850038528442,0.9393704500740152
2,2,2021-03-26,W,0.014385053606389829,420,,,1.1311592032526383
2,2,2021-03-26,GCRK,0.012819168021614216,400,0.014322242089509328,-0.7104921936988831,1.1144558342666793
2,3,2021-12-11,W,0.04278729380780745,1160,,,1.014461693962242
2,3,2021-12-11,GCRK,0.04153769410039284,420,0.041619852202936,0.5442458391189575,0.9937224004360695
2,4,2022-06-08,W,0.02195945464339831,350,,,1.0471796933834117
2,4,2022-06-08,GCRK,0.021855013470066506,360,0.021854776307762207,0.680505096912384,1.0343996941763847
2,5,2024-02-27,W,0.01968513044977889,400,,,1.0
2,5,2024-02-27,GCRK,0.019548162274795916,280,0.019443287172506374,0.6438381671905518,1.0
3,1,2019-03-13,W,0.03230552262707548,830,,,0.9186436778985922
3,1,2019-03-13,GCRK,0.03280266253140079,550,0.024905014412199434,0.8282968401908875,1.142770479032307
3,2,2021-03-26,W,0.013429539632343106,830,,,1.056022992074437
3,2,2021-03-26,GCRK,0.01150262543158503,650,0.011313035867359348,0.86252760887146,1.0
3,3,2021-12-11,W,0.042072158945250314,1280,,,0.9975062649196884
3,3,2021-12-11,GCRK,0.04148982171832543,750,0.04164706803858567,0.7237343788146973,0.9925771308332928
3,4,2022-06-08,W,0.017518597381182315,740,,,0.8354086989882986
3,4,2022-06-08,GCRK,0.018743935889387515,520,0.01874017389427599,0.7987144589424133,0.8871521208714773
3,5,2024-02-27,W,0.019819216662737855,740,,,1.0068115481023125
3,5,2024-02-27,GCRK,0.019142943638730675,570,0.01953097193678078,0.8396978974342346,0.9792707554618726
4,1,2019-03-13,W,0.041401473632118775,820,,,1.1772972208768817
4,1,2019-03-13,GCRK,0.03279647708924031,580,0.028933375798709478,0.7208322882652283,1.142554992234734
4,2,2021-03-26,W,0.011709033443659663,850,,,0.920732122618246
4,2,2021-03-26,GCRK,0.011529569139531274,510,0.010631948817824997,0.7159839868545532,1.002342396360422
4,3,2021-12-11,W,0.04217733805274661,700,,,1.0
4,3,2021-12-11,GCRK,0.04217579414392882,690,0.04218630245512714,0.6416163444519043,1.008987915788183
4,4,2022-06-08,W,0.02613314753859297,710,,,1.2462104305870976
4,4,2022-06-08,GCRK,0.028433510656432306,650,0.028433701673909732,0.7843264937400818,1.345760539917208
4,5,2024-02-27,W,0.01902200621560066,850,,,0.9663134447663425
4,5,2024-02-27,GCRK,0.03185570941537129,620,0.0194327235294489,0.8254954814910889,1.629601236554287
