metric,W_mean,GCRK_mean,diff_mean,diff_sd,rel_pct_mean,n_seeds,n_gcrk_lower,per_seed_diff,verdict
rmse,0.031437613281868976,0.030630620032072238,-0.0008069932497967384,0.0012317987442907144,-2.544960897282871,5,4,-7.361e-04;-8.643e-04;-2.734e-03;-3.593e-04;+6.586e-04,GCRK better (4/5)
rmse 1-6 h,0.014157135124060758,0.014115601669038394,-4.1533455022362695e-05,0.0003425213822005079,-0.2424630187351152,5,4,-1.297e-04;-9.627e-06;-4.776e-04;+4.777e-04;-6.844e-05,GCRK better (4/5)
rmse 7-24 h,0.031168138440759642,0.029098981331382213,-0.0020691571093774284,0.0019546846293207096,-6.542022950641448,5,4,-3.580e-03;-2.030e-03;-4.235e-03;-1.171e-03;+6.697e-04,GCRK better (4/5)
rmse 25-48 h,0.03291751765711336,0.02997970090012783,-0.002937816756985529,0.0031713751456443813,-8.3635043334363,5,4,-2.105e-03;-6.702e-04;-7.455e-03;+3.187e-04;-4.777e-03,GCRK better (4/5)
rmse 49-144 h,0.031874669567349107,0.03179774194185482,-7.692762549428509e-05,0.0013021307196850259,-0.25822785111513813,5,3,+7.508e-05;-7.304e-04;-1.372e-03;-4.111e-04;+2.054e-03,no consistent difference
mae,0.006917783648341344,0.006999352343701591,8.156869536024707e-05,0.0003334997739829836,1.2203638378424997,5,2,-2.498e-04;+5.785e-05;-2.367e-04;+3.614e-04;+4.751e-04,no consistent difference
peak_mag_abs_mean,0.08316095312677724,0.0804303353349888,-0.002730617791788431,0.0033123022976009548,-3.2289655460779842,5,4,-1.275e-03;-2.672e-03;-7.732e-03;-3.296e-03;+1.323e-03,GCRK better (4/5)
peak_time_abs_mean,22.126041019266626,21.49869484151647,-0.6273461777501552,1.503639636226104,-2.4343679445124717,5,3,+9.994e-01;-6.520e-01;-3.058e+00;+5.469e-02;-4.804e-01,no consistent difference
false_activity_share,0.27741552010648673,0.3619351787126993,0.08451965860621255,0.060345119140515525,31.71817466469157,5,0,+7.287e-02;+5.395e-02;+1.640e-01;+1.228e-01;+8.937e-03,GCRK worse (5/5)
under_half_share,0.768401351227974,0.7484159590979641,-0.019985392130010028,0.02705373787842958,-2.569938344750946,5,4,+1.853e-02;-4.072e-02;-4.670e-02;-4.108e-03;-2.693e-02,GCRK better (4/5)
