metric,W_mean,GCRK_mean,diff_mean,diff_sd,rel_pct_mean,n_seeds,n_gcrk_lower,per_seed_diff,verdict
rmse,0.026298027619840354,0.026436356136209326,0.0001383285163689768,0.0001407672242538757,0.5296078739540455,5,0,+4.454e-05;+1.975e-05;+7.617e-05;+1.894e-04;+3.618e-04,GCRK worse (5/5)
rmse 1-6 h,0.013404453697367083,0.013421071272647939,1.6617575280856654e-05,0.00013173944038550136,0.13207160330517054,5,3,-1.401e-06;-6.655e-05;+5.996e-05;-1.257e-04;+2.168e-04,no consistent difference
rmse 7-24 h,0.026277086646427788,0.026442876516809526,0.0001657898703817419,0.0002907791679632364,0.643405081548587,5,2,+1.626e-04;-1.019e-04;+2.682e-04;-9.765e-05;+5.978e-04,no consistent difference
rmse 25-48 h,0.024704921211718446,0.025491887772750167,0.0007869665610317211,0.0006699600172034867,3.255676582894091,5,0,+3.495e-04;+7.264e-04;+1.817e-03;+7.512e-05;+9.666e-04,GCRK worse (5/5)
rmse 49-144 h,0.027276244239452296,0.02726704426646932,-9.199972982976145e-06,0.00025065049273782043,-0.02939935988573561,5,3,-4.607e-05;-1.189e-04;-3.492e-04;+2.784e-04;+1.897e-04,no consistent difference
mae,0.00562620969076034,0.005989210276739739,0.00036300058597939845,0.0002437860984529364,6.509119760406753,5,0,+5.180e-04;+6.505e-05;+4.130e-04;+1.665e-04;+6.525e-04,GCRK worse (5/5)
peak_mag_abs_mean,0.07175348375800225,0.07137433309516811,-0.0003791506628341601,0.000950281398082059,-0.5239508754606237,5,4,-1.455e-04;-9.997e-04;-4.037e-04;+1.069e-03;-1.416e-03,GCRK better (4/5)
peak_time_abs_mean,19.27781230577999,18.303915475450587,-0.9738968303293973,1.30409801837577,-4.825663590524085,5,4,-5.351e-01;-1.902e-01;-1.404e+00;+2.878e-01;-3.028e+00,GCRK better (4/5)
false_activity_share,0.30926442949649025,0.42903354080944983,0.11976911131295967,0.06623338400413818,38.551717321518325,5,0,+2.074e-01;+3.348e-02;+1.208e-01;+8.378e-02;+1.534e-01,GCRK worse (5/5)
under_half_share,0.6045558294531178,0.5998904409750753,-0.0046653884780425425,0.015585589597173518,-0.7246901797874462,5,4,-1.771e-02;-1.826e-03;-1.516e-02;+2.100e-02;-9.632e-03,GCRK better (4/5)
