seed,fold,arm,best_step,stop_step,best_inner_mse,beta,scale,theta,seconds,flag_step_edge,flag_kernel_closed
0,1,W,620,820,0.0007087688114038063,,,,960,False,False
0,1,GCRK,260,460,0.0007271872731555184,0.6262654066085815,3.1664371490478516,1.3197120428085327,1901,False,False
0,2,W,330,530,0.0008708147818122256,,,,554,False,False
0,2,GCRK,410,610,0.0008916634192690303,0.6707896590232849,3.364161491394043,1.3156836032867432,2375,False,False
0,3,W,470,670,0.0002848018335046759,,,,570,False,False
0,3,GCRK,580,780,0.00027873725399791627,0.7386741042137146,3.273557186126709,1.382108211517334,2461,False,False
0,4,W,220,420,0.0008426290223984024,,,,453,False,False
0,4,GCRK,240,440,0.0007964099142710789,0.5411805510520935,3.214874267578125,1.3141140937805176,1742,False,False
0,5,W,330,530,0.0008111268417022083,,,,587,False,False
0,5,GCRK,220,420,0.0007850005593501612,0.586882472038269,3.1615607738494873,1.3283765316009521,1615,False,False
1,1,W,320,520,0.0007101429092694113,,,,610,False,False
1,1,GCRK,360,560,0.000682197833648407,-0.7898296117782593,3.1086721420288086,1.3756788969039917,2279,False,False
1,2,W,320,520,0.0008679219305660088,,,,552,False,False
1,2,GCRK,350,550,0.0008684493636140995,-0.6492279171943665,3.1201765537261963,1.3756994009017944,2017,False,False
1,3,W,740,940,0.0002838773150937804,,,,835,False,False
1,3,GCRK,470,670,0.00028372986110021715,0.6175124645233154,2.9487035274505615,1.4273123741149902,1988,False,False
1,4,W,400,600,0.0007850165212399011,,,,689,False,False
1,4,GCRK,330,530,0.0007731059812326222,-0.7381901144981384,3.241295337677002,1.3547285795211792,2007,False,False
1,5,W,430,630,0.0007517898733963704,,,,717,False,False
1,5,GCRK,310,510,0.0007845948719549344,-0.6767030358314514,2.9748928546905518,1.326162338256836,1907,False,False
2,1,W,560,760,0.0006996036506911542,,,,895,False,False
2,1,GCRK,360,560,0.0006917074483914992,-0.7170850038528442,3.1927330493927,1.3249635696411133,2210,False,False
2,2,W,420,620,0.0008876603692462608,,,,656,False,False
2,2,GCRK,400,600,0.0008699309084053542,-0.7104921936988831,3.417238235473633,1.3442035913467407,2159,False,False
2,3,W,1160,1360,0.00026996822081905227,,,,1209,False,False
2,3,GCRK,420,620,0.0002920252109643884,0.5442458391189575,2.9865777492523193,1.3857579231262207,1763,False,False
2,4,W,350,550,0.0007881747047713413,,,,607,False,False
2,4,GCRK,360,560,0.0007755444042260842,0.680505096912384,3.3893589973449707,1.3538914918899536,2138,False,False
2,5,W,400,600,0.0007721955427079954,,,,666,False,False
2,5,GCRK,280,480,0.0007655377794631175,0.6438381671905518,3.083000659942627,1.3599878549575806,1778,False,False
3,1,W,830,1030,0.0006974765329578175,,,,1255,False,False
3,1,GCRK,550,750,0.0007661862414412569,0.8282968401908875,3.3218677043914795,1.3463491201400757,3061,False,False
3,2,W,830,1030,0.0008742725855174013,,,,1149,False,False
3,2,GCRK,650,850,0.0008744005438348668,0.86252760887146,3.5507657527923584,1.3611087799072266,3187,False,False
3,3,W,1280,1480,0.00029107466151729347,,,,1350,False,False
3,3,GCRK,750,950,0.0002957523899913989,0.7237343788146973,3.08804988861084,1.3380411863327026,2831,False,False
3,4,W,740,940,0.0007758404685366183,,,,1108,False,False
3,4,GCRK,520,720,0.0007714338877847743,0.7987144589424133,3.413095235824585,1.3051159381866455,2854,False,False
3,5,W,740,940,0.0007818482287457452,,,,1097,False,False
3,5,GCRK,570,770,0.0008041429781736984,0.8396978974342346,3.375730037689209,1.321348786354065,3025,False,False
4,1,W,820,1020,0.0006795282936856406,,,,1236,False,False
4,1,GCRK,580,780,0.0007103432319873324,0.7208322882652283,3.1481800079345703,1.330383062362671,3289,False,False
4,2,W,850,1050,0.0008156180762699423,,,,1153,False,False
4,2,GCRK,510,710,0.0008556882382627265,0.7159839868545532,3.100552797317505,1.3129515647888184,2612,False,False
4,3,W,700,900,0.0002818037838383252,,,,800,False,False
4,3,GCRK,690,890,0.00028192637105892637,0.6416163444519043,3.0602355003356934,1.3723809719085693,2642,False,False
4,4,W,710,910,0.0007572806558126168,,,,976,False,False
4,4,GCRK,650,850,0.0007916643002160676,0.7843264937400818,3.312487840652466,1.3088330030441284,3525,False,False
4,5,W,850,1050,0.0007350788547435959,,,,864,False,False
4,5,GCRK,620,820,0.000755313565555106,0.8254954814910889,3.4379310607910156,1.3073647022247314,3319,False,False
