seed,fold,arm,best_step,stop_step,best_inner_mse,beta,scale,theta,seconds,flag_step_edge,flag_kernel_closed
0,1,W,470,670,0.0006282102623037055,,,,840,False,False
0,1,GCRK,290,490,0.0006236370114011839,0.6493160128593445,3.139012575149536,1.3378417491912842,1740,False,False
0,2,W,350,550,0.0007306458004413355,,,,709,False,False
0,2,GCRK,280,480,0.0007200518109672634,0.6266880035400391,3.220385789871216,1.3229074478149414,1713,False,False
0,3,W,360,560,0.0007858674898722238,,,,714,False,False
0,3,GCRK,260,460,0.0007872415272907786,0.6107454895973206,3.15952467918396,1.3294968605041504,1587,False,False
0,4,W,540,740,0.0007998354460385047,,,,947,False,False
0,4,GCRK,230,430,0.0008032525199223731,0.5674123167991638,3.104144811630249,1.3236606121063232,1470,False,False
0,5,W,620,820,0.0006856112612874879,,,,1033,False,False
0,5,GCRK,240,440,0.0007197293308369586,0.5064194798469543,3.08544659614563,1.3251118659973145,1507,False,False
1,1,W,460,660,0.0006042039534580476,,,,726,False,False
1,1,GCRK,430,630,0.0005846463488364661,-0.8274010419845581,3.2236833572387695,1.3645192384719849,2548,False,False
1,2,W,360,560,0.0007037844738149929,,,,631,False,False
1,2,GCRK,280,480,0.0007043731723923617,-0.6402778625488281,3.0013840198516846,1.3164918422698975,1868,False,False
1,3,W,340,540,0.0007531429494646621,,,,593,False,False
1,3,GCRK,330,530,0.000747383932036552,-0.7387429475784302,3.094693899154663,1.3405121564865112,2105,False,False
1,4,W,370,570,0.0007952108034122328,,,,636,False,False
1,4,GCRK,320,520,0.0007677057160119209,-0.7298357486724854,3.0697638988494873,1.3526661396026611,2081,False,False
1,5,W,350,550,0.0007023837721987205,,,,614,False,False
1,5,GCRK,330,530,0.0006775299471695311,-0.72112637758255,3.014655828475952,1.3510457277297974,2132,False,False
2,1,W,720,920,0.0006006930314561826,,,,1053,False,False
2,1,GCRK,380,580,0.0006015779953852489,-0.6998677849769592,3.1035690307617188,1.3243024349212646,2254,False,False
2,2,W,410,610,0.0007126246002354977,,,,691,False,False
2,2,GCRK,280,480,0.0007194056468244529,-0.22438189387321472,2.9530177116394043,1.2912644147872925,1825,False,False
2,3,W,530,730,0.0007317251011038897,,,,830,False,False
2,3,GCRK,360,560,0.000745250262201967,-0.7231553792953491,3.1717655658721924,1.3176798820495605,2185,False,False
2,4,W,370,570,0.0007917187762469012,,,,622,False,False
2,4,GCRK,330,530,0.000792729666233106,-0.6662985682487488,3.08791184425354,1.32414710521698,2058,False,False
2,5,W,630,830,0.0006564979810628498,,,,967,False,False
2,5,GCRK,340,540,0.0006672506026154297,-0.6615645289421082,3.128436326980591,1.3237272500991821,2099,False,False
3,1,W,930,1130,0.0006175404613550943,,,,1340,False,False
3,1,GCRK,580,780,0.0006198016946332875,0.7995824217796326,3.202685832977295,1.3147014379501343,3190,False,False
3,2,W,730,930,0.000729830688177208,,,,1106,False,False
3,2,GCRK,640,840,0.000713450065999293,0.8673991560935974,3.350602626800537,1.3190430402755737,3524,False,False
3,3,W,770,970,0.0007745228911865611,,,,1154,False,False
3,3,GCRK,520,720,0.0007700699423127083,0.8277438879013062,3.1859323978424072,1.32686448097229,2890,False,False
3,4,W,790,990,0.0007889313096469673,,,,1180,False,False
3,4,GCRK,640,840,0.0007858414179040074,0.8804827928543091,3.601487874984741,1.3482682704925537,3495,False,False
3,5,W,810,1010,0.0006931515673355924,,,,1197,False,False
3,5,GCRK,470,670,0.0007329657598905007,0.7374826669692993,3.141716480255127,1.2879096269607544,2707,False,False
4,1,W,850,1050,0.000590242069053628,,,,1238,False,False
4,1,GCRK,620,820,0.000605321126871612,0.7634031176567078,3.184068202972412,1.317366361618042,3698,False,False
4,2,W,730,930,0.0007210637787503806,,,,1126,False,False
4,2,GCRK,570,770,0.0007206184920769764,0.7276083827018738,3.153988838195801,1.3295875787734985,3503,False,False
4,3,W,830,1030,0.0007218055990416335,,,,1145,False,False
4,3,GCRK,520,720,0.0007327624271710337,0.7226284146308899,3.109496831893921,1.3104875087738037,3223,False,False
4,4,W,730,930,0.0007753460016924278,,,,1070,False,False
4,4,GCRK,450,650,0.000815933873352728,0.6244675517082214,3.0583252906799316,1.303680658340454,2932,False,False
4,5,W,720,920,0.0006665620962142017,,,,789,False,False
4,5,GCRK,440,640,0.0007211005041015302,0.5376013517379761,3.0071260929107666,1.2981287240982056,2869,False,False
