world,folds,units,zero,truth,neutral_truth,neutral_to_truth,arm,rmse_noisy,rmse_to_truth,t_star,vs_W_noisy
TB,"1,2,3",1599,0.012608731491927682,0.010080906591246176,0.010926318712059867,0.00288336944244454,W,0.010064831648398963,0.003544925268864742,1070,0.0
TB,"1,2,3",1599,0.012608731491927682,0.010080906591246176,0.010926318712059867,0.00288336944244454,GCRK-S,0.010140511128827056,0.003442299102692475,720,0.007519199830841927
TB,"1,2,3",1599,0.012608731491927682,0.010080906591246176,0.010926318712059867,0.00288336944244454,GCRK,0.010202410592997918,0.003425201348164899,450,0.013669274301358003
TB,"1,2,3",1599,0.012608731491927682,0.010080906591246176,0.010926318712059867,0.00288336944244454,W+G,0.010278021282902223,0.0035521074880412325,280,0.02118163939057771
TA,"1,2,3",1599,0.016530133629419273,0.013038480494130299,0.013984641018632357,0.004948413166272527,W,0.013563664198028165,0.005921127631812771,600,0.0
TA,"1,2,3",1599,0.016530133629419273,0.013038480494130299,0.013984641018632357,0.004948413166272527,GCRK-S,0.013583697315733358,0.006003463331128927,580,0.0014769694540288647
TA,"1,2,3",1599,0.016530133629419273,0.013038480494130299,0.013984641018632357,0.004948413166272527,GCRK,0.013482263495436147,0.005551363635793611,420,-0.006001379966620757
TA,"1,2,3",1599,0.016530133629419273,0.013038480494130299,0.013984641018632357,0.004948413166272527,W+G,0.013654939416665476,0.00579251746583881,390,0.006729392390190547
TBc,"1,2,3",1599,0.009871842730074984,6.685286151935088e-05,0.003945085966290916,0.003944449710694915,W,0.0008488920948793284,0.0008462104858949061,1600,0.0
TBc,"1,2,3",1599,0.009871842730074984,6.685286151935088e-05,0.003945085966290916,0.003944449710694915,GCRK-S,0.0007897756327143479,0.0007868734516984564,1580,-0.06963954844388565
TBc,"1,2,3",1599,0.009871842730074984,6.685286151935088e-05,0.003945085966290916,0.003944449710694915,GCRK,0.0007539662622306728,0.0007509248558616674,1580,-0.11182320252628752
